,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,3.6959418164038627,3.5099659136865213,3.1446076937145646,5.366442953020134,5.5840650640564276,24.0899209486166,27.45664397750814,28.35263319987681,27.189885496183205,28.887747336377473,5.549938564156574,5.805180235110482,6.320810178792461,7.228298922182099,5.181839746124011,2.97346922356796,5.16485310685141,5.42388105604316,5.287131357105247,3.012192116890584,2.549772770556143,2.0676214944892135,2.6847235395936653,2.570036627163235,2.2438052462797913,1.7051249182988122,2.2655666268486816,1.6122257911397013,2.246376528594791,2.6971793507184674,,15.493036211699165,14.409375,0,,0,0
quickRatio,3.6959418164038627,3.5099659136865213,3.1446076937145646,5.366442953020134,5.5840650640564276,24.0899209486166,27.45664397750814,28.35263319987681,27.189885496183205,28.887747336377473,5.549938564156574,5.6965391932100875,6.196278319402529,7.092916999751909,5.127076900063042,2.520767966327307,5.065102120565872,5.280799204598678,4.645781471368939,2.5356774784464386,2.1106168616570384,1.5557923792646264,2.6540061742206387,2.528669655571915,2.20241840256059,1.6716302485969934,2.239080113907232,1.5917786119273027,2.2133759671947084,2.2490686535391164,,15.37325905292479,2.75,0.4858757062146893,,0.5757575757575758,0.5142857142857142
cashRatio,2.9229311820070896,2.68484603385522,2.412668414314455,4.703987366758784,4.973801640996113,21.614871541501977,25.10594850547499,25.771789344009854,24.16030534351145,24.060502283105023,3.5406939324790825,3.6493890541924783,3.959016214304589,4.110785070430301,2.4733868296487835,1.6383728095196302,3.440613970542384,3.611138435749862,3.1670182333367713,0.8164975598718642,0.7323651653715024,0.37234424060299953,1.0240105530031722,1.235856001544737,0.8483067215480705,0.6236631995312042,0.9102953358577573,0.3810443888560471,0.5135004515609363,1.6125598722724854,,0.11142061281337047,0.15625,0.005649717514124294,,0,0
daysOfSalesOutstanding,55.78673884934685,61.870868197733074,78.72433306386418,53.03229716858603,48.97588264151541,57.20933324989832,43.80772136597159,38.48050624630442,40.9428951645194,57.98860363180964,43.701309674693704,39.489052510777604,42.668962526732024,50.63334403888141,41.77088717466024,50.88357623366258,45.4422552322181,46.509173341302215,43.12716246370202,47.04859078937742,42.36540373519177,45.90549136396779,81.8553996769424,71.70868071869268,56.03624491322608,89.43303555951046,127.91306201102348,258.663163880951,228.12086165798536,68.13485250507257,0,135.84327889447238,105.22750955192775,137.8276321634829,42.61421319796954,33.96180215475024,46.761565836298935
daysOfInventoryOutstanding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,0,0,0,0,,0,0,,,,
operatingCycle,55.78673884934685,61.870868197733074,78.72433306386418,53.03229716858603,48.97588264151541,57.20933324989832,43.80772136597159,38.48050624630442,40.9428951645194,57.98860363180964,43.701309674693704,39.489052510777604,42.668962526732024,50.63334403888141,41.77088717466024,,45.4422552322181,46.509173341302215,43.12716246370202,47.04859078937742,,45.90549136396779,,,,,127.91306201102348,258.663163880951,228.12086165798536,68.13485250507257,,135.84327889447238,105.22750955192775,,,,
daysOfPayablesOutstanding,82.31987275600763,74.57298457781017,81,32.63695913991129,24.14322362475585,30.70989436009929,23.847457152458833,20.095953126482588,25.187331270165274,21.66945285320562,32.18746578092492,93.89229412705774,92.87922923534975,106.33448642107895,97.98331073096924,,58.48783660289997,53.43598961667023,101.40483528161529,82.51552313354364,,242.53502119642016,,,,,146.54658785082663,1900.9070796460176,2515.3260869565215,4585,,358.0191256830601,351.8072289156626,,,,
cashConversionCycle,-26.53313390666078,-12.7021163800771,-2.2756669361358206,20.395338028674736,24.83265901675956,26.49943888979903,19.960264213512755,18.384553119821835,15.755563894354125,36.31915077860402,11.513843893768787,-54.403241616280134,-50.21026670861773,-55.70114238219754,-56.212423556309,,-13.045581370681866,-6.926816275368012,-58.27767281791327,-35.46693234416622,,-196.62952983245236,,,,,-18.63352583980314,-1642.2439157650665,-2287.2052252985363,-4516.865147494927,,-222.17584678858773,-246.57971936373485,,,,
grossProfitMargin,0.4035986610757314,0.39741261646193105,0.3574059103565975,0.4104597800675383,0.45715370859774335,0.45799568223772724,0.46044122091266243,0.46964912501415323,0.4634453682549403,0.4456355666875391,0.6141811012533446,0.6200561369482716,0.6577028289258208,0.6776361577621065,0.6788811259756918,0,0.6750170173555248,0.6737661185430123,0.6989420069989948,0.7101104689443266,0,0.7295361092013353,0,0,0,0,0.6583403828269082,0.9732798299367583,0.9777474358152601,0.9886062119556734,0,0.8850502512562815,0.8846821813129558,1,1,1,1
