,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1988,1987,1986,1985,1984
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,2.0994983099282387,1.585652148287853,1.958489082340693,1.720457075378436,1.9576427991836534,1.2769900885201582,1.3269307149343341,1.1584626799699678,1.9096325719960279,1.1475935828877006,1.1929046563192904,1.2754759238521836,1.1655555555555555,1.080659150043365,1.3960498960498962,1.3716117491593163,1.333941605839416,1.364179104477612,1.2713097713097714,1.1814389989572471,1.0443262411347518,1.1093142169384864,1.2160633484162895,1.2445054945054945,1.15234375,1.066759388038943,1.0508120078740157,1.2352941176470589,1.665934065934066,1.4606481481481481,1.4324324324324325,1.338,1.3273453093812375,1.2652631578947369,1.3217592592592593,1.561056105610561,1.3447098976109215
quickRatio,1.905369310002879,1.7492143572817822,1.7466288992629264,1.576939848381846,1.6538856377093119,1.12853269076409,1.1606933615477033,0.8958554082083686,1.6999860973187686,1.2378941176470588,1.3325365853658537,1.483154535274356,1.4270611111111111,1.2291673894189072,2.3746340956340957,1.1730411800728413,1.1304744525547445,2.3144019900497512,2.215391891891892,2.2041960375391034,0.8980496453900709,0.9582853847654303,1.0486425339366516,1.0755494505494505,0.9596354166666666,0.9012517385257302,0.8225885826771654,1.064516129032258,1.4483516483516483,1.2222222222222223,1.162162162162162,1.05,1.0139720558882235,0.9831578947368421,1.0648148148148149,1.2277227722772277,1.0955631399317407
cashRatio,0.15191719181514773,0.09658277833441387,0.0814158899982833,0.36797330567119063,0.3036741744326145,0.12422861812620219,0.21292620261279568,0.09731766557589949,0.4657398212512413,0.18716577540106952,0.18514412416851442,0.20492721164613661,0.11,0.08586296617519515,0.08004158004158005,0.08438709769837092,0.06295620437956205,0.13532338308457711,0.06964656964656965,0.09384775808133472,0.06560283687943262,0.059585979909727506,0.05203619909502263,0.08241758241758242,0.05859375,0.037552155771905425,0.0578248031496063,0.08349146110056926,0.07032967032967033,0.07407407407407407,0.06756756756756757,0.05,0.05189620758483034,0.031578947368421054,0.08796296296296297,0.11551155115511551,0.07508532423208192
daysOfSalesOutstanding,80.26772821841381,70.17097604313462,95.4612356528406,73.81268682479175,84.25649991119407,67.93185857288314,68.80080925745958,35.994375187244096,61.02898438408184,47.66027796458194,49.45610687022901,50.199496203136775,50.72153928380545,48.80904886445912,51.46649640432825,55.24828732805749,51.68379633894379,51.03166108950998,52.97343207521867,50.01401388932142,50.16865798682261,54.66108932394648,61.13170601878256,51.10128287739441,52.78782112274025,50.938680418900276,56.626151196745454,49.34109033860635,58.534710017574696,47.768809455174406,48.02631578947368,49.73994653649466,50.54608538241062,52.15301682145873,52.37551311797251,53.195437675386984,50.647893072135496
daysOfInventoryOutstanding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.652714360690153,6.331529281154594,6.943406481418575,6.177892918825561,8.817312531454455,7.068506414911644,11.006304981683154,8.502437501500925,9.934742091227236,10.605239830591945,11.461767938451876,12.258961144246916,11.329133374308544,11.542979338594062,15.320021051584888,13.29308031435691,12.241711642251348,15.564046272059443,11.407213447081679,18.100110987791343,9.182172014429467,9.358068885448917,6.601853945286005,7.09602409179278,9.52037995873399,16.256627783669142,13.813682678311498,13.298178331735379,16.00877192982456,13.579854809437387
operatingCycle,80.26772821841381,70.17097604313462,95.4612356528406,73.81268682479175,84.25649991119407,67.93185857288314,68.80080925745958,40.64708954793425,67.36051366523643,54.603684446000514,55.63399978905457,59.01680873459123,57.790045698717094,59.81535384614227,59.968933905829175,65.18302941928474,62.289036169535734,62.49342902796186,65.23239321946558,61.34314726362996,61.711637325416675,69.98111037553136,74.42478633313947,63.34299451964576,68.35186739479968,62.34589386598196,74.7262621845368,58.52326235303582,67.89277890302361,54.37066340046041,55.122339881266456,59.26032649522865,66.80271316607976,65.96669949977023,65.67369144970789,69.20420960521155,64.22774788157288
daysOfPayablesOutstanding,16.665138397969926,14.094371201241014,15.421543236362364,28.4984984984985,20.715119554297978,42.48957076714674,34.670683261564584,13.692229219969823,22.28698306966417,23.310007473333787,23.82901554404145,24.614997483643684,23.966654563059794,26.196825080369823,19.196224874522706,24.067007703060405,25.344725696838374,28.845449311770555,34.1348659447565,33.426551936078674,35.17860369857238,58.88742406579503,43.657274295572165,39.820740169622205,42.37735371105294,36.53391333727511,45.306992230854604,37.42168217201443,33.01809210526316,25.30710679026302,25.462204094079976,24.156187954996692,41.802757158006365,40.37845705967976,34.29530201342282,32.314002599090315,33.452813067150636
cashConversionCycle,63.60258982044388,56.0766048418936,80.03969241647823,45.314188326293255,63.54138035689609,25.442287805736406,34.13012599589499,26.954860327964425,45.07353059557225,31.293676972666727,31.80498424501312,34.401811250947546,33.8233911356573,33.61852876577245,40.77270903130647,41.11602171622433,36.94431047269736,33.6479797161913,31.09752727470908,27.916595327551285,26.533033626844293,11.093686309736327,30.7675120375673,23.52225435002355,25.974513683746743,25.811980528706847,29.41926995368219,21.10158018102139,34.874686797760454,29.063556610197388,29.66013578718648,35.10413854023196,24.99995600807339,25.588242440090468,31.37838943628507,36.89020700612123,30.774934814422245
