,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.4268645211023319,1.968136185072021,2.0214495070610177,0.66733690795353,0.6360531309297913,0.6973207820419985,0.657218001168907,0.5433432352146907,0.7435421239236873,0.7850599013389711,0.9090322580645162,0.9585263622325171,1.2947049924357035,1.2548579970104634,1.0310049893086244,0.9183546920214964,0.9009352268791133,0.9407484407484408,1.0140056022408963,1.342426001160766,1.556644172104325,1.125507271618915,0.6404298203254305,0.656977966945212,0.6749579440735529,0.9285019337649523,0.9811681151391944,0.7748439703187411
quickRatio,1.2846405858546925,1.8399170667830642,1.9269917399413803,0.5761840929401251,0.5385199240986718,0.5698769007965243,0.5626826417299825,0.47596543343235215,0.5660982610163768,0.6291402396053559,0.7101075268817204,0.7595411427310832,1.129500756429652,1.0321375186846038,0.7170349251603706,0.632079371641174,0.6927606511950122,0.7247920997920998,0.7250233426704015,1.1590249564712711,1.387715262918565,1.0499998883522352,0.5091369936760775,0.5125293347187719,0.5493544371206591,0.8058290434340073,0.8561243474034628,0.6503936156797752
cashRatio,0.9146270957795336,1.3618507202095156,1.4738875566213696,0.2846291331546023,0.23453510436432637,0.2165097755249819,0.24547048509643482,0.21374561166621658,0.2164443694073949,0.2387244538407329,0.23935483870967741,0.1828810941981028,0.3815431164901664,0.4162929745889387,0.48752672843905914,0.4574204216618437,0.48146865258053345,0.5925155925155925,0.6092436974789915,1.08241439349971,1.2660877036855187,1.0181655379077656,0.4027986688262427,0.43605812178671605,0.4449652208362282,0.7177129185170515,0.7601750186829439,0.5197381026856266
daysOfSalesOutstanding,15.940203241790543,31.36827105763141,45.584659593280286,17.673889780631356,9.438652401547918,11.41325397950026,9.757160342717258,8.729061553985872,7.160709486697124,8.640883665743827,7.0915262172284645,6.96991952995274,5.880287508261731,5.959903381642512,6.920529801324503,10.327045938545787,9.681377944089808,12.416930379746836,13.86217457886677,8.115209701869631,11.527722717946833,4.683614770662449,8.920261046877988,5.661076440998761,7.783811401591746,7.318511923928317,7.869718775046461,10.136647763763724
daysOfInventoryOutstanding,15.126954149617038,16.788436830835117,13.815139879319801,11.74125874125874,10.578047400515496,10.241849278460716,8.692318564059077,8.456753333829994,8.885329916720051,11.99626996973749,12.018886470546935,18.60729722857869,16.553751399776036,28.21441063308849,20.479546710889995,15.708707211698238,12.612638411607483,13.004750593824228,13.562516951451045,10.123769758425292,9.712175267978644,8.175996477511758,9.915736408622275,9.379749930974638,8.19508656708113,8.67388384754991,8.8498600104399,8.561212814645309
operatingCycle,31.067157391407584,48.15670788846653,59.39979947260009,29.415148521890096,20.016699802063414,21.655103257960974,18.449478906776335,17.185814887815866,16.046039403417176,20.63715363548132,19.1104126877754,25.57721675853143,22.434038908037767,34.174314014731,27.400076512214497,26.035753150244027,22.29401635569729,25.421680973571064,27.424691530317816,18.23897946029492,21.239897985925477,12.859611248174208,18.835997455500262,15.040826371973399,15.978897968672875,15.992395771478225,16.71957878548636,18.697860578409035
daysOfPayablesOutstanding,38.372678627636134,40.0796573875803,3.704059243006034,6.747339616904834,6.034764569057647,4.535676109032603,3.5594657621369516,4.840199657304627,3.1956011103993167,4.855021465268492,28.368672330267497,49.047165013984234,50.34247853676745,95.23959426372858,67.39082365948038,46.034396809571284,44.806223749522715,45.42992874109264,41.57851912123678,44.08738443185208,40.87692610375401,58.49543625712133,38.48877199194086,22.56757582929042,25.782543258860322,26.64483439201452,37.10657239121151,24.529545194508007
cashConversionCycle,-7.30552123622855,8.07705050088623,55.69574022959405,22.66780890498526,13.981935233005768,17.11942714892837,14.890013144639383,12.345615230511239,12.85043829301786,15.782132170212826,-9.258259642492096,-23.469948255452802,-27.908439628729685,-61.065280248997574,-39.99074714726588,-19.998643659327257,-22.512207393825424,-20.008247767521574,-14.153827590918965,-25.84840497155716,-19.63702811782853,-45.63582500894712,-19.652774536440596,-7.52674945731702,-9.803645290187447,-10.652438620536294,-20.38699360572515,-5.831684616098972
grossProfitMargin,0.19954648526077098,0.26060797973400884,-0.20888594164456234,0.26676475833779206,0.27580241292966085,0.2929951348542818,0.30717258261933905,0.3227547931382442,0.24488040849234077,0.1971862817108311,0.16649110486891386,0.49763699067569295,0.5573364177131527,0.723768115942029,0.671777193141613,0.3897170672345604,0.42350869469513536,0.44488396624472576,0.435375191424196,0.43523665150749535,0.41456699308971706,0.4329527751966005,0.47507859019109455,0.4646281443039691,0.46481419219112485,0.42255610100657065,0.38132858900172334,0.3915240130453353
operatingProfitMargin,0.04270597127739985,0.10899303356554782,-0.4217506631299735,0.13184412341715712,0.14595948099248804,0.1660290019366114,0.18408812729498164,0.20766902119071645,0.11959150765923139,0.07220746934855077,0.036458333333333336,0.044258525993102565,0.08162590879048248,0.025314009661835748,0.04073301279143609,0.08021498833789677,0.1027955095751706,0.10812236286919831,0.08483920367534456,0.08135421930267812,0.07558046141355736,0.11360976271850351,0.18074770424599437,0.16504310870014635,0.16417249842698572,0.1373488565484208,0.10299985027171281,0.10913963653654633
pretaxProfitMargin,0.030570252792475015,0.08391386953768208,-0.47038019451812557,0.13184412341715712,0.14404734805372182,0.15355911388219734,0.1736597307221542,0.1755297679112008,0.09760816984681538,0.06830894400813606,0.04008661048689138,0.02062843275003193,0.061549900859220096,0.015845410628019325,0.02521999455683571,0.10729134976168746,0.08694695135373101,0.11524261603375527,0.07488514548238898,0.1192521475492673,0.07111522734282172,0.14898885255439343,0.1800784485871466,0.16336116304061143,0.1693360678965797,0.1354415100943953,0.10021872073325759,0.1062187429401295
netProfitMargin,0.02263374485596708,0.061874604179860675,-0.33974358974358976,0.10255038344925986,0.11222399271568405,0.16475367247650088,0.10986536107711138,0.11004036326942482,0.061058855146466,0.0426012769082999,0.024637172284644196,0.01136799080342317,0.037921348314606744,0.009565217391304347,0.016148054068765308,0.06540918770915728,0.05491965661457187,0.07225738396624473,0.047932618683001534,0.07444837459996631,0.043639803244285215,0.09201277943769177,0.1067504372021892,0.10017300917499773,0.10409055759153502,0.08325567271821235,0.060871007612655854,0.06357181670113421
effectiveTaxRate,0.25961538461538464,0.26264150943396225,0.27772556390977443,0.2221846466012851,0.2209228824273072,-0.07290064595509074,0.3673526924161263,0.3730957171601035,0.3744493392070485,0.3763440860215054,0.3854014598540146,0.44891640866873067,0.3838926174496644,0.39634146341463417,0.3597122302158273,0.390359168241966,0.36835443037974686,0.37299771167048057,0.35991820040899797,0.3757062146892655,0.38635078766024417,0.3824183631181441,0.38544709661438775,0.38680034280794867,0.38530190948388343,0.38530165043059755,0.39261839337711874,0.40150095038343053
returnOnAssets,0.01523933387995137,0.02689977973568282,-0.08887475425002891,0.08882023556671172,0.09393338922338236,0.13890880127439267,0.09636691574336512,0.10233671171171171,0.05623762376237624,0.03897647971051951,0.022639277263927726,0.009851671463360637,0.02968376123650003,0.006938117597589179,0.012440592675426335,0.03845695206296208,0.037072808320950966,0.03854269236179491,0.02760871482755579,0.044745899979752986,0.026912634371073572,0.056812158440108916,0.0904245429841675,0.08392931988443968,0.09190656650260094,0.0748375002355069,0.05568367647568309,0.05608696480045895
returnOnEquity,0.05043510807523159,0.09381601690032648,-0.3463271744028842,0.2339300244100895,0.25017761087993506,0.33441994247363377,0.2658452789953797,0.2964120684968741,0.16767527675276753,0.10278080697928026,0.0602116704805492,0.02588337938054384,0.0735930735930736,0.018111964873765093,0.03593781546537452,0.09292609134130529,0.07737633741665374,0.08209737827715356,0.05666183924692252,0.08749010292953285,0.054497935936106634,0.12733937494098857,0.17474270713813844,0.16728260363609693,0.18075305327371494,0.15817279884998542,0.12578747227466644,0.12795046373688274
returnOnCapitalEmployed,0.04069465007402665,0.06337457652084254,-0.1409053984196145,0.17452635306616301,0.1748377597207831,0.19307882449876407,0.22868264201435348,0.2959873435926938,0.15584506548994886,0.09349623235057429,0.04467230747167646,0.05120059106021426,0.08126336568514558,0.02259984473389114,0.03903668927143106,0.06628121334003687,0.08833821999432517,0.07907425265188042,0.060250135943447525,0.0592274678111588,0.05549765010860485,0.09338948048788717,0.19011596916797815,0.1665888333031023,0.17685649113157617,0.155207456551854,0.11860246951142213,0.11851479171620045
netIncomePerEBT,0.7403846153846154,0.7373584905660377,0.7222744360902256,0.7778153533987149,0.7790771175726928,1.0729006459550907,0.6326473075838737,0.6269042828398965,0.6255506607929515,0.6236559139784946,0.6145985401459854,0.5510835913312694,0.6161073825503356,0.6036585365853658,0.6402877697841727,0.6096408317580341,0.6316455696202532,0.6270022883295194,0.6400817995910021,0.6242937853107344,0.6136492123397558,0.617581636881856,0.5927996272720482,0.6131996571920513,0.6146980905161166,0.6146983495694024,0.6073816066228813,0.5984990496165694
ebtPerEbit,0.7158308751229105,0.7699012202208019,1.1153039832285114,1,0.9868995633187773,0.9248933143669986,0.9433510638297873,0.8452380952380952,0.8161797752808989,0.9460093896713615,1.0995184590690208,0.4660894660894661,0.7540485829959515,0.6259541984732825,0.6191536748329621,1.3375474083438685,0.8458244111349036,1.0658536585365854,0.8826714801444043,1.4658385093167703,0.9409207884256885,1.311408887663558,0.9962972937242017,0.9898090524785818,1.0314520977573503,0.9861131246232613,0.972998703094047,0.9732370961723084
ebitPerRevenue,0.04270597127739985,0.10899303356554782,-0.4217506631299735,0.13184412341715712,0.14595948099248804,0.1660290019366114,0.18408812729498164,0.20766902119071645,0.11959150765923139,0.07220746934855077,0.036458333333333336,0.044258525993102565,0.08162590879048248,0.025314009661835748,0.04073301279143609,0.08021498833789677,0.1027955095751706,0.10812236286919831,0.08483920367534456,0.08135421930267812,0.07558046141355736,0.11360976271850351,0.18074770424599437,0.16504310870014635,0.16417249842698572,0.1373488565484208,0.10299985027171281,0.10913963653654633
debtRatio,0.6978427436455653,0.7132709251101321,0.7433792066612698,0.6203128016991697,0.6245712979193659,0.5846276383910792,0.6375075152452118,0.6547484984984985,0.6646039603960396,0.6207805634530886,0.6240051624005163,0.6193823334071287,0.596650067904029,0.616931810217955,0.6538300251607493,0.5861554972573336,0.5208766716196137,0.530524687016458,0.5127458763341272,0.48856043733549304,0.5061714923914561,0.5538523848853764,0.4825275145091769,0.4982782545218045,0.4915351921418084,0.5268623886052339,0.5573193779258592,0.5616509455112554
