,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,0.6392081321341646,0.4100497848879734,0.7551081645909232,0.7977957395957399,0.5681659040098058,0.4011695673397822,1.2483623336745138,0.755089611049911,0.5010503247834273,0.7198045449452151,0.6158298367751968,0.6078427729339793,0.5580317347120699,1.1436916218311015,0.8571896291494371,1.3786474203377577,0.6463730730979612,0.7695555480294871,0.6178901312591152,0.5558134690355028,1.6235719208838948,1.3538454828932163,1.3600746268656716,0.9183848797250859,0.9052823315118397,1.5784753363228698,1.2993197278911566,1.0671140939597314,1.148936170212766,1.0163934426229508,1.0212765957446808,1.3333333333333333,1.0
quickRatio,0.6210140871957066,0.3580720416614203,0.4826562455872801,0.6508490204832733,0.46233419328023634,0.3444545173791331,0.35344307972250655,0.2507586751122786,0.36325497769194914,0.3685588924799459,0.24861114366751835,0.2527649908723947,0.39601214884242164,0.4609548702455914,0.5582304466118593,0.5712398216529808,0.41422799602187965,0.5662839660875357,0.3999102501776299,0.5098651906079814,0.7451074583846781,1.232168167644301,0.9160447761194029,0.4166666666666667,0.7085610200364298,1.1973094170403586,1.217687074829932,0.959731543624161,1.0425531914893618,0.9672131147540983,0.9361702127659575,1.0,1.0
cashRatio,0.1860551079642332,0.0006479533586761379,0.0009637380327035499,0.0007220350524833369,0.0005930059710936062,0.0004468777618540019,0.0013391334015694302,0.0005931700703330227,0.0007022344373346571,0.0005536721426013363,0.00017971136791605134,0.006614610671633818,0.0024418663882026337,0.00213004294030788,0.013155094570658703,0.010251510613024841,0.014762555942317256,0.10375814226527133,0.0058991810328708726,0.019849418206707735,0.07059462394786858,0.0541878366296692,0.24067164179104478,0.09450171821305842,0.1766848816029144,0.38565022421524664,0.20408163265306123,0.3288590604026846,0.2127659574468085,0.3770491803278688,0.2553191489361702,0.3333333333333333,0.5
daysOfSalesOutstanding,51.10138030559939,51.77712233560511,38.29720400440765,53.726050493770394,53.103018334389915,64.80946574306009,38.251821099023104,33.763630720031024,35.791157116402594,44.71809660348101,39.38734176785576,37.23265237373373,49.72995819653251,44.751123816751544,70.26452689381807,61.017925481706435,87.53347749912773,93.25904953742824,61.72997668511259,61.53528755285709,53.720747407998175,105.03819538778706,77.21153846153847,93.3663028649386,75.2152434721242,75.15927189988624,107.05708661417323,100.02915451895043,149.05759162303664,98.796992481203,121.66666666666667,104.28571428571429,74.48979591836735
daysOfInventoryOutstanding,0.0,0.0,0.0,6.363421029855891,7.620313036402243,11.89336353124245,13.980154374086187,7.438742080931453,5.69847676655206,12.556094079270897,19.646853588275125,34.56309285547029,42.99748264129021,34.62232895557344,27.32832081848428,39.06580057610056,47.84524664564011,49.5552889955129,18.346998248474968,19.138995154297376,33.6663840211042,43.72759087103077,29.93,21.28644939965695,27.696476964769648,8.36676217765043,18.761682242990656,35.18072289156626,32.205882352941174,20.857142857142858,31.06382978723404,0.0,0.0
operatingCycle,51.10138030559939,51.77712233560511,38.29720400440765,60.08947152362629,60.72333137079216,76.70282927430253,52.23197547310929,41.20237280096248,41.48963388295466,57.27419068275191,59.03419535613088,71.79574522920402,92.72744083782271,79.37345277232498,97.59284771230236,100.08372605780698,135.37872414476783,142.81433853294115,80.07697493358756,80.67428270715448,87.38713142910237,148.76578625881783,107.14153846153846,114.65275226459555,102.91172043689384,83.52603407753666,125.81876885716389,135.2098774105167,181.26347397597783,119.65413533834587,152.7304964539007,104.28571428571429,74.48979591836735
daysOfPayablesOutstanding,32.38362268737232,27.033611870843615,52.35514017828617,62.99797903725647,122.75858072428913,102.57930936384516,49.38781934495944,165.38306032760687,118.27668855969927,132.03226671723036,434.7847302720425,503.90064106812287,433.26244156131565,435.47651575374744,510.0246571019029,456.8765820943292,455.5689660556475,425.5171264827402,176.9391345050432,167.8323556915753,187.08743169398906,209.46926594671191,174.47,176.55231560891937,319.49864498644985,150.60171919770775,155.21028037383178,184.6987951807229,175.34313725490196,198.14285714285717,163.08510638297872,521.4285714285714,730.0
cashConversionCycle,18.71775761822707,24.743510464761492,-14.057936173878524,-2.908507513630184,-62.03524935349697,-25.876480089542625,2.844156128149848,-124.18068752664439,-76.78705467674462,-74.75807603447845,-375.75053491591166,-432.1048958389189,-340.53500072349294,-356.10306298142245,-412.4318093896005,-356.7928560365222,-320.19024191087965,-282.702787949799,-96.86215957145563,-87.15807298442081,-99.70030026488669,-60.70347968789409,-67.32846153846154,-61.89956334432382,-216.586924549556,-67.07568512017109,-29.39151151666789,-49.4889177702062,5.92033672107587,-78.4887218045113,-10.35460992907801,-417.14285714285717,-655.5102040816327
grossProfitMargin,0.438360491548662,-0.003887734097853661,0.5836195766597692,0.6049014993834432,0.5735723699576257,0.40094686813630787,0.2661072485157027,0.5710971208844686,0.5647358743579626,0.5255135740069562,0.7782115429813613,0.7821497148632065,0.8007970542497252,0.8412052788206935,0.8241428632547319,0.8236872345228079,0.8207524111076075,0.7894433236567958,0.734234360766783,0.6989065107659544,0.7581405947362424,0.7518791384995659,0.6898263027295285,0.602319236016371,0.739590684544813,0.602957906712173,0.5787401574803149,0.5160349854227405,0.46596858638743455,0.47368421052631576,0.5104166666666666,0.7428571428571429,0.7755102040816326
operatingProfitMargin,0.38436683322910964,-0.11173192826894765,0.03878106864687839,0.19643971795861645,0.13637849921590872,-0.17371614524031645,-0.2519243397669806,0.2762368564192472,0.23081801476106192,0.20655092584126658,0.2547054945446554,0.2935287182078491,0.06040286948346873,0.44635197026033546,0.40032283913430083,0.48596048878583303,0.4236235369628534,0.2803025814840337,0.28723459752725755,0.21738217858276423,0.34895750256351826,0.31204619670891065,0.15818858560794044,0.12892223738062755,0.3041637261820748,0.267349260523322,0.2047244094488189,0.14868804664723032,0.13089005235602094,0.09774436090225563,0.03125,0.1,0.10204081632653061
pretaxProfitMargin,0.11228651011789337,-0.4140004469434347,-0.8522276997417082,-0.5330104621191738,0.03424977478228955,-0.5892311195668941,-0.8905461943092348,0.5047081154466235,0.08163665170694222,0.018327378057031676,0.06640510653173468,-0.3522154046055006,-0.06472979838891883,0.41014039111166206,0.3072718589960767,0.41211807194303657,0.33095752084588875,0.20821497503952205,0.19828890395951798,0.09885429358342974,-0.06064030990087729,0.09921212024355552,-0.05334987593052109,-1.5668485675306958,-0.24770642201834864,0.22070534698521047,0.1220472440944882,0.07871720116618076,0.07853403141361257,0.06766917293233082,0.052083333333333336,0.04285714285714286,0.02040816326530612
netProfitMargin,0.11500768481183453,-0.3996533380947408,-0.6598771825813342,-0.5238651439767451,0.13894514697540955,-0.38299897893971335,-0.6039456581343552,0.3105853162023503,0.06315830837771857,0.009510399485054511,0.049234283270644316,-0.23028080560167472,-0.05937128378415612,0.2616567405950503,0.26660707864116173,0.20353507889930847,0.20712669113380364,0.13168094241784556,0.14211647812774633,0.1319046985225609,0.08049675287683719,0.20222247082074804,-0.04838709677419355,-1.195088676671214,-0.16443189837685251,0.14334470989761092,0.08661417322834646,0.07580174927113703,0.07329842931937172,0.05263157894736842,0.041666666666666664,0.04285714285714286,0.02040816326530612
effectiveTaxRate,-0.024234208464437176,0.03465481487911095,0.22570319788792503,0.017157858602002286,-3.056819288845592,0.35000211933607434,0.3218255695283562,0.38462389112267614,0.2263486184557993,0.4810823754789272,0.4543270766518023,0.3461932596060042,0.0827828100524416,0.3620312793727907,0.3716494127652529,0.3850314308831767,0.37415928604851756,0.36757218162213967,0.3741727885374294,-0.230036250647333,0.030512550728994437,-0.08451460481099657,-0.18604651162790697,0.23726599912929908,0.33618233618233617,0.35051546391752575,0.2903225806451613,0.037037037037037035,0.06666666666666667,0.2222222222222222,0.2,0.0,0.0
returnOnAssets,0.06182382212044819,-0.1159824707313226,-0.25955722904366235,-0.1798983617276776,0.02840400002012134,-0.04621314286296743,-0.10343214400051245,0.07252749011636282,0.015854313814085762,0.0019323097134899799,0.009926661158127575,-0.04351227752007516,-0.00998354114925811,0.06223017062519787,0.057405338169374986,0.04978614500729999,0.0549835684762393,0.02647037807304222,0.042663997079838235,0.0391292726930343,0.025881294489656568,0.05508259995792009,-0.01036682615629984,-0.19010416666666666,-0.030489400680450144,0.04460176991150443,0.020493712156497437,0.018335684062059238,0.01834862385321101,0.024734982332155476,0.01646090534979424,0.02142857142857143,0.014285714285714285
returnOnEquity,0.19743266289903977,-0.43466368657769144,-0.7311206702654071,-0.430228029494774,0.05769489210068386,-0.0964039429269606,-0.25861356733334345,0.18348373892855066,0.0479288882114865,0.00551541703713256,0.02425410254052382,-0.10759069882060167,-0.02264788073937952,0.1408386981540243,0.13342943550487205,0.12633890082561072,0.1592873244246495,0.0745682805381926,0.1292206986638255,0.12501152302907684,0.07496360680924026,0.20496525509295005,-0.06132075471698113,-1.3153153153153154,-0.1182741116751269,0.1072340425531915,0.04435483870967742,0.06018518518518518,0.043343653250773995,0.07368421052631578,0.05,0.05,0.1
returnOnCapitalEmployed,0.2498532146269037,-0.036646320184085174,0.016683650743426204,0.07314563956725438,0.02979869079392945,-0.022352941398874362,-0.045462104655689076,0.07060287434824632,0.062161453070283416,0.04501137466382895,0.05628309013641602,0.06017512939954507,0.010784810116618655,0.11336085861683627,0.09329102753245354,0.1282153054256767,0.13377365994491008,0.06338472082377926,0.0989839958956034,0.07181562649041567,0.12066191498984373,0.09105620031524655,0.03649112764739554,0.02347242921013413,0.06076413365289722,0.090315142198309,0.052,0.04018912529550828,0.03736920777279522,0.05855855855855856,0.015306122448979591,0.02727272727272727,0.02
netIncomePerEBT,1.0242342084644371,0.9653451851208891,0.774296802112075,0.9828421413979977,4.056819288845592,0.6499978806639256,0.6781744304716438,0.6153761088773239,0.7736513815442008,0.5189176245210728,0.7414231501475793,0.6538067403939958,0.9172171899475584,0.6379687206272093,0.8676586248809913,0.493875645733491,0.6258407139514824,0.6324278183778603,0.7167142250015178,1.3343345416882444,-1.327446264842928,2.038283934707904,0.9069767441860465,0.7627340008707009,0.6638176638176638,0.6494845360824743,0.7096774193548387,0.9629629629629629,0.9333333333333333,0.7777777777777778,0.8,1.0,1.0
ebtPerEbit,0.2921337129287706,3.7053011914991987,-21.975353683563505,-2.7133538352537343,0.2511376425111318,3.3919191492060805,3.534974806852536,1.827084633053539,0.35368405620961085,0.08873055389311679,0.2607132863405599,-1.1999350753683162,-1.0716344925738057,0.9188721422523285,0.767560151353225,0.8480485172214496,0.7812538538785434,0.7428221814338951,0.6903378132945878,0.4547488401667334,-0.1737756301423534,0.31794048858767093,-0.33725490196078434,-12.153439153439153,-0.814385150812065,0.825531914893617,0.5961538461538461,0.5294117647058824,0.6,0.6923076923076923,1.6666666666666667,1.0,1.0
ebitPerRevenue,0.38436683322910964,-0.11173192826894765,0.03878106864687839,0.19643971795861645,0.13637849921590872,-0.17371614524031645,-0.2519243397669806,0.2762368564192472,0.23081801476106192,0.20655092584126658,0.2547054945446554,0.2935287182078491,0.06040286948346873,0.44635197026033546,0.40032283913430083,0.48596048878583303,0.4236235369628534,0.2803025814840337,0.28723459752725755,0.21738217858276423,0.34895750256351826,0.31204619670891065,0.15818858560794044,0.12892223738062755,0.3041637261820748,0.267349260523322,0.2047244094488189,0.14868804664723032,0.13089005235602094,0.09774436090225563,0.03125,0.04285714285714286,0.02040816326530612
