,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.020535802225943,0.9978503643894511,1.07176045431079,1.0581208657119003,1.0809265944645006,1.0722853782830262,1.0521008403361345,1.0677059452850375,1.0538830424936725,1.059632729868276,1.0672312703583062,1.1268168604651163,1.1212448837748088,1.1067246835443039,1.1345778333203156,1.2350030921459494,0.87883316008316,0.6866705440702162,0.7074457189676362,0.6880839895013123,0.6781657551535549,0.6408308314441518,0.6423065063213075,0.5858199753390876,0.5531133127747523,0.5680712001112501,0.5124939700916546,0.21011201937632457,6.072306416346226,90.23784104389087,116.15812337098176,170.08214849921012,424.4541484716157,0,0,0,0,0
quickRatio,0.20570274795626908,0.20882923504430348,0.24992829690816268,1.025367670669835,1.0438477737665464,1.0607604860838886,1.0320128051220487,1.031636863823934,1.0345011322765418,1.0363376808772955,1.0392182410423452,0.3081395348837209,0.2959301876592787,0.21289556962025316,0.2728266812465828,0.9200852057994915,0.885914760914761,0.7919949241262624,0.8074559606718558,0.7593700787401575,0.7354333193100547,0.7376998958397157,0.7198889916743756,0.6501233045622689,0.6265993045075783,0.6280280906688916,0.6078919440424505,0.24524977293369665,1.487295483676393,65.17081850533808,86.59339704604692,131.608214849921,323.3231441048035,0,0,0,0,0
cashRatio,0.03398010440263961,0.028521994442405496,0.05070842654735272,0.0507353413396699,0.049338146811071,0.05927087416699334,0.0344937975190076,0.029344337459880788,0.024910083921673105,0.030951917461553437,0.018957654723127035,0.019767441860465116,0.02672021005483049,0.017167721518987343,0.04545809575880653,0.04012918298632585,0.018256237006237006,0.025167873949135514,0.029188857025809093,0.028346456692913385,0.026609171224232224,0.026897861650634153,0.06894850447116867,0.051602959309494455,0.04743783216324388,0.07542066471978863,0.03956584659913169,0.006981531940660006,0.19181180728342004,0,0,0,0,0,0,0,0,0
daysOfSalesOutstanding,88.77113550765286,94.20610186172394,104.39409000542202,106.1890493053664,97.77390900649954,95.64912982596519,104.3134233180997,108.88396624472574,94.72727272727273,95.76809140922556,98.30336981066527,102.93213431381236,115.82060620300751,98.61487820934826,95.18411741580395,414.05099718913135,368.17958454322087,359.8053268272847,362.38055446323244,376.1992864424057,398.9679211063251,379.74075039082857,407.3152542372881,379.24893917963226,371.35222547358694,396.73278260869563,434.0205708408331,315.57862088863243,232.9663932257211,199.4076414898044,188.18312603027124,102.40523388720189,82.56415625951873,0,0,0,0,0
daysOfInventoryOutstanding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
operatingCycle,88.77113550765286,94.20610186172394,104.39409000542202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daysOfPayablesOutstanding,0,118.74146631047789,124.61303979678239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashConversionCycle,88.77113550765286,-24.535364448753953,-20.218949791360373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grossProfitMargin,0.48096802628415736,0.4473878454851144,0.4663835170793421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
operatingProfitMargin,0.2940139434249539,0.17140982530960386,0.2513103198987891,0.19694906020157996,0.14336118848653667,0.09791958391678336,0.20257200552662344,0.1949367088607595,0.16322125363221254,0.14143038510368175,0.13861386138613863,0.14228758749003279,0.14403195488721804,0.13443054641211324,0.13471366793342943,0.15566858519609156,0.1171543444270717,0.11080614008335875,0.09988202909948879,0.12344546381243629,0.1039446837451825,0.06852527357998958,0.13477966101694916,0.10466760961810467,0.15678422916987525,0.10627826086956521,0.12489071740807406,0.14290248124639354,0.14048930693545672,1.8643882646691636,1.9003746440881162,1.8730082909686445,1.8594654279622296,1.8422622965205564,1.888905303589895,1.894775212636695,1.8545081967213115,1.8308574790410355
pretaxProfitMargin,0.25290488019873386,0.1583695563027967,0.22275438279414422,0.169890129846545,0.11569173630454968,0.0685137027405481,0.14889998937187798,0.15063291139240506,0.14653383146533833,0.13017350825222176,0.11994094146256731,0.1226189421458315,0.1244125939849624,0.12495062541145491,0.11309133796356965,0.13706331147102127,0.1027473754746482,0.09809901392701027,0.08651199370821865,0.11314984709480122,0.08988891407844027,0.05198019801980198,0.11579661016949153,0.08981612446958982,0.14338518404435546,0.0942608695652174,0.11468243764463873,0.1321407963069821,0.12932714282277658,0.12460986267166042,0.08706728607822568,0.11310518953222559,0.12381967712458118,0.1378175595629854,0.09362535086423401,0.10522478736330498,0.14549180327868852,0.16914252095896457
netProfitMargin,0.2074685471592275,0.10292790945624539,0.1779324055666004,0.13910832652319985,0.1052924791086351,0.12262452490498099,0.14836858327133595,0.1460970464135021,0.11598173515981736,0.09420228523063902,0.08624283480979678,0.08673695401789669,0.08294172932330827,0.09835418038183015,0.19158694797536366,0.11564716905367421,0.0804109895018986,0.07492121581783064,0.05367675973259929,0.06401630988786952,0.05282248923146679,0.0264460656591975,0.06427118644067796,0.04978783592644979,0.08332049899892191,0.052,0.08614039598868604,0.11627236006924409,0.08660299742596647,0.08421764461090304,0.0379439532444178,0.08256849431915111,0.09099908620164483,0.10197007590715633,0.06629487368887575,0.07496962332928311,0.10201595037660612,0.11839976467127519
effectiveTaxRate,0.16159695817490494,0.32263076126359397,0.1817444219066937,0.15873864243719935,0.11717495987158909,0.36496350364963503,0.17059243397573162,0.1869747899159664,0.18923512747875354,0.2535760728218466,0.2606806661839247,0.273121387283237,0.28328611898017,0.28240252897787144,0.28041714947856317,0.34375,0.35108695652173916,0.33471502590673574,0.3443181818181818,0.37027027027027026,0.3694829760403531,0.39097744360902253,0.38992974238875877,0.3826771653543307,0.3748657357679914,0.37453874538745385,0.3452914798206278,0.33624454148471616,0.33035714285714285,0.3241494468795659,0.29018932874354564,0.26998491704374056,0.2650676506765068,0.2601082457815982,0.29191321499013806,0.28752886836027713,0.29881994670727063,0.3
returnOnAssets,0.07916462818003914,0.03932073816461447,0.06131282306782089,0.0520999829960891,0.0429187798047082,0.04699478687519166,0.052451625023482995,0.05098659991164777,0.046923283622195354,0.03679217215959803,0.03257232828183428,0.033128045479155384,0.02435994755365399,0.0325376774980399,0.06373147340889276,0.03463203463203463,0.029607698001480384,0.02649363721331512,0.01927353595255745,0.023236023236023237,0.018394252782821505,0.00906816760475297,0.02130241337467979,0.01665720234715124,0.027478667208451848,0.015997003905623027,0.0244121054894445,0.020419744829193648,0.020087155937707497,0.019890534489007378,0.008859466192668896,0.02080253068803081,0.02290983685128736,0.02538115416539251,0.021715460924268085,0.026128567798763446,0.031194960032515918,0.0503801983915887
returnOnEquity,-4.89413988657845,1.182846371347785,0.563376251788269,0.4539259259259259,0.27318718381112983,0.2675103643901375,0.2549771689497717,0.22682607271536193,0.2126008217927256,0.13664825046040516,0.12793094563256893,0.12119336469423124,0.08556538601381651,0.1388733965421082,0.2753295668549906,0.13888442372608906,0.1379839018781142,0.13897793701678296,0.10699588477366255,0.13961760782570032,0.1196405648267009,0.04697986577181208,0.11318051575931232,0.09140482991430797,0.14173434634529736,0.0825487976588167,0.11825337992869497,0.1785239656241694,0.1594755027908213,0.14153335081737914,0.06017396264080992,0.13633802816901408,0.16396816684961582,0.16350077388490222,0.1432218941993138,0.16377632277473014,0.16129597197898424,0.16548463356973994
