,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.0547461368653421,1.1251791686574295,1.1140917905623788,1.2279176201372999,1.403225806451613,1.463810930576071,1.4801312431644185,1.4294117647058824,1.5044490075290897,1.3177908113391985,1.3402766483168957,1.292096953145003,1.3204431265958323,1.1891686026583388,1.2496468689042846,1.159129937034917,1.429897952446399,1.495646196150321,1.5705879769902955,1.6112951807228915,1.3353319057815847,1.4144002515327778,1.3534465020576132,1.8160679294578708,1.7758832835296186,1.6151799964532718,1.6937377690802349,1.6192654721057314,1.8209233060312733,2.1656881930854532,1.7387017255546426,1.4058463630183549,1.7746305418719213,1.4217877094972067
quickRatio,0.44547461368653424,0.6497849976110845,0.7563025210084033,0.7061784897025172,0.7590420332355816,0.7139340226489415,0.5854903390448414,0.8079584775086506,0.783025325119781,0.720772238514174,0.7001495039896222,0.6790560723734744,0.7335063009636767,0.5375328483832883,0.5834062016546714,0.5568874372874507,0.7840013026830166,0.8626260311640697,0.879769902955254,0.8308734939759036,0.639971448965025,0.5490750930147251,0.549537037037037,0.9381450032658393,0.6103884689752154,0.4019329668380919,0.4328767123287671,0.3799720421908756,0.5653387937453462,0.6268754076973255,0.3126540673788003,0.15907545887151597,0.5110837438423645,0.20391061452513967
cashRatio,0.2269315673289183,0.34830387004300045,0.22559793148028442,0.3011441647597254,0.3040078201368524,0.37567700640078777,0.3135253372220197,0.37058823529411766,0.3268309377138946,0.3278592375366569,0.2787294554118149,0.2677733208159085,0.2717650934848859,0.05929847278820886,0.07499831842335374,0.0584531465705916,0.28483917576134654,0.30312404521845404,0.34729723795723005,0.4403112449799197,0.2680942184154176,0.0793900330136771,0.11255144032921811,0.4601567602873939,0.17542626120583582,0.04557545664124845,0.060665362035225046,0.041174227983225314,0.25781831720029785,0.4246575342465753,0.16516023007395234,0.055064581917063225,0.3497536945812808,0.1424581005586592
daysOfSalesOutstanding,21.343768458357943,23.719361483007212,56.290973983281674,29.325919201089423,33.18505859375,22.752472552399965,18.798066965826717,28.663021868787276,43.27922077922078,27.43390491762447,27.410453932287762,30.24019233404286,33.69748544748814,31.61871675875014,35.53496604129812,35.99476269755718,31.495260083658845,35.085444947949085,32.85381168009298,24.799075571078152,25.573375341276435,28.276412794251463,30.211286818079955,29.26425642108539,26.89073315965761,24.172543914576675,26.132274335616955,22.809291641273262,23.375848032564452,13.058280438545873,10.073416359163591,8.923777564717161,15.198664971392244,6.083333333333333
daysOfInventoryOutstanding,47.49091184489549,44.79414093428345,46.03201759745814,45.92686672967864,51.28486952050392,56.15722362564658,46.72584903942457,48.528409090909086,76.76183844011142,51.48570763394046,51.921244307546225,54.410686280752785,52.25019574892631,46.33402877180038,56.869027638909536,54.3346068665215,50.21785953382251,55.24076763752933,57.48766562711417,59.32685118165935,57.49272957885208,62.67739329571181,72.02555721878133,72.33550663013008,92.03939423933485,104.55975862963925,113.39175944898412,105.4704865398864,120.40735806517728,126.79824895317853,125.05931859663355,139.47154471544715,157.07285896889647,158.92166836215665
operatingCycle,68.83468030325344,68.51350241729065,102.32299158073982,75.25278593076807,84.46992811425392,78.90969617804654,65.52391600525128,77.19143095969636,120.0410592193322,78.91961255156492,79.33169823983398,84.65087861479564,85.94768119641445,77.95274553055052,92.40399368020766,90.32936956407868,81.71311961748135,90.32621258547842,90.34147730720716,84.1259267527375,83.06610492012851,90.95380608996328,102.23684403686129,101.59976305121548,118.93012739899247,128.7323025442159,139.52403378460107,128.27977818115966,143.78320609774173,139.8565293917244,135.13273495579713,148.39532228016432,172.27152394028872,165.00500169549
daysOfPayablesOutstanding,52.52196304150258,44.264317761942465,45.7643895881706,47.867438563327035,41.85370870291811,39.20907013111993,32.80114722753346,39.69967532467532,60.40970287836583,45.81571298969249,44.979936344479476,47.64518472002694,45.09806184283575,43.55732743807428,52.680908644718436,55.11449568366128,48.88602528532391,64.71027742207173,56.92410323864212,53.346908155076655,48.431747584884526,50.157795732843695,62.120727302690305,59.068632082900244,62.768583589032964,61.73328142572887,75.8347939862246,68.72483946653495,73.53863496618159,65.96954701180053,73.13323869397688,97.06782199400942,104.1968470387729,0.0
cashConversionCycle,16.312717261750855,24.249184655348188,56.55860199256922,27.385347367441035,42.616219411335805,39.700626046926615,32.72276877771782,37.49175563502104,59.63135634096637,33.10389956187243,34.35176189535451,37.005693894768704,40.8496193535787,34.395418092476234,39.72308503548923,35.21487388041739,32.82709433215744,25.61593516340669,33.41737406856504,30.779018597660844,34.63435733524398,40.796010357119584,40.11611673417098,42.53113096831523,56.161543809959504,66.99902111848704,63.68923979837648,59.55493871462471,70.24457113156014,73.88698237992386,61.999496261820255,51.3275002861549,68.07467690151582,165.00500169549
grossProfitMargin,0.22008269344359127,0.21956745623069002,0.2314266929651545,0.23159328188833408,0.24033203125,0.24571273024226475,0.24176734552985849,0.2345924453280318,0.23358832947874045,0.3036360008721301,0.2982232611194902,0.288585048827079,0.2793192982450362,0.2763441647998861,0.2899943500376138,0.3109525080673684,0.30758738181198836,0.3137658270190883,0.31347860261457516,0.29270251138695774,0.28312354912968624,0.28485692277480756,0.2905108493369579,0.29428631761450147,0.24800893189430592,0.2381109316811126,0.23761574945418956,0.240729454784117,0.24341926729986432,0.24206578188113098,0.24185116851168512,0.25311601150527324,0.25397329942784486,0.2553030303030303
