,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.0871239470517449,1.145975123210514,1.0264170300076942,1.0424226935854843,0.9458461538461539,0.9810082872928176,1.0484869325997248,1.238550922761449,1.0890410958904109,1.0921366163621922,1.139168490153173,1.1144299537231805,1.1646753246753248,1.1858108108108107,1.072491598655785,1.0541922290388548,0.9495625321667525,1.1264423076923078,1.0422396856581533,0.8916299559471366,0.9664804469273743,1.2883679787704556,0.8321616871704746,0.6726114649681528,0.7772207542044304,0.8988122866894198,1.3361219702892886,1.082670262980445,1.0342000468493793,1.1466443544125418,1.5089309167323353,1.3347820181991037,1.1026072329688814,1.5700934579439252,1.7993311036789297,1.9156626506024097
quickRatio,0.5824308062575211,0.693733865289838,0.547576301615799,0.5645284947610529,0.45076923076923076,0.49171270718232046,0.5601788170563962,0.6821599453178401,0.6003424657534246,0.5587768069896744,0.5645514223194749,0.5885570046276819,0.6093506493506493,0.6418918918918919,0.5424867978876621,0.5603271983640081,0.5043746783324755,0.6591346153846154,0.5869351669941061,0.5044052863436124,0.5794094173982443,0.6789031402034498,0.4197422378441711,0.34883227176220805,0.38502951127355345,0.4122047781569966,0.6351837372947615,0.5269723533378288,0.45842117591941905,0.5378721155539898,0.8376674546887313,0.6793426592421568,0.5508830950378469,0.8286604361370716,1.0367892976588629,1.1526104417670682
cashRatio,0.12779783393501806,0.275287491199249,0.15568094383175174,0.15512394582162023,0.13046153846153846,0.19302486187845305,0.2465612104539202,0.3298017771701982,0.23595890410958903,0.13899920571882446,0.14967177242888402,0.19478334034497266,0.23844155844155845,0.2876447876447876,0.21939510321651465,0.20807770961145194,0.15131240349974268,0.2264423076923077,0.1969548133595285,0.15991189427312774,0.1819632881085395,0.16895179124281293,0.07820738137082602,0.06029723991507431,0.05077420788778307,0.04379522184300341,0.053244722439405784,0.02933243425488874,0.042320605918638246,0.02369209089307733,0.026530076175466245,0.029607496944180363,0.024222035323801513,0.056074766355140186,0.0903010033444816,0.06827309236947791
daysOfSalesOutstanding,60.51298929261014,56.22419006479481,47.81140162880411,52.437449556093625,43.68418027132674,38.112626750362146,37.99132618123716,41.36693415411674,44.86598890942699,45.549586776859506,40.03007866728366,43.022289384208534,32.830687830687836,32.25888019265503,31.790474957939693,36.0190489830994,36.2463810075275,45.631337685789696,43.71191553544495,42.024440518256775,50.5829970780576,57.73700096035122,55.04267977237455,59.763253012048196,58.15782968003202,59.109506835175644,53.755490917725275,60.50267283590135,46.72764618267429,56.36178485465654,59.2068077953459,56.839295595846494,59.83951199078437,49.35659760087241,60.125145518044235,60.8709079678814
daysOfInventoryOutstanding,70.13788902425517,66.50457416684817,63.48165579206332,68.32631812140009,72.71648446490218,69.03007747227707,62.218240584598085,64.22059800664451,61.66364902506964,60.68586910024241,57.43146929824562,57.82394260947541,51.94959229058562,52.03655162370759,56.11194029850746,54.30049261083744,51.337037680152804,54.530414438502675,53.705542516699765,50.60242035949457,51.89345208642586,78.58910063523905,79.02310231023102,79.46453194423165,75.50091685674671,77.1907909394727,68.74124333101368,73.44786450276605,73.51482440990213,75.3310502283105,54.115881389849,64.13184370172199,66.73944642965296,52.54140127388535,52.35758407687028,46.41618497109827
operatingCycle,130.65087831686532,122.72876423164298,111.29305742086743,120.76376767749372,116.40066473622892,107.14270422263922,100.20956676583525,105.58753216076124,106.52963793449663,106.23545587710191,97.46154796552928,100.84623199368394,84.78028012127345,84.29543181636262,87.90241525644716,90.31954159393683,87.58341868768031,100.16175212429238,97.41745805214472,92.62686087775134,102.47644916448345,136.32610159559027,134.06578208260558,139.22778495627983,133.65874653677872,136.30029777464836,122.49673424873896,133.9505373386674,120.24247059257642,131.69283508296704,113.3226891851949,120.97113929756848,126.57895842043733,101.89799887475776,112.48272959491452,107.28709293897967
daysOfPayablesOutstanding,0.0,113.09355260291875,103.30409669483367,110.45414266725743,124.27430955120828,108.17484429591372,94.27627880831928,91.23787375415282,89.87743732590529,76.45586767431912,69.68818530701755,70.91615603048871,62.93476649369904,67.29139362166886,72.34626865671642,73.35960591133005,106.09654453898246,72.34124331550802,62.93103448275862,53.265705641573234,50.32822035296058,116.11417586091609,67.88036303630363,121.964914968592,121.71019872683631,133.41678425547715,56.57457666434701,70.53865918565323,83.55915371329878,84.29223744292237,59.30613668061366,81.87365763593203,89.64175398219369,0.0,0.0,0.0
cashConversionCycle,130.65087831686532,9.635211628724235,7.988960726033753,10.309625010236289,-7.873644814979357,-1.0321400732744905,5.933287957515972,14.349658406608427,16.652200608591343,29.77958820278279,27.77336265851173,29.930075963195236,21.845513627574412,17.004038194693763,15.556146599730738,16.959935682606783,-18.51312585130215,27.820508808784354,34.486423569386105,39.36115523617811,52.14822881152288,20.211925734674182,66.18541904630194,17.262869987687836,11.948547809942411,2.8835135191712027,65.92215758439195,63.41187815301417,36.68331687927764,47.400597640044666,54.01655250458124,39.09748166163645,36.93720443824364,101.89799887475776,112.48272959491452,107.28709293897967
grossProfitMargin,0.20756538529050378,0.20673866090712742,0.19854264894984996,0.19038651242041071,0.2007358013336399,0.20533558667310478,0.18785665373202465,0.17280422117181488,0.17051756007393715,0.17201889020070837,0.15594632114761683,0.15741090542752803,0.15028974552784077,0.17314870559903672,0.13291057331435227,0.12775708965912347,0.1663288940359004,0.1687734407556605,0.1645550527903469,0.17270318021201414,0.15639348824266036,0.17931129098641788,0.21624418003103985,0.2136144578313253,0.2103571680832529,0.19196101729497472,0.14697851121928054,0.1433224024077984,0.16542545524431845,0.15428359827545163,0.13373955980459107,0.1361283812375899,0.13545921038852235,0.1444929116684842,0.15192083818393481,0.14515132798023472
operatingProfitMargin,0.11962436370019308,0.10920086393088553,0.1025289327046721,0.09828714913460676,0.12382156817659232,0.12324963785610817,0.10579776306779275,0.103220842035836,0.09831330868761552,0.10153482880755609,0.10701064322073114,0.10477269865256265,0.09284454522549761,0.07922937989163155,0.07674388507829688,0.07891721569750788,0.041401273885350316,0.03180997360744548,0.06168929110105581,0.06802120141342756,0.03715041046333658,0.06832212923583482,0.10372478013450595,0.06542168674698795,0.09025733995714925,0.08119396536204228,0.04837943725513475,0.06387853196172678,0.08895882381204055,0.0869680217949057,0.07233282555024426,0.07486735457830149,0.07524348099277411,0.08778625954198473,0.09371362048894064,0.09203211859172329
pretaxProfitMargin,-0.03677374056520976,0.08,0.06738105443634805,0.06636176127701551,0.09530926649804553,0.09282955094157412,0.07292855512440082,0.05672199626250412,0.066543438077634,0.07508854781582054,0.06790837575196668,0.07732023674600176,0.05782312925170068,0.05322095123419627,0.026012682800569432,0.04798052134059009,-0.045454545454545456,0.01847478816502292,0.009502262443438913,-0.023704358068315664,-0.06233477111451231,-0.03182878309781863,0.036989136057941026,0.021566265060240963,0.05289242577637558,0.050216637261609,0.019747516720091812,0.04191186379767306,0.06685725267861432,0.06781812891792525,0.0556547775384777,0.0580710263337782,0.07754738716095927,0.08778625954198473,0.09371362048894064,0.09203211859172329
