,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1990,1989,1988,1987,1986
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.414292088990884,1.5910210111621799,1.814468377241912,1.436696532917803,2.788997627520759,5.485144124168515,4.106569082470546,4.444213684089074,4.953339041095891,3.4436894425569395,3.8101574899279695,4.79544664581161,3.5203957382039572,4.888200361476891,3.1152271796970936,2.110535685385985,1.6679008829393336,2.56884561891516,2.2059177291315852,3.2952855807327603,4.187483651582527,3.847442416990727,3.4069133511193597,2.4850198532065937,2.100676437429538,2.080469065911848,2.3372219629802458,2.4907502569373072,2.0797912005965697,2.557603686635945,2.810106211779852,3.300724637681159,6.47682119205298,9.153846153846153,10.833333333333334,14
quickRatio,0.3546248486007522,1.0613919894944188,1.301982322148803,1.010362290611609,2.4380189798339265,4.979490022172949,3.681720813995002,3.966424368293527,4.219748858447488,2.7806719516798792,3.244902942253693,4.090545707334028,3.007153729071537,4.015233668990446,2.3792468276708965,1.4973296649943357,1.1963827969239533,1.9538247566063978,1.7486167909550157,2.729288162756533,3.5419173424012556,3.1502642337222055,2.8039670571859414,2.0998676452893754,0.5873731679819617,0.6848631891090443,0.6139368486545341,0.4556354916067146,0.7568978374347501,0.710162503031773,0.7981976182813003,1.826086956521739,2.3642384105960264,9,10.833333333333334,13.8
cashRatio,0,0.6556959947472094,0.5377156097142367,0.4703544994156603,0.5149021352313167,0.4212860310421286,0.2892716886826133,0.47813545632860277,0.5323915525114156,0.47879703032590915,0.39763154681968016,1.2071602363573166,0.5003044140030442,0.7446423960753937,0.36307818256242325,0.3275610940281599,0.1827114782113358,0.5118219749652295,0.36709165263411114,0.3724346703467925,1.2108945854041329,0.6871073885731379,0.2627305417004988,0.15750210564312356,0.22671927846674184,0.322280630812778,0.26333799968890964,0.11425145597807468,0.3939224459358688,0.31166626243026924,0.29610556807209526,0.7101449275362319,1.3708609271523178,0,0.16666666666666666,9.4
daysOfSalesOutstanding,77.13767427724804,68.77381731398438,64.9632237256136,63.3851981850869,55.025898008169456,51.70926517571885,50.24683571832456,50.4651001754224,46.31859642127299,52.70962732919255,53.23313061106284,67.83724810678989,56.61828207001926,52.573760415243825,50.432913417316534,51.916931825875025,54.33557611438183,51.94569589702333,50.54644549763033,44.02626854954524,49.724063009234115,45.19212092536793,41.19533696786915,46.954934148929524,44.19009953449646,41.85744127552543,37.42823347436423,38.210158630108204,43.867592592592594,44.26120008856742,52.707581227436826,118.08823529411765,77.991452991453,99.54545454545455,73,52.142857142857146
daysOfInventoryOutstanding,280.900718076803,231.0799504183452,230.71034258808248,300.31221303948575,261.6678858814923,254.21725239616612,240.7316194137434,210.26141471492784,218.4882406151063,329.3290496114764,343.23509252912953,373.57231149567366,332.44594594594594,387.5179340028694,329.86716027874564,299.53492935635796,331.5489260143198,220.5427473583093,187.24436741767764,194.00238681285896,270.3391327986951,292.98871331828445,566.6225839267548,298.57745228584105,200.80436941410127,216.9733260751225,194.3739748496446,171.76470588235293,218.64303178484107,161.04843473124632,137.1164021164021,774.6938775510204,124.43181818181819,,,
operatingCycle,358.03839235405104,299.8537677323296,295.6735663136961,363.69741122457265,316.69378388966174,305.926517571885,290.97845513206795,260.72651489035024,264.8068370363793,382.03867694066895,396.4682231401924,441.40955960246356,389.0642280159652,440.09169441811326,380.30007369606216,351.45186118223296,385.8845021287016,272.48844325533264,237.79081291530798,238.0286553624042,320.0631958079292,338.1808342436524,607.817920894624,345.53238643477056,244.99446894859773,258.83076735064793,231.80220832400883,209.97486451246112,262.51062437743366,205.30963481981374,189.82398334383893,892.782112845138,202.4232711732712,,,
daysOfPayablesOutstanding,0,77.2528664394174,84.21253450235429,114.87947658402204,107.42623750304803,121.27795527156549,80.41926958193176,83.32741897326709,100.04070556309362,85.85026897788404,113.20253598355038,96.55129789864029,117.72072072072072,100.19607843137256,80.1219512195122,54.14835164835165,96.69451073985681,104.48607108549471,106.90641247833622,89.07883941224733,126.31371482941417,112.63092550790068,265.85961342828074,135.1131824234354,220.37735849056602,206.44256940664127,149.67195188627664,105.22522522522522,68.04706601466992,49.802126402835206,91.73280423280423,297.9591836734694,70.51136363636364,,,
cashConversionCycle,358.03839235405104,222.60090129291217,211.4610318113418,248.81793464055062,209.26754638661373,184.6485623003195,210.5591855501362,177.39909591708317,164.76613147328567,296.18840796278494,283.265687156642,344.85826170382325,271.34350729524454,339.8956159867407,300.17812247654996,297.3035095338813,289.1899913888448,168.00237216983794,130.88440043697176,148.94981595015688,193.74948097851507,225.5499087357517,341.95830746634323,210.41920401133515,24.617110458031704,52.38819794400666,82.13025643773219,104.74963928723591,194.46355836276373,155.50750841697854,98.0911791110347,594.8229291716686,131.91190753690756,,,
grossProfitMargin,0.7566386810014056,0.7515685746179607,0.7577485840151038,0.8135433610136118,0.8273045016212575,0.821917808219178,0.8189726414684007,0.8048656633736497,0.7795942780242237,0.820839580209895,0.8309875470605271,0.8442433577204467,0.8525210921411014,0.8571916404862724,0.8469639405452243,0.8274998307494414,0.8531679282310064,0.8325020112630732,0.8359241706161138,0.8395524174246051,0.8667934093789607,0.8896829942475782,0.9429880524301125,0.9296860370763373,0.9237785262839193,0.921686490173509,0.9167917747145262,0.9008824456350457,0.8990123456790123,0.875046128865599,0.8600388780894196,0.9227941176470589,0.3732193732193732,1,0,1
operatingProfitMargin,0.363408426091251,0.29404519034604876,0.35946349905601005,0.4140912593099906,0.4321809070619447,0.436474243949407,0.4259927797833935,0.39100729387868155,0.30857797936500025,0.3141464981794817,0.32302345786272807,0.27672955974842767,0.3683651099448615,0.376041524381915,0.34753049390121976,0.26944688917473425,0.2691337258200168,0.3900241351568785,0.31734597156398103,0.36993776926759214,1.1420423682781098,0.3813033842169485,0.3967347175501682,0.413519755321141,0.42326760776596145,0.39659803043867503,0.41672353396114825,0.3996218090135518,0.43117283950617286,0.40681969149014685,0.46107562714060907,0.15283613445378152,-0.06837606837606838,-0.13636363636363635,0.05714285714285714,-0.047619047619047616
pretaxProfitMargin,0.2790715343995745,0.2579391046614573,0.31989458779106356,0.3911480181491311,0.4019455089063882,0.42001838154842663,0.39854725762254795,0.3682947096297664,0.2783731246573294,0.2819126151210109,0.2901245293947292,0.26633294827364906,0.3532186275161098,0.3554159267859582,0.3499300139972006,0.2681605849299303,0.2817493692178301,0.3916331456154465,0.32180094786729857,0.3797391096218286,-0.12393626652181786,0.41992678735961353,0.4855295209372463,0.4887959553086574,0.46338417287968814,0.3672251353540521,0.43778717983713206,0.41727072171446583,0.36314814814814816,0.43722783969296625,0.5212440988614274,0.15441176470588236,-0.10541310541310542,0.045454545454545456,0.05714285714285714,0.047619047619047616
netProfitMargin,0.24890779926300194,0.2268370607028754,0.2857142857142857,0.3356733156407842,0.3534762285762412,0.08661210556260668,0.33587055804445215,0.3203305327301265,0.25709016597717194,0.27206039837224244,0.2516652186504489,0.23636246951610834,0.30738058858699263,0.3145062149979511,0.27967739785376255,0.21433890731839414,0.20675637790860668,0.29557522123893804,0.22398104265402843,0.270404499760651,-0.25201883034582656,0.27883058993450704,0.33015311448787843,0.3421758941389426,0.32668508496385723,0.27467280555910817,0.3092670943087212,0.282435129740519,0.19734567901234568,0.282899106945162,0.3310191613440711,0.10031512605042017,-0.1168091168091168,0.045454545454545456,0.02857142857142857,0.047619047619047616
effectiveTaxRate,0.1080860332153553,0.12057901805700642,0.10684864133775974,0.14182534471437952,0.12058669460450498,0.7937897259560279,0.15726290516206481,0.13023314113812987,0.07645478961504029,0.03494776828110161,0.13256138949890198,0.11253012048192772,0.1297724280609366,0.11510376633358954,0.20076190476190475,0.20070689219893967,0.26616915422885573,0.24527526705012326,0.3039764359351988,0.28792033027638586,-1.03345507669832,0.33600189764573324,0.32001433434868304,0.2999616907163836,0.2950016334531199,0.2520315765033666,0.2935674945443209,0.32313695871097686,0.45656977732449433,0.36765698852126943,0.3649440596696857,0.35034013605442177,-0.10810810810810811,0,0.5,0
returnOnAssets,0.10061270557884554,0.09634594948091228,0.11539683548325602,0.13134138375734838,0.12638520838352205,0.024751732246041474,0.0994769793625847,0.09694590365485638,0.07474387398745092,0.07683931947069943,0.08002136358613576,0.07536166642794295,0.10640206043324288,0.11620278079184436,0.11513870976593585,0.09139986720170906,0.08730910382384278,0.12540533160391848,0.08086650011977688,0.08631788054170726,-0.056913760462539306,0.17378280641306204,0.21084895177420548,0.2688836570531685,0.23506344970317522,0.20715709600668766,0.24580561180214058,0.22102104570864847,0.16032295271049596,0.21710563579722458,0.2602051953721895,0.06199285946121389,-0.03959439884113954,0.010362694300518135,0.010309278350515464,0.010638297872340425
returnOnEquity,1.7896749521988529,0.8795522388059701,0.7720267828674673,0.81071022433578,0.67152,0.07840418366942672,0.25847698744769876,0.247088986219421,0.20009310264566685,0.22995112237509052,0.22796432318992654,0.19354669189132376,0.19324256598730372,0.20315877707680768,0.20582752869616402,0.17717835357322737,0.15555789917738874,0.17964891692337784,0.11991880233443289,0.11653454776137108,-0.0761183419009078,0.21461703595798512,0.2638776219724186,0.3626260955845874,0.33689797829989854,0.30117328097975976,0.3566070398153491,0.32162938150496473,0.2508828376363494,0.3270477815699659,0.3829923958444897,0.10154173312068049,-0.0506485484867202,0.012195121951219513,0.011904761904761904,0.012345679012345678
returnOnCapitalEmployed,0.19351053930493184,0.1559584328617219,0.178165513207915,0.20639187574671444,0.19390492744860943,0.1405954831251586,0.14745114570473639,0.1346389228886169,0.09985322817373914,0.10084568049778267,0.1209577721387208,0.10000695781246376,0.1502058727922852,0.15398814185031884,0.1652248312577241,0.1398453970484891,0.1434655906747366,0.1886234534277488,0.13357804021704436,0.12917568595331422,0.2751111130496225,0.281460240432337,0.3015096418732782,0.4081318342830741,0.4015510555794916,0.39281341046320145,0.43152588684222926,0.41146565711195243,0.47917952939562325,0.40733077150458175,0.46831515607371194,0.11506524317912219,-0.025,0.011111111111111112,0.02197802197802198,0.011235955056179775
netIncomePerEBT,0.8919139667846447,0.8794209819429936,0.8931513586622403,0.8581746552856205,0.879413305395495,0.20621027404397207,0.8427370948379351,0.8697668588618701,0.9235452103849597,0.9650522317188984,0.867438610501098,0.8874698795180723,0.8702275719390634,0.8848962336664105,0.7992380952380952,0.7992931078010603,0.7338308457711443,0.7547247329498767,0.6960235640648011,0.7120796697236141,2.03345507669832,0.6639981023542667,0.679985665651317,0.7000383092836164,0.7049983665468801,0.7479684234966334,0.7064325054556791,0.6768630412890232,0.5434302226755057,0.6470290344361918,0.6350559403303143,0.6496598639455783,1.1081081081081081,1,0.5,1
ebtPerEbit,0.7679280786117499,0.8772090587773269,0.8899223109749426,0.944593756460616,0.9300399493325539,0.9622982051539156,0.9355727996732693,0.9419126328217238,0.9021159748021321,0.8973921936253622,0.8981531289223597,0.962430426716141,0.9588818755635707,0.9451507446422085,1.006904487917146,0.9952261306532664,1.046875,1.0041254125412542,1.0140382317801673,1.0264945652173914,-0.10852160126833135,1.1012931034482758,1.223814048680652,1.1820377358490566,1.0947782546494993,0.9259378695044609,1.0505458515283843,1.0441640378548895,0.8422333571939871,1.0747460087082727,1.1304958843605701,1.0103092783505154,1.5416666666666667,1,1,1
ebitPerRevenue,0.363408426091251,0.29404519034604876,0.35946349905601005,0.4140912593099906,0.4321809070619447,0.436474243949407,0.4259927797833935,0.39100729387868155,0.30857797936500025,0.3141464981794817,0.32302345786272807,0.27672955974842767,0.3683651099448615,0.376041524381915,0.34753049390121976,0.26944688917473425,0.2691337258200168,0.3900241351568785,0.31734597156398103,0.36993776926759214,1.1420423682781098,0.3813033842169485,0.3967347175501682,0.413519755321141,0.42326760776596145,0.39659803043867503,0.41672353396114825,0.3996218090135518,0.43117283950617286,0.40681969149014685,0.46107562714060907,0.15283613445378152,-0.06837606837606838,0.045454545454545456,0.05714285714285714,0.047619047619047616
debtRatio,0.943781575835752,0.8904602305239925,0.8505274194573299,0.8379921952199909,0.8117923391953746,0.6843059759361633,0.6151418339216242,0.6076478149100257,0.6264545204248722,0.6658449905482041,0.6489741795277911,0.6106279797835117,0.44938600929034633,0.4280198844280704,0.4406058776719809,0.4841363780709605,0.4387356457914052,0.3019421783800389,0.3256562061531091,0.2592936412430997,0.252298998622032,0.19026555540035076,0.2009593303207645,0.25850990778889543,0.30227111813082075,0.31216642016590573,0.3107101533121203,0.31280828674778033,0.3609648462965749,0.3361653922401586,0.320599577966965,0.3894839337877313,0.21825205214872043,0.15025906735751296,0.13402061855670103,0.13829787234042554
debtEquityRatio,16.78776290630975,8.129104477611941,5.690190243383994,5.172542127571591,4.31328,2.1676241036409016,1.5983598326359834,1.5487305487305487,1.677050197843122,1.9926230992034757,1.8487932843651627,1.5682379525986652,0.8161543601737388,0.7483125248158116,0.787648386147356,0.9384968380995019,0.7816916262391901,0.4325460857659772,0.48292311596041615,0.35006266407414477,0.33743300885923655,0.2349727823353523,0.251500753273844,0.348635687117579,0.43322145031613457,0.4538400411349507,0.45076850443267064,0.4551979901902141,0.564859138350467,0.5063993174061433,0.4718860447681268,0.6379585326953748,0.2791846819024089,0.17682926829268292,0.15476190476190477,0.16049382716049382
longTermDebtToCapitalization,0.9107399731805437,0.8321727368368318,0.7775860438729199,0.7358763618491112,0.7024517971911449,0.5752889905941344,0.5026470000665912,0.5106553520709544,0.5396210240565785,0.5727682283106789,0.5577110502622175,0.5286701508433854,0.31230972485496006,0.318654562943369,0.31039848454096475,0.3393108038157214,0.27335428002145756,0.1621189773844641,0.166525674646815,0.13705793863436083,0.14285848211983856,0.04099114003161648,0.04914600550964187,0.06868935776990605,0.08006606347838575,0.09669383101802981,0.030020861954917825,0.09583558680367767,0.1258146395005831,0.13390481820869052,0.12213238059420835,0.25593354430379744,0.15677083333333333,0.09392265193370165,0.07692307692307693,0.0898876404494382
totalDebtToCapitalization,0.9140731352391682,0.83253767902222,0.7780634508786414,0.7555841924398625,0.7307717159533912,0.5833649703712263,0.5366133610460517,0.5291168530659468,0.5436956791106863,0.5925051637651224,0.581916690429709,0.5296487628840497,0.3581729480512518,,0.33296250245402786,0.38480341527232664,0.322133257077495,,0.2059238363892807,,0.14776805272037508,0.05828414649555062,0.06958940740101785,0.09638374178123132,0.11370161541388495,0.10799316182295793,0.08504919606431485,0.1286808776775942,0.1817773211763195,0.19890635680109364,0.12378003003003003,0.26148409893992935,0.16589386913961876,,,
