,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,10.879721970383802,10.647939043422381,15.088828384242321,9.9587516538252,10.204064134442254,8.968165121567255,8.664931334709632,8.40458573125057,7.688062442607897,7.055077284288789,5.41546018614271,4.616182150843668,4.480898679954541,4.9290610289867045,1.2529928996036988,5.0277719665271965,3.607737425202915,4.720121473354232,5.2140702038413425,4.9301492568486625,5.242192251658439,5.982629941287354,6.030569046775383,5.408622559652929,5.53976833976834,11.686486486486487,10.982558139534884,1.5040160642570282,1.5823529411764705,1.7811004784688995,2.2579908675799087
quickRatio,1.11952251435479,1.62127054071422,2.7591253297030547,1.1629698809245856,1.2630541027179971,0.8814063319923037,1.1697334171079796,1.2640906184342742,0.6077134986225895,0.9161612208961064,1.1720958290244743,1.0597682455783697,1.4188303173354315,1.8584523907837145,0.28634824966974903,0.1410041841004184,0.17406244445761004,0.563185736677116,0.3811906689233939,0.5072739978400356,0.12299089567509205,0.4703301628111308,0.19322120597740225,0.34869848156182215,0.2965250965250965,0.7927927927927928,0.9447674418604651,0.08383534136546185,0.08235294117647059,0.23803827751196172,0.19406392694063926
cashRatio,0.9596932608038682,1.4736069035160195,2.5682804390368417,1.1629698809245856,1.2630541027179971,0.8814063319923037,1.1697334171079796,1.2640906184342742,0.6077134986225895,0.9161612208961064,0.9028783178214409,0.7446635495019313,1.1445930588338142,1.616401024031712,0.28634824966974903,0.1410041841004184,0.17406244445761004,0.563185736677116,0.3811906689233939,0.5072739978400356,0.12299089567509205,0.4703301628111308,0.19322120597740225,0.34869848156182215,0.2965250965250965,0.7927927927927928,0.9447674418604651,0.08383534136546185,0.08235294117647059,0.23803827751196172,0.19406392694063926
daysOfSalesOutstanding,4.612649342891278,4.227682525509286,4.030776275041726,0,0,0,0,0,0,0,1.2071658245291688,1.2445006599208097,1.3272123994363891,29.249097769028868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daysOfInventoryOutstanding,344.0270239685932,302.26700068344456,290.5479015429449,300.12098331742084,306.02874634016507,305.31581664070706,320.37847536463704,333.83963822533593,448.37483648661583,466.06593180179254,435.31611499255524,416.47884761684253,347.02971661704703,377.82095119676717,206.40054094520514,325.2594157423391,362.596139530403,305.4822835616303,292.42567674722164,272.56753476561363,295.5059113478641,290.2059528649541,274.1965486040848,268.17059726760897,282.3043626836769,324.0989866353356,282.2721164613662,288.6734693877551,229.17820867959372,303.3827319587629,219.53426480372588
operatingCycle,348.6396733114845,306.49468320895386,294.5786778179866,300.12098331742084,306.02874634016507,305.31581664070706,320.37847536463704,333.83963822533593,448.37483648661583,466.06593180179254,436.5232808170844,417.7233482767633,348.35692901648343,407.07004896579605,206.40054094520514,325.2594157423391,362.596139530403,305.4822835616303,292.42567674722164,272.56753476561363,295.5059113478641,290.2059528649541,274.1965486040848,268.17059726760897,282.3043626836769,324.0989866353356,282.2721164613662,288.6734693877551,229.17820867959372,303.3827319587629,219.53426480372588
daysOfPayablesOutstanding,21.610013100683762,21.589058856637454,21.380226628158095,16.865511737568234,18.39116477524782,20.899545405150867,22.182087007766295,22.01793643169277,30.569026576907124,30.08138456783764,27.86307410376818,18.592266728409353,18.785285036939023,28.767202645039138,12.406421309377189,20.569999332385958,33.280041687466614,30.40496829482362,20.958791309333563,61.62677416923324,57.72500255386036,52.64698302478324,46.97279587960983,52.998936966022285,53.84155370771158,29.75106476721986,28.120940649496085,29.897959183673468,30.781779008925824,50.328608247422686,29.627411842980706
cashConversionCycle,327.0296602108007,284.9056243523164,273.1984511898285,283.2554715798526,287.63758156491724,284.41627123555617,298.1963883568707,311.8217017936432,417.8058099097087,435.9845472339549,408.66020671331626,399.13108154835396,329.57164397954443,378.3028463207569,193.99411963582796,304.68941640995314,329.31609784293636,275.0773152668067,271.4668854378881,210.9407605963804,237.78090879400378,237.55896984017085,227.22375272447496,215.17166030158668,228.46280897596534,294.34792186811575,254.1511758118701,258.7755102040816,198.39642967066789,253.05412371134022,189.90685296074517
grossProfitMargin,0.3137425328554361,0.28353651950371206,0.24311337150622073,0.22008878581700572,0.22839805825242718,0.21632247533886878,0.2183690591738365,0.21140983000739097,0.21885630973594686,0.2245938044190245,0.19788700045934773,0.1686922569291685,0.17558292804872505,0.03250765529308836,-0.24611426249981191,0.07182755720798477,0.24137449921269258,0.268571881965132,0.24384731754114086,0.2202436956496832,0.20395273304820968,0.20836473636936165,0.20173495598291594,0.1952664596666878,0.19344021314713583,0.1867908754329392,0.18417686826237895,0.18221307727480568,0.17391304347826086,0.18358758548132562,0.1768893756845564
operatingProfitMargin,0.22611708482676224,0.19150146538874208,0.1422916533324143,0.11592744800459276,0.12404157331341797,0.11188702008374139,0.10976853603566553,0.10183850702143385,0.09855574524293137,0.10216797405460674,0.05684428112080845,0.014958205015398152,0.0394072996681969,-0.13183508311461067,-0.3803132664269271,-0.04283627672287877,0.13116474988871393,0.16944971400131278,0.1442236735296288,0.11536966808354625,0.09791950562345308,0.10076772287103127,0.08668265960897119,0.08662315442620873,0.08254857825347972,0.0746446912695569,0.08094281015896218,0.07590306355738455,0.07144673277396389,0.07206733298264072,0.07776560788608981
