,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.429889826870797,1.3494738160861939,1.1773108743527172,1.2340728679014858,1.3991907779219788,1.2024754787482486,1.170831659300924,1.2658715729765109,1.4667869443988848,1.3549053356282272,1.3789143113503812,1.2692135635680415,1.2775045800790665,1.1534749034749034,1.34199039720646,1.2627811860940694,1.3280729694512814,1.3559732043170822,1.1385327635327636,1.112614578786556,1.0685739244376502,1.224060668734919,1.0110049232551404,1.2819986310746065,1.308288148721921,2.2304921968787514,2.3434225844004657,2.8706070287539935
quickRatio,0.9401917298612105,0.8775369581558506,0.7322778406047259,0.7665377569713007,0.9038857928086114,0.46278997353261714,0.5006830052229811,0.6136280997745619,0.7957192061669673,0.6454388984509466,0.6371467025572005,0.5780620917956518,0.5728473628386848,0.49131274131274133,0.6290920995198603,0.504217791411043,0.6319675691327639,0.45310755489393373,0.39850427350427353,0.30597992143168923,0.31404236732911117,0.3360910031023785,0.6429192006950478,0.30321697467488024,0.4415182029434547,0.7358943577430972,0.37252619324796277,0.7763578274760383
cashRatio,0.11468021176133925,0.17689802054622902,0.05368728051901672,0.06533686138815388,0.22772730742804795,0.1816907986921999,0.22378465247087184,0.31910406515889755,0.43472199442348697,0.2836488812392427,0.2376850605652759,0.23378366287912677,0.2182046090058818,0.15646718146718147,0.3154735923177652,0.20501022494887525,0.3374837121760533,0.18161518422032005,0.15313390313390313,0.07158446093408992,0.09652762611924001,0.06101344364012409,0.07819287576020852,0.08692676249144421,0.26026336173508907,0.6194477791116446,0.25029103608847497,0.610223642172524
daysOfSalesOutstanding,109.48387012919494,107.64733025708635,105.75260482846251,104.2266460365264,104.3749394634036,42.037923005772974,39.96917601449045,47.914235705950986,51.468063296815934,48.69292038206454,49.72855525293019,43.26125793137436,41.97711140989963,43.214505119453925,38.50991189427313,35.509495906578564,34.9468085106383,27.76801543435186,30.268399831497867,28.346952057270954,29.889007646139934,28.12572421784473,79.4452505860029,23.207243460764587,21.026587887740032,9.886903099692823,12.495924356048256,12.413342053629822
daysOfInventoryOutstanding,60.79348741461589,66.35838607594937,71.27961351460159,74.00790419974219,78.09226982974259,128.02043499043978,111.24728679111251,114.15108691300694,111.10316649642493,106.97084437712988,31.436188061593526,29.659600105433597,91.06993776563449,89.91577962334776,90.13428938533593,93.16540722082283,84.14527222134718,86.81905203921795,89.33465346534653,98.91687760267821,103.43603671099457,98.07640421878833,46.42204870301747,80.77173407717342,72.68936170212766,64.43214172730148,76.25460574797347,47.48517420311342
operatingCycle,170.27735754381084,174.0057163330357,177.0322183430641,178.2345502362686,182.4672092931462,170.05835799621275,151.21646280560296,162.0653226189579,162.57122979324086,155.6637647591944,81.16474331452372,72.92085803680796,133.0470491755341,133.13028474280168,128.64420127960906,128.6749031274014,119.09208073198548,114.58706747356982,119.6030532968444,127.26382965994917,133.32504435713452,126.20212843663306,125.86729928902037,103.97897753793801,93.71594958986769,74.31904482699431,88.75053010402172,59.898516256743235
daysOfPayablesOutstanding,36.054864165185116,34.09746835443038,35.741537889814495,39.36274509803921,47.22645848462842,36.90129063097515,28.290777063025374,30.05744825653549,32.23540504439381,34.12287012495267,39.39730062264643,37.603644990021465,32.75747571341834,34.76800405505517,35.06735192937373,33.302546879373075,32.76893999054969,31.932470847595287,31.72970297029703,31.472197272801502,30.900917774864208,32.095290654893304,30.481074642668077,25.029056252905626,26.404255319148938,21.015501423600124,17.483419307295502,18.12824314306894
cashConversionCycle,134.22249337862573,139.90824797860532,141.2906804532496,138.87180513822938,135.2407508085178,133.1570673652376,122.92568574257758,132.00787436242243,130.33582474884705,121.54089463424174,41.767442691877285,35.31721304678649,100.28957346211578,98.3622806877465,93.57684935023534,95.37235624802832,86.3231407414358,82.65459662597453,87.87335032654737,95.79163238714767,102.4241265822703,94.10683778173976,95.38622464635229,78.94992128503239,67.31169427071876,53.30354340339419,71.26711079672621,41.77027311367429
grossProfitMargin,0.16657568431724246,0.16677653263019115,0.17939008894536213,0.185533114138093,0.19975462499596422,0.19931107071093676,0.1947948774984906,0.19036043044211073,0.1846370683579986,0.1619331704375972,0.17920861768216176,0.1820057906733198,0.17601075638660454,0.12467576791808874,0.11428046989720998,0.10908864231392594,0.10341743551120317,0.1012097194702263,0.0882830835890955,0.11439728107599971,0.12209158924607416,0.21263035921205098,0.15660229936376827,0.13440643863179075,0.13220088626292467,0.11728567439262776,0.11509618519726117,0.11772400261608895
