,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.8368353467467844,1.4701055020849652,2.609254458057264,1.9829871077639831,2.5493512335391704,1.728323423401117,1.9496355242748804,2.7949193151042255,2.8655644619928236,2.921003998159121,2.29779204073389,3.917586303004337,3.974499715910572,4.00130093081127,3.4918010467212355,2.870042030776254,2.8604368814165135,3.2723875886793405,3.1755832304735234,2.878713025564314,2.7292297063019375,3.2668800293340454,3.0649724714518762,2.9915134370579914,3.19874213836478,3.066322136089578,2.8996101364522415,2.5410526315789475,2.420765027322404,2.8696319018404908,2.672447013487476,2.200374531835206,2.465811965811966,2.762532981530343,2.607250755287009,2.564784053156146,3.184684684684685
quickRatio,0.7805197886788239,0.7329729562040965,1.1475110004010416,0.8993618170258386,1.2411320642850423,0.8593635595108821,0.949846423601106,1.4977989173313926,1.6214326862192148,1.5516309037565437,1.8865344743035755,3.1829091604301847,2.471002027720873,3.0515962389554754,1.6930879365649898,1.4000739384375667,1.5330623464164652,1.7850151901503868,1.6577715959543855,1.1015847709774669,1.1781188226488482,1.4136100405335927,1.4255242319195214,1.3682225365393683,1.0710691823899372,0.94229112833764,0.8508771929824561,0.7968421052631579,0.7071038251366121,0.9555214723926381,0.953757225433526,0.7640449438202247,0.8162393162393162,1.5065963060686016,1.241691842900302,1.5448504983388704,2.099099099099099
cashRatio,0.06313883131294099,0.25523180211831437,0.16425985234891746,0.0856984765010867,0.17880099038869277,0.14968006423475397,0.17087382212113222,0.6715524153943754,0.8145734775784718,0.6332929442558822,0.506527886050044,1.009137626428402,1.0719319644914278,0.4086907218118533,0.18032795813115057,0.08773366283080007,0.09449090396961839,0.12117335846791273,0.2682246089792008,0.10575746541617051,0.12995387577806636,0.2938346691749401,0.22168128058727568,0.07449316360207449,0.07987421383647798,0.1223083548664944,0.08869395711500974,0.07052631578947369,0.09180327868852459,0.21779141104294478,0.16955684007707128,0.10299625468164794,0.13675213675213677,0.12401055408970976,0.054380664652567974,0.059800664451827246,0.04504504504504504
daysOfSalesOutstanding,47.768244763897805,47.39192899720924,44.838292788266116,48.59365222335698,46.4499457434049,53.50353844671272,42.03172262406487,40.52573373545809,40.76966601432572,42.71547636946941,82.38162116040955,82.04478472510907,39.304695716986735,69.48990578021743,39.86349831128267,40.25939464242359,41.81307747543195,38.899912398040875,37.04296178580478,37.789109594522415,45.52093479145348,41.29414078770769,43.31948731618604,42.11378168531628,48.004673287156805,41.37159185617335,39.09464456923709,40.94456185986019,39.27656727828746,38.78175392091893,36.99078685258964,39.951937984496126,40.797891036906854,40.45566502463054,39.62347188264059,43.782129742962056,37.76879547291835
daysOfInventoryOutstanding,120.06320855911343,124.03536033589282,111.76479057333336,32.447989552875285,28.678119138176555,34.50445212949944,32.792017403159264,32.30891483591197,34.769595431303095,34.696157671925874,38.79585993351928,41.39988832841079,30.18345741104511,33.21236173528901,38.60930948898639,39.794718531012045,37.08405513912037,44.81662661047452,41.61950014960982,53.190553389516374,53.85219939072013,61.875469083771144,58.84168551781849,51.58218125960062,60.479326186830015,34.73504084786929,32.17043434086868,40.373201438848916,38.17936736161035,31.835699797160242,41.08083966056275,47.81479390175043,45.310344827586206,44.29491525423729,59.29387755102041,39.63288521199586,46.59574468085106
operatingCycle,167.83145332301123,171.42728933310207,156.6030833615995,81.04164177623227,75.12806488158145,88.00799057621217,74.82374002722413,72.83464857137005,75.53926144562882,77.41163404139527,121.17748109392883,123.44467305351986,69.48815312803185,102.70226751550643,78.47280780026907,80.05411317343564,78.89713261455233,83.7165390085154,78.6624619354146,90.97966298403878,99.3731341821736,103.16960987147883,102.16117283400453,93.6959629449169,108.48399947398681,76.10663270404265,71.26507891010577,81.31776329870911,77.4559346398978,70.61745371807918,78.0716265131524,87.76673188624656,86.10823586449305,84.75058027886783,98.917349433661,83.41501495495791,84.36454015376941
daysOfPayablesOutstanding,21.74190643626932,22.15775409298341,21.891724559455696,21.91911449193151,22.001012300913455,21.95777323530471,15.05901091948805,15.654779070955009,20.768563743589393,17.46481977572582,14.646998889731368,18.28716998841941,12.777445179900484,11.483525600612282,15.328447015024597,11.096932786650012,13.416748938842867,14.350465582312639,11.986981181112668,12.553957982029852,16.77989422097585,12.266901449108019,18.189233629803134,17.493087557603687,23.36447166921899,16.68249061603003,17.985775971551945,18.92835731414868,24.66570812365205,30.503042596348884,22.82268870031264,23.28910220214568,24.028213166144198,26.477966101694918,16.387755102040817,18.87280248190279,21.841755319148934
cashConversionCycle,146.0895468867419,149.26953524011867,134.7113588021438,59.12252728430076,53.12705258066799,66.05021734090745,59.76472910773608,57.179869500415045,54.77069770203943,59.94681426566945,106.53048220419747,105.15750306510046,56.71070794813137,91.21874191489415,63.14436078524447,68.95718038678562,65.48038367570946,69.36607342620276,66.67548075430193,78.42570500200893,82.59323996119775,90.90270842237081,83.97193920420139,76.20287538731321,85.11952780476783,59.42414208801262,53.279302938553826,62.389405984560426,52.79022651624575,40.11441112173029,55.248937812839756,64.47762968410088,62.080022698348856,58.27261417717291,82.52959433162019,64.54221247305512,62.52278483462048
grossProfitMargin,0.46244381694525366,0.4657803027961002,0.4564140056907999,0.45392490724798373,0.4490795524587471,0.4471397031322763,0.434183719440672,0.4291681762725251,0.42057668462581493,0.41401112158520237,0.4238439785470502,0.42234247256969376,0.42223678086588284,0.4108610387356826,0.42702963508468983,0.4265976961881896,0.4274264251347394,0.42537939929246826,0.42163010796859623,0.41659132318538217,0.42155353554211883,0.41480399870412366,0.4621814719417705,0.4425097054121946,0.4550613368939331,0.4607691391832361,0.46075880016436105,0.45764916273776624,0.46827217125382264,0.45548928650320303,0.4424800796812749,0.45085271317829456,0.43936731107205623,0.3944991789819376,0.40097799511002447,0.40820073439412485,0.3920776071139854
