,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.384811117635545,1.474520321848566,1.2083234244946492,1.2019704433497538,1.2864727608494921,1.3031730292513635,1.2003249767873723,1.3187028235951914,1.2670765027322404,1.5207033465683495,1.2986225895316805,1.3397101449275362,1.3864273696017948,1.3899435608004105,1.25,1.5714285714285714,1.530541012216405,1.8741784037558686,1.7744360902255638,1.4893813481071099,1.8797071129707112,1.9594460929772501,1.6355404640633842,1.2792937399678972,1.3624338624338623,1.1976401179941003,0.8804878048780488,1.1697699890470974,1.2551487414187643,1.5815126050420167,1.3629737609329446,1.8079710144927537,1.5722021660649819,1.5267702936096719,1.4266441821247893
quickRatio,1.0048933255040124,1.0598308231896019,0.7170035671819263,0.7848068446979518,0.7460757156048015,0.8966286564204263,0.7119312906220984,0.7265865250209673,0.7346311475409836,0.9733408961996597,0.8611570247933884,0.9107246376811594,1.1362871564778463,1.0631092868137506,1.048828125,1.3246753246753247,1.2665794066317626,1.4032863849765258,1.3187134502923976,1.1782086795937212,1.4388075313807531,1.1607319485657766,0.9988681380871534,0.7388978063135366,0.8174603174603174,0.5309734513274337,0.46219512195121953,0.8116100766703176,0.7780320366132724,1.1747899159663866,1.0583090379008746,1.4039855072463767,1.3808664259927799,1.2832469775474957,1.254637436762226
cashRatio,0.46271285965942455,0.5046420466267795,0.06230677764565993,0.10655950220378532,0.14104339796860574,0.1774913237481408,0.08263695450324977,0.05395582890690523,0.03859289617486339,0.20646625070901872,0.06225895316804408,0.23478260869565218,0.3869882220975883,0.26013340174448435,0.279296875,0.4072727272727273,0.5990401396160558,0.30704225352112674,0.25856307435254805,0.028624192059095107,0.07060669456066945,0.014342235410484669,0.013016411997736276,0.018726591760299626,0.07848324514991181,0.11430678466076696,0.19085365853658537,0.15443592552026286,0.13043478260869565,0.1949579831932773,0.14723032069970846,0.08876811594202899,0.05776173285198556,0.044905008635578586,0.15682967959527824
daysOfSalesOutstanding,51.888632281241975,55.68112244897959,54.37767195194545,52.14000982908316,49.88085927316336,53.96590387849753,53.10266180100891,52.85525127896479,67.00324265898035,54.1155828489966,59.775242828100296,46.195002715915265,53.571666296871534,65.26434260648736,64.15951197469498,72.44627054361568,57.89733721655919,81.61810666397822,66.7177565849228,72.25504023894466,80.13755037673033,77.76378676470588,64.2577059120768,56.52859279714647,55.02248605864364,62.15340566606389,54.74384900572969,58.21681110106864,51.88096433952788,55.910404624277454,57.97331639135959,72.08650707290532,76.37414116177389,84.75702880944117,80.22113436866982
daysOfInventoryOutstanding,42.11538461538461,45.04359490274983,9.620780545871948,9.56564701838804,8.535075653370013,9.534455128205128,9.419158176048104,9.456491129259364,13.365478686233404,9.61353072818041,10.375176553672317,10.396202300529486,10.292112053077773,10.996444610778443,12.063391728372766,12.277879341864717,11.254462836741316,11.3440238055877,,18.25,19.756067961165048,20.859839668994052,22.66686012768427,8.992213428644371,10.475336322869955,15.710575139146568,8.177189409368635,7.1546000632311095,6.3507326007326,6.073409461663948,4.93849938499385,7.198512770772713,,,
operatingCycle,94.00401689662658,100.72471735172942,63.9984524978174,61.705656847471204,58.415934926533374,63.50035900670265,62.52181997705701,62.311742408224156,80.36872134521376,63.72911357717701,70.15041938177261,56.59120501644475,63.86377834994931,76.2607872172658,76.22290370306774,84.7241498854804,69.1518000533005,92.96213046956592,,90.50504023894466,99.89361833789538,98.62362643369994,86.92456603976107,65.52080622579085,65.4978223815136,77.86398080521046,62.92103841509833,65.37141116429976,58.23169694026048,61.983814085941404,62.911815776353436,79.28501984367803,,,
daysOfPayablesOutstanding,142.578125,147.73809523809524,37.36587024912848,37.85487197112906,34.701432154705074,38.86899038461538,42.0661433105061,40.395663193466625,54.839273235499654,45.36581167154416,48.97598870056497,47.98247215628994,49.71157390342794,46.85441616766467,51.417735235687196,51.71389396709324,50.76355079519636,56.539097371466355,,66.09228971962617,59.44538834951456,67.29893974657358,69.58937899013348,25.159560888435028,31.09865470852018,48.62152133580705,26.167006109979635,16.155548529876697,18.82936507936508,19.292006525285483,14.142066420664207,16.709990300678953,,,
cashConversionCycle,-48.57410810337342,-47.01337788636582,26.63258224868892,23.850784876342146,23.7145027718283,24.631368622087273,20.455676666550907,21.91607921475753,25.529448109714103,18.363301905632852,21.17443068120764,8.608732860154817,14.152204446521367,29.406371049601134,24.805168467380547,33.01025591838716,18.388249258104146,36.423033098099566,,24.412750519318493,40.44822998838082,31.32468668712636,17.335187049627592,40.361245337355825,34.39916767299342,29.242459469403407,36.7540323051187,49.21586263442306,39.4023318608954,42.69180756065592,48.76974935568923,62.575029542999076,,,
