,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.414019842131943,1.0443302791165723,0.7964977023934141,0.7821969400990795,0.8395988659036018,0.8158764778175901,0.8693899827868509,0.7896657773825404,0.8186220661272106,0.8268919747922592,1.005004755297089,0.9413973292045674,0.9417399773282455,1.0609669426249977,1.4718126272912424,1.4741905611194952,1.5522666284286213,1.5838210205800418,1.404736976803704,1.1973115198249362,1.1542125094197437,1.1848641827721325,1.0578146683773664,0.8039914284976635,0.9062950752112096,1.0782537905769818,1.0207639066905922,0.9243168232280102,0.8444056840917252
quickRatio,1.033948873922804,0.6917889236092721,1.2146266167521247,0.4696901029864508,0.48554377122055375,0.4980699658998459,0.5258617070405979,0.43686082703423745,0.5047731035229681,0.5269644749316825,0.6948814293955315,0.6619701954712599,0.6404132007088915,0.7396515625900386,1.154969450101833,1.2167306900809438,1.1714361800192556,1.2126676312436564,1.0211488797375585,0.9100974313551816,0.8558251695553881,0.8665736866573687,0.787541567384986,0.5400046472000619,0.5652689058314445,0.7504324819375191,0.6895667777492951,0.5568424423569599,0.47350330888011083
cashRatio,0.4292852487508147,0.12008544745158271,0.0774266806238135,0.048273922080357565,0.05323952535965557,0.05499298956223711,0.07676644695411226,0.06864161849710983,0.07141862516052172,0.06474820143884892,0.14939428428881024,0.1633959099412941,0.12493414014976131,0.2053936728068996,0.6402647657841141,0.5827445465770339,0.5785689411475511,0.6191504524154016,0.4311439938577511,0.27681967383942063,0.21790504898266766,0.21740718602643289,0.18538399099264224,0.043580409469961015,0.07423243354626005,0.20591228248702553,0.15129453986157396,0.0804867634500427,0.05935464012722516
daysOfSalesOutstanding,38.222574778955284,42.71823905280962,42.06695823580141,38.510346932307705,32.27652041298526,39.394612121672104,35.72060491839274,27.956495098039213,25.940510777584656,28.75343364160861,28.18275611699252,29.93660058581313,31.63025038653152,33.253115082569046,18.887734388583855,32.886378018153415,27.97365180663869,27.06285745117082,31.056872514973076,35.960350655351014,37.77148347725739,33.422885595443304,36.06278034612542,43.45751260232591,34.478484959829984,32.47640901570515,32.8296124323213,30.19310798661637,29.56015569354855
daysOfInventoryOutstanding,30.17095274823415,32.36310586102376,40.365920198067435,33.877119599248594,32.70180860968152,34.0328581305765,30.664750189419262,28.739530622927937,19.419625482502312,17.714662567829343,15.080476294652623,16.11425045180059,18.056714119055425,22.691583303288436,14.7182923028981,17.38222132513356,18.337717755738435,15.972455657693356,21.172843280524862,25.162436118465614,26.844057939307753,25.84371724700128,23.675305806814453,32.60553527660604,35.62727478536475,27.905572043640014,27.391585255026698,33.25578971003336,34.149415777387546
operatingCycle,68.39352752718943,75.08134491383339,82.43287843386884,72.3874665315563,64.97832902266678,73.42747025224861,66.385355107812,56.69602572096715,45.36013626008697,46.46809620943795,43.26323241164514,46.050851037613725,49.68696450558694,55.94469838585748,33.60602669148196,50.26859934328698,46.31136956237712,43.03531310886417,52.22971579549794,61.12278677381663,64.61554141656515,59.266602842444584,59.73808615293987,76.06304787893195,70.10575974519473,60.381981059345165,60.221197687347995,63.44889769664973,63.7095714709361
daysOfPayablesOutstanding,78.03207288030094,45.8787522544215,37.47285079819533,45.15120851596744,36.33285128946734,43.4643982045457,36.19782613540134,31.97527094360108,29.44265798960028,33.94715628120751,35.04017422087866,36.43403711376559,42.83181724603314,47.602632471089635,26.780063017208548,45.83269630494907,42.93292068181285,61.89519347236176,70.88784875295786,43.07701188350471,45.88909854969417,41.512124768209546,43.783919951258376,51.92619631191946,87.87637357853124,74.67423260739317,75.20376576167216,82.6155536309982,82.52929555585573
cashConversionCycle,-9.63854535311151,29.20259265941189,44.960027635673505,27.23625801558886,28.645477733199442,29.96307204770291,30.18752897241066,24.72075477736607,15.917478270486686,12.52093992823044,8.22305819076648,9.616813923848134,6.855147259553803,8.342065914767844,6.82596367427341,4.435903038337912,3.378448880564271,-18.859880363497588,-18.658132957459927,18.045774890311918,18.726442866870983,17.75447807423504,15.954166201681495,24.136851567012492,-17.770613833336512,-14.292251548048,-14.982568074324163,-19.166655934348476,-18.819724084919628
grossProfitMargin,0.25852386028720137,0.23450623798302805,0.04551054464815707,0.21894257442787665,0.24248206435352915,0.23158853441951072,0.17891385493669032,0.20491120976692564,0.20460283427005493,0.21002005531846135,0.2232418129293812,0.27769877318843655,0.29592746091736816,0.3875851477872286,0.3949836496221921,0.42442009927030394,0.43528804268672133,0.4253749865112766,0.451249014377506,0.4734171469331842,0.46358053064457766,0.4771087836318669,0.4499544571811573,0.40911718453783186,0.42974467958330437,0.4033122989050458,0.3966828867109862,0.42209411175887224,0.4058766289136563
operatingProfitMargin,0.16060199410547438,0.0868077139924537,-0.164906425347475,0.04994854900365048,0.07920324202024831,0.050910348200807885,0.004281636536631779,0.04964776791219633,0.08647949150607072,0.09576414565293843,0.11008269277878192,0.12356199855669228,0.11419053856725649,0.09287411474313133,0.24840424083341886,0.25610304732148154,0.18299945714777496,0.246760008632783,0.23459660778096533,0.22988757305319812,0.19836581811780585,0.22313197931499662,0.22274734906422397,0.05977635921756805,0.06937644617019376,0.09576900373298747,0.08616612980604482,0.08525112843279917,0.07056368688743317
pretaxProfitMargin,0.1950285320122907,0.11288363957035259,-0.16174247090841892,0.07847157283543897,0.11081079145962511,0.0787394270582977,0.03645337773549001,0.08465131335553089,0.1310056964514533,0.13713418053588572,0.1737409047874418,0.15548881436515685,0.14215502061501462,0.11460801534390314,0.1712547579494678,0.17420257469991496,0.1784845154712884,0.16033236214524657,0.13837636519200766,0.129554426152437,0.08562095977624129,0.11297590496889755,0.11635330915840308,0.06930502290484389,0.08993316583413608,0.10640261392262988,0.10208347611541362,0.09678107013429972,0.07828817351002679
netProfitMargin,0.13981313099642567,0.08326948375811372,-0.1256621904644573,0.056107018072407006,0.0746065613678347,0.08310774913350367,0.03586328039230037,0.062237945492662476,0.08251608073990434,0.0774173312169111,0.09904595440972981,0.08715031625419196,0.08176215426902594,0.06353746832189242,0.09472954317400531,0.10038264549427516,0.1045983555549671,0.09746951548505449,0.08499001795091181,0.0871774919145004,0.05603747567308539,0.07176047365659896,0.0761338443294894,0.04916616423114935,0.0632590841832428,0.07033646771256828,0.06433760537317525,0.059966818978061595,0.05116218412367204
effectiveTaxRate,0.259488379869587,0.24447717231222385,0.1949935948481806,0.26336258476266455,0.30795076406164185,-0.06286815893756025,-0.05094742125737232,0.24651734498770828,0.34892504357931436,0.42042244979293375,0.394342402764017,0.4238639310919093,0.40712626748994507,0.43474135204301695,0.44685015290519875,0.42375911683741524,0.4139639773300495,0.3920783416341365,0.38580538784219587,0.34430332227992244,0.37115933752141633,0.37373025415647415,0.40954913038661794,0.2905829596412556,0.28886925795053003,0.3389592123769339,0.3697549513259483,0.3803868990614825,0.34648898001025114
returnOnAssets,0.151029487870766,0.06798004266455802,-0.06743801652892562,0.03954803818012835,0.06019711377370045,0.056525691801623784,0.023734991553491527,0.04795728683505663,0.09304907394425639,0.09394246960854422,0.13445378151260504,0.12402885347317037,0.10069088625169416,0.0826322308559379,0.19828810972935998,0.1677530754042019,0.18035294386229253,0.17342261261909905,0.12972712746343262,0.12342349579407613,0.07507664893477634,0.10700266808219369,0.11892617449664429,0.05473253022052159,0.0687682176400734,0.08806628914057295,0.07861651679629843,0.07086838415702769,0.05804557146434181
returnOnEquity,0.2857743438828192,0.13667344892838287,-0.142793509385937,0.07482389773023741,0.10865824791182206,0.10501470525553046,0.04685492305393695,0.09454894591097764,0.18646895911100408,0.18723815106636094,0.270584759711328,0.26593953211223087,0.2074380784396516,0.1743707549132216,0.400300978179082,0.3335194888388824,0.3469660236815291,0.32495098303743275,0.24892881009473644,0.23922593560584998,0.15362548091746317,0.2016160871739531,0.23950153405327962,0.11778896268278881,0.1398248348223105,0.18378918554886925,0.16521471312917987,0.15185654602638127,0.1288431902584443
returnOnCapitalEmployed,0.2134110165254548,0.08508927306220773,-0.10654625579350693,0.04275170122702674,0.07653827259581122,0.04150281864430084,0.003311211422264359,0.04555806239435325,0.1196447377659201,0.1465043404923587,0.18498012282315246,0.22960240113272884,0.1773450560078707,0.15547660292835785,0.6626246144217444,0.5637862545573271,0.40603884887013947,0.5645258844150394,0.4591561319980299,0.41740499808671594,0.3395608902727904,0.42133380505926055,0.4678681334548638,0.09090823155745453,0.095413696085662,0.15075251930375605,0.1323038067927705,0.12676405733186327,0.10288288551829046
netIncomePerEBT,0.716885522102041,0.737657680732535,0.7769276044732195,0.7149980055843638,0.6732788421154654,1.0554782049908964,0.9838122725561551,0.735227169261586,0.6298663567693201,0.5645370899828456,0.5700785001143206,0.5604925126609062,0.5751619177099265,0.5543893952899905,0.5531498470948012,0.5762408831625848,0.5860360226699505,0.6079216583658635,0.6141946121578041,0.6729024588625414,0.6544831524842947,0.635183879928687,0.654333296407075,0.7094170403587444,0.7034010600706714,0.6610407876230661,0.6302450486740517,0.6196131009385175,0.6535110199897488
ebtPerEbit,1.2143593427875305,1.3003871934718347,0.9808136375984787,1.571048096506345,1.3990688844693546,1.5466291204240517,8.51388888888889,1.7050376465109058,1.5148758875652837,1.431999205975038,1.57827629758826,1.2583870136562743,1.2448931618908818,1.2340146192605208,0.6894196225269443,0.6802050054532995,0.9753281143733631,0.6497501885884835,0.5898481077834035,0.5635555868975001,0.4316316217615303,0.5063187505248131,0.52235552812283,1.159405219923053,1.2963068995133122,1.1110339439187429,1.1847285742692384,1.1352467927810395,1.1094682968439011
ebitPerRevenue,0.16060199410547438,0.0868077139924537,-0.164906425347475,0.04994854900365048,0.07920324202024831,0.050910348200807885,0.004281636536631779,0.04964776791219633,0.08647949150607072,0.09576414565293843,0.11008269277878192,0.12356199855669228,0.11419053856725649,0.09287411474313133,0.24840424083341886,0.25610304732148154,0.18299945714777496,0.246760008632783,0.23459660778096533,0.22988757305319812,0.19836581811780585,0.22313197931499662,0.22274734906422397,0.05977635921756805,0.06937644617019376,0.09576900373298747,0.08616612980604482,0.08525112843279917,0.07056368688743317
debtRatio,0.45139229462401137,0.48164332311468977,0.5067468069120962,0.45135232779090834,0.4265445008030133,0.4421995405674365,0.47374316559395,0.474964217628089,0.48192381535538625,0.479553528176974,0.485732260818766,0.5144448606261252,0.49529271759611254,0.5054409552423036,0.4846657779804606,0.479333448996621,0.48019998630230804,0.44938200494396047,0.4586184291391814,0.46466564913528957,0.49316710778019446,0.46927514772235185,0.5034429530201342,0.5353339653060801,0.5081830940300118,0.5208298634243838,0.5241554743685032,0.5333201892744479,0.5494866950445016
