,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.812828207051763,2.992497588510593,3.593702155832333,2.5362732714591685,2.173459350810418,2.3610687022900763,1.314927055097006,0.797894794550588,1.111981100236247,1.065528566117239,1.2698613331350608,1.36199829205807,1.351900539191658,1.1973957501198274,1.2875678119349006,1.1798406736285962,1.124472755444607,1.2426410045286127,1.4170379924953096,1.3078041993422718,1.5199012896035664,1.2457852706299912,1.312918242653477,0.959414361072236,1.2971713021491782,1.4443357638271386,1.0886777513855899,1.0160183066361557,1.0941099962839094,1.3687643020594966,1.387599054636452,1.1487571701720842,1.3439807383627609,1.5304347826086957,1.2121153473969422,1.3334102445777574,1.4929010383555839,1.2937956204379562
quickRatio,1.5127531882970742,2.6636776106605695,3.2173211403980635,2.1034104014498327,1.9209682247786855,2.0963037364403374,1.0076752048244144,0.5418711109892821,0.7579480256496793,0.7492564134341306,0.8841220863229117,0.9751494449188728,0.9929593155385232,0.8991851733503755,0.8981012658227848,0.8771205679613654,0.8227167082723594,0.84643886372993,0.9804760787992496,0.8522008601062484,1.0370163986626333,0.7745489500147885,0.8511783532150131,0.5577026590591022,0.8191371681415929,0.9366886003912502,0.684085510688836,0.6369183829138062,0.7078223708658491,0.9326086956521739,0.8512442652578897,0.6701083492670491,0.8213483146067416,0.8630940343781598,0.7371782465647377,0.8917858790955238,1.0432294977749523,0.8671938361719383
cashRatio,0.7822147844653471,1.5965488907148726,2.173625191376671,1.2349387665440168,1.1937304879613395,1.3152269987946967,0.4572533731306917,0.05657739645294811,0.11360107998650017,0.13954641219481967,0.16892821294471913,0.18040136635354398,0.16679292366650328,0.1949992011503435,0.04679023508137432,0.017459858835183886,0.015150210897822158,0.028715520790448746,0.08577626641651032,0.04819124715406021,0.2019582868969909,0.04895001478852411,0.06844631946464941,0.033157498116051246,0.048593552465233884,0.04668326516094611,0.0625494853523357,0.06636155606407322,0.09280936454849498,0.27276887871853545,0.16238009175587376,0.13307839388145315,0.11942215088282504,0.10010111223458039,0.07005999612928199,0.222888786340563,0.2472981563890655,0.09367396593673966
daysOfSalesOutstanding,55.79654450096861,58.52092414995641,58.416155730948596,57.92429559699066,61.95460348032518,68.65705457032585,69.25664608794254,65.30596569950177,66.75524475524476,70.55552827000903,73.05544284569848,67.38489387026384,74.97341014846,77.94082023206802,65.99755149071007,75.73228197413776,77.38062686432252,71.22060539080248,75.1531424562161,73.68626236641101,70.88887654595275,62.6485867207724,71.84366483144629,70.85366825362044,72.36186216710713,78.77193928155592,71.48827345309381,70.63906856403622,69.32832180873957,63.255551882681736,56.214061480123085,52.46306847258708,55.14025633053512,52.129040805511394,51.73547432049015,49.62644217240409,69.16603602240048,76.10816571928291
daysOfInventoryOutstanding,20.097767307383414,23.05471674482682,25.221829603455046,23.71843360388252,23.35834881654415,21.278026905829595,35.33876333421838,34.57568295387451,33.75291436355539,34.49184298925336,40.71370836228534,33.99874236189903,41.26526218668307,38.77683255821651,23.898103495339978,25.618819278417735,28.356052635591542,30.043750935737695,33.79703858261952,38.22407925256335,37.43736447474985,36.52046213469179,37.09535759096612,44.29328268692523,54.76597234377735,50.89930004329629,56.23546511627907,52.77298230470436,50.54511011129529,63.62902268139175,58.16222987785781,57.77874503795529,52.22433589238399,59.49192998408729,63.03961805846386,54.72348668280872,68.12166139757986,79.04888477984514
operatingCycle,75.89431180835203,81.57564089478322,83.63798533440364,81.64272920087318,85.31295229686933,89.93508147615545,104.59540942216091,99.88164865337629,100.50815911880015,105.04737125926239,113.76915120798381,101.38363623216287,116.23867233514306,116.71765279028453,89.89565498605005,101.3511012525555,105.73667949991406,101.26435632654017,108.95018103883562,111.91034161897437,108.32624102070261,99.16904885546418,108.9390224224124,115.14695094054568,127.12783451088448,129.6712393248522,127.72373856937288,123.41205086874058,119.87343192003486,126.88457456407349,114.3762913579809,110.24181351054237,107.3645922229191,111.62097078959869,114.77509237895401,104.34992885521281,137.28769741998033,155.15705049912805
daysOfPayablesOutstanding,43.80312684049901,37.423915614867596,34.032024035096704,31.720274454020583,35.06406010178529,41.83917335836201,38.5425679791338,33.58224967958411,35.40709401933304,50.09401640770332,52.01271997617663,81.91830820335461,95.5297554974627,61.63577233081213,35.8305494534063,46.775293414475115,92.11403869905311,83.67075341440288,88.15689289113405,43.30374368645813,38.457689996603705,45.56828430058254,55.18506900878293,52.72662363625978,61.16768772973919,81.20183287631693,79.73006644518273,81.7587397496763,84.37437840397821,92.2144044650279,83.24240526150955,98.93307333379761,86.99096406005843,86.54125937713117,0,0,0,0
cashConversionCycle,32.09118496785302,44.151725279915624,49.605961299306934,49.922454746852594,50.24889219508404,48.095908117793435,66.05284144302712,66.29939897379218,65.10106509946712,54.95335485155907,61.75643123180718,19.46532802880826,20.708916837680363,55.0818804594724,54.06510553264375,54.57580783808038,13.62264080086095,17.593602912137285,20.793288147701574,68.60659793251625,69.8685510240989,53.60076455488164,53.753953413629475,62.4203273042859,65.96014678114528,48.46940644853527,47.993672124190155,41.653311119064284,35.49905351605665,34.67017009904559,31.133886096471358,11.308740176744763,20.37362816286067,25.079711412467518,114.77509237895401,104.34992885521281,137.28769741998033,155.15705049912805
grossProfitMargin,0.2646039720914117,0.30387484258452,0.3385386673893161,0.3300182757963426,0.30690242099840986,0.29730323904440864,0.32775817899290244,0.2982142315738411,0.2686464220710796,0.2660308042905976,0.26632125430464954,0.2744197579845269,0.2795258143142034,0.26817422058574164,0.26130875222046185,0.26661220586184226,0.25898264485221006,0.2618284521397434,0.26281134468521467,0.2674479538849983,0.29132415018884694,0.282393479325544,0.30025058989226466,0.3025238541064919,0.4192925391339703,0.40238906378024064,0.3992015968063872,0.40051746442432085,0.3941697988695378,0.4938846650839919,0.5037764585211202,0.5101156562382724,0.49151898296887414,0.5004542357483533,0.5090669846621982,0.5157583716349311,0.5372080117047576,0.5270550940096196
operatingProfitMargin,0.1841777833776952,0.22100164680809842,0.25265630116414306,0.24043323728262453,0.2201070524736288,0.17436122917582686,0.22111629078997103,0.17171472172533325,0.12723440942619024,0.13009312011315863,0.13342072682251838,0.16090061495734972,0.15388876578772434,0.10250478428332647,0.14362667434826443,0.14023989320369004,0.11987028834854922,0.1231043163259041,0.11868203038562215,0.09599352103282359,0.14346811819595645,0.13037850696144965,0.15196356386384005,0.1443596741100775,0.1717828826997357,0.15641036698434602,0.1474550898203593,0.15575679172056922,0.13947149456287838,0.10262343360278871,0.14661362011624654,0.1397086418068302,0.13441807441185616,0.13608145961087137,0.14934824622722973,0.14538973829847107,0.12935775187931992,0.13281591604722343
pretaxProfitMargin,0.21692942529097695,0.24289450741063645,0.27368088253559614,0.25670205967103565,0.22563884347495017,0.17295666617812303,0.22386712023854521,0.17519126014411465,0.12975380783599963,0.13264704726729795,0.13655232685164956,0.16474905772664153,0.15444272102814094,0.10132990964366173,0.1419943348216429,0.1371117177070673,0.11855961312483052,0.12251488917541598,0.11487708125320452,0.08978451082209836,0.14524550099977782,0.12890925627929756,0.021601946187192477,0.13326427760403178,0.16745273429558855,0.13592651688300486,0.15194610778443113,0.14307891332470893,0.09333486356985052,0.0903927637707726,0.1265035899667423,0.12370782300160349,0.11635057173454935,0.12169732757968052,0.12484065956659401,0.1139198949441891,0.003834317138388578,0.1189877568867512
netProfitMargin,0.17766525443749703,0.20334205172914852,0.21303478879441753,0.19733375192007982,0.1677230073234642,0.3664565928965753,0.0662613917937088,0.12914733852792853,0.09499952102691829,0.09765824525558917,0.12144573800680421,0.12142432057131522,0.11401506758253933,0.07646374845570601,0.08734936866868309,0.10317001733447569,0.08173641869294043,0.08739485479216554,0.08150956634374072,0.0630905308624331,0.09727467970080723,0.09798502763590569,0.022717711400925537,0.08973924822214698,0.11116080504167514,0.09256544051058692,0.10379241516966067,0.09521345407503234,0.07109861417955413,0.06037202872855125,0.08423212010070556,0.08491692538637372,0.07942101081286489,0.0840714664244076,0.08787367901640693,0.07489916518150268,0.002371222440845568,0.07843244425010931
effectiveTaxRate,0.18179838094892367,0.18457366196059663,0.1973760211238551,0.20969644027080148,0.2601985111662531,0.18423840124285007,0.2750680048775912,0.23991923853475627,0.2702104097452935,0.22800651658767773,0.2188952380952381,0.24587597832630945,0.24354375896700142,0.22149175233086302,0.24702461455233973,0.21884763496330742,0.2584580196321357,0.2639069860679563,0.2661498708010336,0.2603466572338168,0.3069471000637349,0.2971506105834464,-0.11600338696020322,0.3040358744394619,0.3361660798834527,0.319003807106599,0.3169129720853859,0.3345388788426763,0.28220104518905625,0.33211436170212766,0.3194103194103194,0.31356867071152783,0.31739904988123513,0.3091757387247278,0.2961133069828722,0.34252778921366817,0.3815789473684211,0.3408360128617363
returnOnAssets,0.08296742496120268,0.07815199261333175,0.07496275105786995,0.0929112908334565,0.07809868445065517,0.162471841968463,0.03495372549888399,0.07328206628015667,0.05577897643862738,0.05569716696265007,0.06890058907554097,0.08566410322797344,0.07619632901176523,0.04845307810976967,0.07236324007859171,0.08180417868004265,0.06470077902099153,0.06837483667665821,0.06016692562049321,0.04212300808956838,0.0618481459682166,0.06929652033003056,0.015017229913548154,0.05470220387347459,0.07300790429395429,0.05926202012672382,0.06378411530205458,0.06327372764786796,0.049203764743258806,0.04219258636984144,0.060334847270460415,0.05887640449438202,0.05895627644569817,0.06598924443652138,0.0712452075345891,0.05911093015508754,0.0017370735853937983,0.0553306342780027
