,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,2.8898097588095073,2.195020457098293,1.9018655147833823,1.915162899587418,1.5740878500363251,1.4062430803446506,1.466367080344839,1.7492298122777077,2.099877690205456,2.7666079114645057,1.7132914152190049,1.212845459018372,3.5763807420697904,1.9192768981777175,1.4758481847654692,2.93185074207594,1.93522598886766,1.3182297242761707,2.532946840850105,1.8230097916838555,3.1228485748038652,3.647545123379624,1.7374764595103578,1.3012765957446808,2.100383631713555,1.2177954847277557,2.1038107752956634,2.343711083437111,1.5464231354642313,1.2256637168141593,1.5992292870905587,1.5625,1.5,1.4545454545454546
quickRatio,2.4352471688485764,1.638746461959885,1.3792411217458587,1.487989693261561,1.1570100796540639,0.9776417571240513,1.0524203203381226,1.3101784717459608,1.453897442779757,1.9082138359670147,1.1739091359964318,0.8901400867070804,2.9819674609199143,1.5458201600022679,1.2089219694110025,2.6332623250152163,1.660408175940659,1.1282714480587268,2.2229612632922944,1.5295493802681202,2.7343713082724985,3.2282334989379575,1.1951035781544257,1.0591489361702127,1.7173913043478262,0.9594953519256308,1.7358738501971092,1.891656288916563,1.0410958904109588,0.911504424778761,1.4046242774566473,1.125,1.2777777777777777,1.1818181818181819
cashRatio,1.8876963909007136,0.9161482067786811,0.6640641659101848,0.5381304855199699,0.3665098382121991,0.32130682025564095,0.25288649069696045,0.31971737986251775,0.2973218425162266,0.46355558459954327,0.22111583401846926,0.2978592448871601,1.5244519586870011,0.3916228687550881,0.35559508798419415,0.8199693337703076,0.4177592468812294,0.3207736743277001,0.9688555466239286,0.5509997950639693,0.6011056250567958,0.7067580297945046,0.30357815442561203,0.016595744680851062,0.6131713554987213,0.0796812749003984,0.2943495400788436,0.7858032378580324,0.2252663622526636,0.22123893805309736,0.4007707129094412,0.375,0.7222222222222222,0.5454545454545454
daysOfSalesOutstanding,52.025418973922804,62.082443980744536,54.33438052325324,90.28489161010577,99.42112713680422,83.28679720572268,74.11297298933842,81.40396214277747,83.03510232013414,72.20146280752773,94.95202093080088,96.67234802658733,75.43308259817306,79.88258957560144,76.77521985329552,81.94978912395092,84.50216825696585,80.52506339475653,77.91978920828812,66.73632268869503,62.13419845867138,96.3438457898433,116.8363692978359,86.87943262411348,87.58579963873837,84.43173882681565,94.7479886417416,92.07954545454545,68.33391547327977,71.14535610162433,136.80935251798562,56.516129032258064,58.77616747181965,81.629392971246
daysOfInventoryOutstanding,23.306598016338118,26.803686805797224,33.361027734484125,30.571598311358674,35.331558278509185,28.127822104920188,23.675848726257005,18.64001377116951,19.23097758115117,20.445461176092717,26.37498132927115,23.921064597239976,18.28652989139077,17.61656050382019,17.663536933015354,14.27261070900459,9.373599023065019,6.650145709563927,6.656850330435027,7.691942787321211,5.210703493836651,7.407882502065693,22.49104370671125,10.586879913255624,12.511580507689457,11.855563234277817,16.616425715164564,27.947932618683,39.100461301896466,25.275821596244132,21.599799398194584,12.897526501766786,0.0,0.0
operatingCycle,75.33201699026093,88.88613078654176,87.69540825773737,120.85648992146444,134.7526854153134,111.41461931064286,97.78882171559542,100.04397591394698,102.26607990128531,92.64692398362045,121.32700226007204,120.5934126238273,93.71961248956383,97.49915007942164,94.43875678631088,96.22239983295552,93.87576728003086,87.17520910432046,84.57663953872316,74.42826547601624,67.34490195250802,103.75172829190899,139.32741300454714,97.4663125373691,100.09738014642782,96.28730206109347,111.36441435690617,120.02747807322845,107.43437677517625,96.42117769786846,158.4091519161802,69.41365553402485,58.77616747181965,81.629392971246
daysOfPayablesOutstanding,46.770234669190216,36.87470247227533,55.83958118124884,72.52887240803369,77.20693406376577,71.83747204860826,41.86246645492436,63.200411803250745,50.00514336631316,40.62584200993906,75.66408074865122,53.50628114682196,41.0685580852654,49.863557271994225,46.0150280750022,65.21921355747529,61.51154803038352,49.11076788272526,36.82719724218511,40.91188610857266,37.09857657364522,57.17986270744168,70.0011941724385,42.594876660341555,43.959607189179174,45.32020271826768,29.976930175330665,52.122894333843796,30.49461814454126,37.485328638497656,31.118355065195583,25.79505300353357,23.804347826086957,27.34082397003745
cashConversionCycle,28.56178232107071,52.011428314266425,31.85582707648853,48.32761751343075,57.545751351547636,39.5771472620346,55.92635526067106,36.843564110696235,52.260936534972146,52.02108197368139,45.66292151142082,67.08713147700534,52.65105440429843,47.635592807427415,48.42372871130868,31.003186275480232,32.364219249647334,38.064441221595196,47.74944229653805,33.51637936744358,30.246325378862807,46.57186558446731,69.32621883210864,54.87143587702755,56.13777295724865,50.96709934282579,81.3874841815755,67.90458373938466,76.93975863063498,58.9358490593708,127.29079685098462,43.61860253049129,34.971819645732694,54.28856900120856
