,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,4.187335092348285,4.079647462053207,4.511107031393427,5.295381801554641,5.514814814814815,6.242726125001814,4.461221011560538,4.21806939068024,5.872698388872211,6.301762222418134,6.581573651087755,6.694194900884792,8.220000167351413,6.590872541268844,6.392079308517973,7.38985138985139,7.090039109440888,7.558911537867187,7.453044748199078,8.42440081591025,8.413032223071424,8.021651767407528,6.747774480712166,5.626623376623376,3.8351063829787235,4.14,5.406666666666666
quickRatio,1.665787159190853,1.6567651379141506,1.6829447402239766,2.0153177869227252,2.0646723646723646,2.221891280056885,1.6008800373024337,1.5360820347779292,1.9734147236398814,2.2144053601340032,2.573954573044117,2.7122915189444154,3.375653716456501,2.2412073544018973,2.131561567881792,2.3072399322399324,2.626548537219515,2.830718008513269,3.276086706814788,3.3339920108788035,4.1882103498434455,3.795265042784111,3.335311572700297,2.292207792207792,1.5398936170212767,1.68,2.566666666666667
cashRatio,0.346232776311932,0.4010119144769055,0.32109418028272446,0.38225880201188844,0.33304843304843307,0.40898767976085093,0.34574157345524514,0.305035526557667,0.24394576203342339,0.38991742337418084,0.6265427168854956,0.8859820575268983,1.3794107556753048,0.5803788017000804,0.4152665994150561,0.1862054362054362,0.6139963730909568,0.470660129525308,0.8163633678475903,0.3037565867754547,1.1652572668326717,0.8941469148965253,0.8249258160237388,0.06818181818181818,0.010638297872340425,0.016,0.44
daysOfSalesOutstanding,54.66286246651916,49.728365767712006,50.76344751298348,52.510422750800586,50.52886914929963,46.0360127974607,44.18418520479884,45.174176719100835,45.46782784433208,43.34919327018292,44.666826173650335,43.44560692778185,40.49653945180358,38.19951504534433,41.83723935030185,42.269173736014906,43.98115185583192,47.890902807607965,47.235518550086034,42.55050594298008,45.21044675252938,51.940086357175424,50.687787261982926,49.69687934804214,52.732412060301506,52.77719847062913,52.30682839173405
daysOfInventoryOutstanding,171.97451835358876,158.5281701574931,176.96341766313026,181.87417192736342,179.13175266064934,181.46919603316346,173.5922271700656,172.79336421392023,178.1239601882413,171.8931432938811,176.9698961571622,185.85161720573524,195.97508171444565,186.49280153721747,181.58933985378286,184.59123818016062,172.4576467205938,182.65065724022605,168.0356066192096,173.53878440658085,137.3336602144603,151.27278731644859,140.01079525008996,150.2658172231986,161.3641425389755,161.99921445404556,149.4195519348269
operatingCycle,226.63738082010792,208.2565359252051,227.72686517611373,234.384594678164,229.66062180994896,227.50520883062416,217.77641237486444,217.96754093302107,223.5917880325734,215.24233656406403,221.63672233081252,229.2972241335171,236.47162116624924,224.6923165825618,223.4265792040847,226.8604119161755,216.4387985764257,230.54156004783403,215.27112516929563,216.08929034956094,182.5441069669897,203.21287367362402,190.69858251207287,199.96269657124074,214.096554599277,214.77641292467467,201.72638032656096
daysOfPayablesOutstanding,26.31088227108266,24.53482708231856,24.9696625625377,27.536435196009666,24.17598455251695,19.87228496654665,23.944836956380225,20.656108991588173,20.73078577248094,18.74650522397836,20.20679649460076,20.164721573857953,20.6188120118915,21.136183560574572,19.920083411798924,16.74731218571926,18.39810253126511,23.342066142481016,28.95115456617529,20.594261667272114,18.076608452258927,21.03912770167119,25.349046419575387,27.90421792618629,26.41982182628062,28.672427336999213,29.363543788187375
cashConversionCycle,200.32649854902525,183.72170884288653,202.75720261357603,206.84815948215433,205.484637257432,207.6329238640775,193.83157541848422,197.3114319414329,202.86100226009245,196.49583134008566,201.42992583621177,209.13250255965914,215.85280915435774,203.55613302198722,203.5064957922858,210.11309973045624,198.0406960451606,207.199493905353,186.31997060312034,195.49502868228882,164.46749851473075,182.17374597195283,165.3495360924975,172.05847864505444,187.6767327729964,186.10398558767545,172.36283653837359
grossProfitMargin,0.4620273170407094,0.4546951640607016,0.47160507715094585,0.48315240377837304,0.4927912538435258,0.49590084491912745,0.5037063341730447,0.5082090377760106,0.5169543604443154,0.5152335493909995,0.5183393877317204,0.5176695362046926,0.5094647029264426,0.5281485200337546,0.5080824262459508,0.5016616583864697,0.49766072158877933,0.5041074145008607,0.4915601933004197,0.4953138701932104,0.5040151145752753,0.5371000616836967,0.543827971109652,0.5476048499304313,0.5487437185929648,0.5575251998609663,0.5588499550763701
operatingProfitMargin,0.2025320667454125,0.2021851150107131,0.19821137296810845,0.20124468792169342,0.20084272861860836,0.2008661708273221,0.21419357606649667,0.21095179411743437,0.21426166213584294,0.21499104697283647,0.2076755627952129,0.18933443079907167,0.15323442105753937,0.1923740346304624,0.18256937199628095,0.1767730389639962,0.17584073869600408,0.16726551322091704,0.13582590901050126,0.13168322955298983,0.1365432252655866,0.17372944994233916,0.17350623768877216,0.1731266149870801,0.16884422110552763,0.18561001042752867,0.20485175202156333
pretaxProfitMargin,0.20093496814121015,0.20057372549714023,0.19568029697958264,0.19878753700831805,0.19886117754242114,0.1993240344105909,0.2134867092234105,0.21091001034684012,0.21450549080516376,0.21513912056413484,0.20784615334572523,0.18975347118337269,0.15411354535234909,0.192771398357136,0.18328427471082573,0.17742908037585037,0.1766232333967688,0.1682174773837861,0.13703102134023767,0.1338655987488928,0.138868826555116,0.1762410491592244,0.17481943532501643,0.17133770622142716,0.16909547738693467,0.18908585331942995,0.20754716981132076
netProfitMargin,0.15388710509241543,0.15212579462752113,0.148283555505559,0.15143703047269944,0.1317845347910261,0.12606599233323473,0.1334546508090718,0.1323554502509303,0.1348832538710432,0.1342031805824462,0.1293629346490009,0.11692416426559317,0.09550543171374842,0.1195103453432603,0.11282367656908777,0.11000604088679997,0.10950593205819083,0.10576491410521828,0.08454883167425181,0.08343144422920178,0.08568184845585207,0.10825488776249095,0.10751805646749836,0.10534684953289604,0.10251256281407035,0.1129648939867918,0.12309074573225516
effectiveTaxRate,0.23414472594800464,0.24154674671139756,0.24221519593752994,0.2381965552178318,0.3373038598098729,0.3675324066863443,0.3748807534926515,0.37245534228900457,0.3711897380120762,0.37620280202624024,0.3776024594796211,0.3838101430429129,0.38029177451342905,0.38004109343103554,0.3844334068097561,0.37999993770033236,0.3800026760228354,0.3712608478611474,0.3829949536439385,0.3826594173603835,0.3830015664325818,0.3857566765578635,0.38497652582159625,0.3851508120649652,0.3937592867756315,0.4025735294117647,0.4069264069264069
returnOnAssets,0.21516631774831357,0.21668726511463668,0.20813705623832207,0.22637362637362637,0.19879745748153238,0.18714863590924147,0.2038968403079691,0.2094652965408024,0.21612846037930727,0.23159411223064688,0.21242732713413115,0.18072537787333914,0.13889018637021813,0.21447319286369887,0.20000842604128244,0.19156394126750695,0.1874240900638739,0.17006390265815324,0.12910889994981145,0.135135812009846,0.14752842750250397,0.20058936948397868,0.20558694287507848,0.21098726114649682,0.19892735251097027,0.2145214521452145,0.2506861848124428
returnOnEquity,0.3040562750640983,0.3143202107419874,0.2967061824729892,0.32652972597385677,0.27593113643950595,0.25838267564846823,0.2866619404215537,0.2580125385269659,0.25308103979416674,0.2695121638596221,0.24532891562301232,0.2069033272203301,0.15481217927132293,0.24487003385396833,0.23028210354587042,0.21585458299759352,0.21289542836504163,0.19140113009209944,0.14585428442625795,0.1511229897313507,0.165012897516522,0.22471315878839163,0.2322695035460993,0.24356617647058823,0.24593128390596744,0.25793650793650796,0.2908704883227176
returnOnCapitalEmployed,0.33659588586595884,0.3406324582338902,0.32477267141803884,0.34645123262022814,0.34452041414338735,0.3325362270394946,0.3838079633361985,0.3970209940874576,0.38816755557879506,0.4180111413215459,0.3838070174266764,0.3289867988466409,0.2448923665127015,0.3894258214289421,0.367147190496162,0.3420331080503037,0.33546024593705426,0.29634032423957624,0.22881229660583607,0.23289852015064147,0.2570401879070495,0.354092132773959,0.371007371007371,0.3951905626134301,0.40119402985074626,0.42213438735177866,0.4835630965005302
netIncomePerEBT,0.7658552740519954,0.7584532532886025,0.7577848040624701,0.7618034447821682,0.6626961401901271,0.6324675933136557,0.6251192465073485,0.6275446577109954,0.6288102619879238,0.6237971979737598,0.6223975405203789,0.6161898569570872,0.619708225486571,0.6199589065689645,0.615566593190244,0.6200000622996676,0.6199973239771646,0.6287391521388527,0.6170050463560615,0.6232478322209113,0.6169984335674182,0.6142433234421365,0.6150234741784038,0.6148491879350348,0.6062407132243685,0.5974264705882353,0.5930735930735931
ebtPerEbit,0.992114342040414,0.9920301278682782,0.9872304199772985,0.9877902321857486,0.990133817192107,0.9923225677555385,0.9966998690807295,0.9998019273987735,1.0011379948558703,1.0006887430587614,1.00082142813635,1.0022132286374563,1.0057371202158265,1.0020655787951678,1.003915786677293,1.003711207408658,1.0044500194128363,1.0056913355570896,1.0088724775598097,1.0165728711492816,1.0170319785914383,1.0144569571694313,1.0075685903500473,0.9896670493685419,1.0014880952380953,1.0187265917602997,1.013157894736842
ebitPerRevenue,0.2025320667454125,0.2021851150107131,0.19821137296810845,0.20124468792169342,0.20084272861860836,0.2008661708273221,0.21419357606649667,0.21095179411743437,0.21426166213584294,0.21499104697283647,0.2076755627952129,0.18933443079907167,0.15323442105753937,0.1923740346304624,0.18256937199628095,0.1767730389639962,0.17584073869600408,0.16726551322091704,0.13582590901050126,0.13168322955298983,0.1365432252655866,0.17372944994233916,0.17350623768877216,0.1731266149870801,0.16884422110552763,0.18561001042752867,0.20485175202156333
debtRatio,0.29234705745522216,0.3106161878578455,0.2985078554698808,0.30672888755080535,0.27953959800721523,0.27569201209194555,0.2887202256144416,0.1881584602954853,0.1460108566209201,0.14069142960361972,0.13411215064203763,0.12652261178533022,0.10284715954550318,0.12413458891583708,0.13146344000873558,0.11253243453421315,0.11964248596965288,0.11147910894611247,0.1148089995595072,0.10578918369683439,0.10595820252333538,0.10735370120060428,0.11487758945386065,0.1337579617834395,0.19112627986348124,0.16831683168316833,0.13815187557182068
debtEquityRatio,0.4131220827033068,0.4505707595492463,0.4255327130852341,0.44243713901072657,0.3880013353044971,0.38062815362315544,0.4059165408771163,0.2317674707356921,0.17097507357433334,0.16372631956727934,0.1548839734169719,0.14484932694586874,0.11463727796191438,0.14172792685371707,0.15136201061018986,0.12680174342501244,0.13590215800160552,0.12546594015801418,0.12969969136872767,0.11830452256682224,0.11851593831786258,0.12026454525716894,0.12978723404255318,0.15441176470588236,0.23628691983122363,0.20238095238095238,0.1602972399150743
longTermDebtToCapitalization,0.13774729323734483,0.1589377480998246,0.113711929777896,0.17751901989498875,0.16421539320020725,0.16410794374499485,0.14397128843254023,,,,,,,,,,,,,,,,,,,,
totalDebtToCapitalization,0.17309051372655612,0.19214967635149116,0.14234234234234233,0.17839940057801407,0.16521358334328595,0.16787956062044843,0.16849090772283845,,,,,,,,,,,,,,,,,,,,
interestCoverage,125.50515463917526,117.71134020618557,76.05755395683454,79.3015873015873,96.9010989010989,122.36146986469865,266.6521879021879,860.7540983606557,6306.699115044248,,,,,,,,,,,,,,,,,,
cashFlowToDebtRatio,1.2093278894472361,1.6948161821258267,1.9048372513562386,1.3484,1.410120481927711,1.3179461538461539,1.4984657534246575,,,,,,,,,,,,,,,,,,,,
companyEquityMultiplier,1.4131220827033069,1.4505707595492463,1.425532713085234,1.4424371390107265,1.388001335304497,1.3806281536231555,1.4059165408771164,1.231767470735692,1.1709750735743334,1.1637263195672793,1.1548839734169718,1.1448493269458688,1.1146372779619145,1.141727926853717,1.1513620106101898,1.1268017434250124,1.1359021580016055,1.1254659401580143,1.1296996913687276,1.1183045225668222,1.1185159383178627,1.120264545257169,1.1297872340425532,1.1544117647058822,1.2362869198312236,1.2023809523809523,1.1602972399150744
receivablesTurnover,6.677293934681182,7.339875227449961,7.190212995416554,6.9510009799804005,7.2235932872655475,7.928575430844719,8.260874299439552,8.079837343126794,8.027654218487152,8.419995217098068,8.171612609792259,8.401309725209433,9.013115810411405,9.555095125336818,8.724285007045204,8.635134490197201,8.299009566562793,7.621489230769231,7.727236012302339,8.578041363106685,8.073355302103478,7.027327553712778,7.200945626477542,7.344525547445255,6.921739130434783,6.915865384615385,6.978056426332288
payablesTurnover,13.872586872586872,14.876811594202898,14.617738589211617,13.255165289256198,15.097627118644068,18.367288946109987,15.243369610948378,17.670317296865527,17.606664986356613,19.470295697201962,18.063229374212174,18.100919403379965,17.70228080014956,17.268964330951228,18.32321644716637,21.794542070532497,19.83900238514985,15.637004786638151,12.607441930016947,17.7233836248691,20.1918407960199,17.348628002814355,14.398963730569948,13.080459770114942,13.815384615384616,12.73,12.430379746835444
inventoryTurnover,2.1224074560252033,2.302429906542056,2.0625731850117095,2.0068819895206067,2.037606368377711,2.011360649513741,2.102628706079191,2.112349635997165,2.0491347689231034,2.1234122141566125,2.062497678564796,1.963932332081619,1.8624816829102782,1.9571801002043432,2.0100298855312806,1.9773419561970802,2.116461675899779,1.9983503235903726,2.1721586712698167,2.1032762287008313,2.657760664283001,2.4128596192020577,2.606941838649156,2.4290288153681963,2.261964735516373,2.253097345132743,2.442786069651741
fixedAssetTurnover,4.764883075703527,4.433775614351888,5213.782991202346,5.373484848484848,4.9165733482642775,4.40374481631038,4.72492242538366,4.887499361818275,5.079187600213789,6.0678024193157984,6.351819669835469,6.244778066089005,5.76211030316056,7.219478564510059,7.453426455118264,6.852770518501686,6.787019710578842,6.4022621300001035,5.8679468956609435,6.276779524720628,6.728913631616601,7.0481159091553485,6.954337899543379,6.7803234501347704,6.970227670753065,6.553530751708428,8.214022140221402
assetTurnover,1.3982088857873924,1.4243952884203093,1.4036422011105556,1.494836670179136,1.5085036935234495,1.4845291140416743,1.5278361531189806,1.5825966829751321,1.6023372374004232,1.7256976416320453,1.6421034951820472,1.545663199805487,1.4542647876458348,1.7945993901003643,1.772752246012892,1.7413947427181102,1.7115428044964525,1.6079425213636376,1.5270335188928437,1.619722794664835,1.7218165826396545,1.8529359147650473,1.9121155053358443,2.0027866242038215,1.9405168210628962,1.899009900990099,2.0365965233302834
