,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,,0.05197885605855245,0.058885383806519455,0.051276047763989696,0.061996329689619406,0.046623243057936234,0.0518921766616911,0.04008516941307165,0.047258612324114505,0.0446392172849572,0.04151838671411625,0.06265466816647919,0.12017627441638876,0.02278914994453968,0.020991374831133742,0.013039666885820733,0.03374875923679276,0.01024198086662915,0.013820335636722606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
quickRatio,,0.2279750609921388,0.23396424815983174,0.22422539608210412,0.24255964254368467,0.2320877613986973,0.24049521468083238,0.2344010368450287,0.24318292091217855,0.16316754993885038,0.15884826916855388,0.18368953880764904,0.26476893758932823,0.15387718059897146,0.15930582978281202,0.24249397326320404,0.16764089555531048,0.13393359594822735,0.13585883514313918,0.11375166889185581,0.10862370305421598,0.09090556492411467,0.05108730476571886,0.05731708350996185,0.06543307914804102,0.05975022248590923,0.07604826823876197,,,,,,0.05194805194805195,0.05541125541125541,0.07253886010362694
cashRatio,,0.05197885605855245,0.058885383806519455,0.051276047763989696,0.061996329689619406,0.046623243057936234,0.0518921766616911,0.04008516941307165,0.047258612324114505,0.0446392172849572,0.04151838671411625,0.06265466816647919,0.12017627441638876,0.02278914994453968,0.020991374831133742,0.013039666885820733,0.03374875923679276,0.01024198086662915,0.013820335636722606,0.012416555407209613,0.008805202396609674,0.057260370994940975,0.011736283540248298,0.01699194573972022,0.015759400473310543,0.005938593889053693,0.017779661016949153,,,,,,0.01833460656990069,0.022510822510822513,0.03626943005181347
daysOfSalesOutstanding,127.23659766454352,119.62455830388693,157.3543554651378,141.1095603628751,151.58652963846578,153.609490470634,158.54802831142567,169.08739792540277,179.25930430552177,111.62108861425192,105.28101802757159,100.06405329233922,107.85826359832636,102.75534162949049,99.15164835164835,195.62914786302096,122.60929717764252,126.10342659541024,126.9732676749912,108.17454119484576,106.9570191943866,34.21790855563538,34.91691529283368,35.75127781118461,38.12125673600925,39.99069550285658,38.162800676493184,34.014699764249066,0.0,0.0,0.0,0.0,21.004446769552708,18.370860927152318,18.65235800846839
daysOfInventoryOutstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operatingCycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daysOfPayablesOutstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cashConversionCycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grossProfitMargin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
operatingProfitMargin,0.0,0.25201918223119635,0.0530793415942297,0.18230983949755758,0.10846026793907139,0.12329832749902761,0.10616784630940344,0.11410284705363055,0.1024081731938701,0.043649750197212726,0.09994697773064687,0.11068408916218293,0.11218619246861924,0.20075135008217893,0.2043956043956044,0.15980886647199363,0.16159380188157166,0.11757309022320026,0.08371438621174815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20769029557938792,0.1427814569536424,0.16177544167031682
pretaxProfitMargin,0.19891188959660297,0.31196365471983845,0.04642130571481413,0.12735519888346128,0.14901816847127913,0.17133411124076234,0.14580384226491405,0.15758110792319577,0.13767939674045243,0.0462792532211412,0.13282078472958642,0.1491160645657187,0.1412133891213389,0.27987790561164594,0.29208791208791207,0.2184762410406159,0.22136137244050913,0.15089594467148695,0.09813577207175518,0.08629441624365482,0.046617022609238806,0.15109929739505681,0.14949551888755672,0.2031313066829216,0.15614162053441358,0.1782911978430237,0.16484430474986544,0.0,0.0,0.0,0.0,0.0,0.20049699189118494,0.13589403973509934,0.15432909913856038
netProfitMargin,0.1613588110403397,0.25201918223119635,0.0530793415942297,0.18230983949755758,0.10846026793907139,0.12329832749902761,0.10616784630940344,0.11410284705363055,0.1024081731938701,0.043649750197212726,0.09994697773064687,0.11068408916218293,0.11218619246861924,0.20075135008217893,0.2043956043956044,0.15980886647199363,0.16159380188157166,0.11757309022320026,0.08371438621174815,0.07536118703631393,0.050778766483311415,0.11968764551459128,0.11759153653648537,0.15412760813515763,0.12370981269374579,0.1373175868585831,0.13304410032092434,0.14977118291499097,0.13134488575371875,0.1260012057531651,0.12298598531795214,0.11750821018062398,0.1683233063039498,0.12344370860927152,0.13651627974886846
effectiveTaxRate,0.1887925283522348,0.19215210355987056,-0.14342629482071714,-0.4315068493150685,0.27216748768472904,0.28036322360953464,0.27184466019417475,0.2759103641456583,0.25618374558303886,0.056818181818181816,0.24750499001996007,0.25773195876288657,0.20555555555555555,0.2827181208053691,0.3002257336343115,0.26852976913730253,0.27,0.22083333333333333,0.14695340501792115,0.12669683257918551,-0.08927519693734816,0.20788747811538905,0.2134109610005633,0.24124148733142572,0.2077076421370932,-0.22981286502161336,-0.19291054354103832,,,,,,0.1598173515981735,0.09259259259259259,0.11542100283822138
returnOnAssets,0.044150751579406,0.07859729219143577,0.013084112149532711,0.047841413725220897,0.028990483665260473,0.03356628547225752,0.027995520716685332,0.029271883138942363,0.025441140923374427,0.01059484299208578,0.02497515733686651,0.029916897506925208,0.03208916149300621,0.05139147682875518,0.054000696783184296,0.037617946635005936,0.036257527782951514,0.024115029982590755,0.016928657799274487,0.013826205315567018,0.008908270440836146,0.022382883133832104,0.02178928738845784,0.03153498342273731,0.03175921586416548,0.03721376825946287,0.04250488828393933,0.046933055211524674,0.042523086088769736,0.04257857974388824,0.049814643188137164,0.044866771159874606,0.06053621825023518,0.052008928571428574,0.060206052801030266
