,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1987
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,0.862140502444015,0.8172826810235315,0.8778670073614406,1.275926444506674,0.8299375053505693,1.1701249636733508,1.4123756120676039,1.1079995166455199,1.601438304314913,1.2878565127903558,1.4467415730337079,1.8339604891815615,1.9449901768172888,2.118879786626024,1.6658449739797316,1.8672137262215591,1.615514333895447,1.8936793637505231,1.713477537437604,1.5934788325006575,1.4917690702527244,1.061562860438293,1.0870832574239389,1.0501299665800223,1.082284722496154,1.0430861723446894,1.0718136311128226,1.296343001261034,1.082053439932674,1.0501100032766932,1.0710312890500575,1.0625091745363802,1.1281550126368998,1.379951495553759
quickRatio,0.2701773331817665,0.26407960800919483,0.4301575713329683,0.4985998319798376,0.29851896241760123,0.47358326068003487,0.5718685831622177,0.3492236118663525,0.6305828917486752,0.4322258159364893,0.46202247191011236,0.8565380997177798,0.8855599214145383,0.6506636184670096,0.2826622843056697,0.7228646027601641,0.5102866779089376,0.6278777731268314,0.6632279534109817,0.4220352353405206,0.35984233712033387,0.25994809688581316,0.3215521952996903,0.3158187894541404,0.3216441166028953,0.29539078156312626,0.29688101655756644,0.403530895334174,0.36945087313275826,0.3928287225576932,0.4031068532085365,0.47575475852620247,0.47868576242628474,0.6459175424413904
cashRatio,0.02367284301466409,0.02395499364829714,0.16830930218409684,0.11042658452347615,0.05478982963787347,0.14612031386224936,0.31515558363607643,0.055313878315509636,0.06926570779712339,0.05410173478388709,0.04629213483146068,0.45719661335841955,0.4680746561886051,0.15444211595859528,0.038619556285949055,0.2741514360313316,0.11197301854974705,0.08706571787358727,0.20266222961730448,0.16539574020510123,0.03663343380477626,0.028546712802768166,0.02878484241209692,0.011696992202005199,0.01877637962999487,0.02124248496993988,0.02194840200231036,0.015132408575031526,0.03492531033031769,0.06015072789402238,0.08693308504643128,0.17509908499290502,0.040606571187868576,0.1576394502829426
daysOfSalesOutstanding,27.44484608916513,25.908026142855867,28.422347662469242,31.826144846095783,26.18079437662976,26.273620462763038,27.387322399325953,22.42922740708926,28.711107346546953,30.300819830869536,25.456156224082033,25.187759083150453,25.68507326765461,22.402522935779817,28.02128209546786,36.50606917193216,37.22817169012868,32.37317223862154,34.78584217049993,17.956550229346238,18.415128483532392,21.542435831433405,22.970628549050325,24.309587704318126,23.510161280174493,20.803266394467126,20.99830795262267,23.314944626488032,24.683140523987753,24.10932613352789,22.19689900560818,22.99694432623932,30.610533378061053,24.109798775153106
daysOfInventoryOutstanding,81.40535350864081,79.05939666479296,62.986361587015324,83.40537357700528,64.69505745684015,62.35744852053693,63.48743476515455,64.15238064820063,59.39571357604145,73.23862207694242,65.40341126868532,70.08466453674122,65.07155535833148,74.73373708369563,79.32283464566929,96.4437570303712,89.04780967631248,83.38939367464617,83.35383118032208,74.6363011988012,66.75978247015337,79.39752059025395,62.311454717576524,64.63319712006228,65.22240706833502,59.69058800508757,61.164290404277274,55.63360284916739,51.46978290631723,48.482742847185165,48.47214374821685,44.19455201601784,43.87376156420182,39.79305993690851
operatingCycle,108.85019959780594,104.96742280764883,91.40870924948456,115.23151842310106,90.87585183346991,88.63106898329997,90.87475716448051,86.58160805528989,88.10682092258841,103.53944190781195,90.85956749276735,95.27242361989167,90.75662862598608,97.13626001947544,107.34411674113716,132.94982620230337,126.27598136644116,115.76256591326771,118.13967335082201,92.59285142814744,85.17491095368575,100.93995642168736,85.28208326662684,88.9427848243804,88.73256834850952,80.49385439955469,82.16259835689995,78.94854747565542,76.15292343030498,72.59206898071305,70.66904275382504,67.19149634225715,74.48429494226288,63.902858712061615
daysOfPayablesOutstanding,78.25355578296214,75.4985322590719,69.73800220418795,66.61498088134805,59.2378229146125,51.60409275447131,41.42039341629867,39.58667028641238,38.647363565396354,45.95004609839913,41.62035262552702,42.136315228966986,37.212669181273576,30.401290113845473,32.2710911136108,45.49156355455568,36.278737275534716,26.085095229774595,30.389754025836137,29.10246003996004,33.57373497047202,35.8549245024022,33.648514628318985,36.16973146526562,36.32209209732148,33.83597495352706,31.7889972798049,27.667484839734335,58.85830236651672,29.011729853948616,53.856576245965186,51.71274593259558,36.987220144493286,45.78044164037855
cashConversionCycle,30.5966438148438,29.468890548576937,21.67070704529661,48.61653754175302,31.638028918857408,37.02697622882866,49.45436374818184,46.99493776887751,49.45945735719206,57.58939580941282,49.239214867240335,53.13610839092468,53.543959444712506,66.73496990562997,75.07302562752636,87.45826264774769,89.99724409090643,89.67747068349311,87.74991932498587,63.490391388187405,51.601175983213736,65.08503191928516,51.63356863830786,52.773053359114776,52.41047625118804,46.657879446027636,50.373601077095046,51.28106263592108,17.294621063788263,43.580339126764436,16.812466507859853,15.478750409661572,37.49707479776959,18.122417071683067
grossProfitMargin,0.2460839639733354,0.28424544243475464,0.27768128528006947,0.2789042187368951,0.2973180655807919,0.30135813668246686,0.2812294410267656,0.20897021298097573,0.20430289683211927,0.22981085791750047,0.21314936288924075,0.23677151914167277,0.25374617104064906,0.22312115118763354,0.23401688781664656,0.26089125374127037,0.24492615942654805,0.21425139012837235,0.2217325437267594,0.19270124502243058,0.14813608396670286,0.14275207766419062,0.13127080477775602,0.1641863869236399,0.17299972735471153,0.14832097325222898,0.1410039481105471,0.13816417105645196,0.1301463082681184,0.14664646755672867,0.15756161930345444,0.1447497269888796,0.11510721750574149,0.1332020997375328
operatingProfitMargin,0.1166792361237528,0.15880622636279917,0.1309071500940802,0.12366853979703095,0.1301916027361022,0.11818216663046673,0.10173012776860839,-0.010333240696293676,0.0539499689423457,0.09195016461171003,0.06251979190228456,0.1139884580996505,0.1030880039738389,0.08999937162247078,0.08181113217301396,0.10231958762886598,0.07536056654287936,0.08699800919887417,0.09521415782950007,0.07633953324260295,0.060430691277596815,0.05616680150033095,0.04870178186802428,0.058538667967797026,0.055384744447473835,0.053949670860761606,0.049202320522117475,0.045651001700609734,0.0412129976182375,0.04016896617423591,0.04183514774494557,0.0404825503596569,0.032468454055169925,0.029965004374453194
pretaxProfitMargin,0.0895812203642542,0.1260918933900775,0.08773881893182806,0.08631426654365512,0.11019991685877328,0.093204206007487,0.012557565125056267,-0.03129658169323665,0.056129651589587215,0.07417209992899103,0.047123576867978585,0.09956921076160286,0.08982531666528686,0.0772590172175443,0.05996898156126142,0.08729630861323578,0.07824509888591416,0.07777854053682982,0.07939677730340174,0.06431775795150965,0.04589214621787912,0.04059719055674046,0.024202075582533778,0.02773034073351224,0.04283047754870913,0.042413132238980085,0.01647731850777536,0.03426106433282177,0.030622660768969037,0.02934137580103257,0.02769687544182101,0.026414146333960532,0.023024023946533172,0.029965004374453194
netProfitMargin,0.07699442609592663,0.11612291791465126,0.07599688811694891,0.07111255556487461,0.10183540556542332,0.08167984770471068,-0.07813852564028578,-0.015954624693666153,0.04071376136427805,0.049964495513523985,0.035286134358742366,0.06640656750386084,0.06010431327096614,0.0768505718235516,0.08021712907117008,0.0636015962753575,0.04611797219103549,0.04407221802704744,0.05584630216223661,0.03906446897525077,0.028338762214983715,0.023497830403765536,0.014959859017035441,0.014556395868911116,0.02572093706088379,0.025622864761269893,0.007614213197969543,0.020573229914139946,0.018586253827832595,0.012560934239814862,0.017550308685611953,0.01595512876383641,0.014947229891879339,0.016294838145231846
effectiveTaxRate,0.2811108960712212,0.13741757072963198,0.20754716981132076,0.26575974735819263,0.19958847736625515,0.3491432488005483,2.0716911764705883,-0.4722502522704339,0.3,0.3483028720626632,0.312,0.3436734693877551,0.3336405529953917,0.3428222854819032,0.3261494252873563,0.3476190476190476,0.34105960264900664,0.4148278905560459,0.30789245446660884,0.34169278996865204,0.38091482649842273,0.3822463768115942,0.3802588996763754,0.4750733137829912,0.38497698560376065,0.39587426326129665,0.5378973105134475,0.39951573849878935,0.39305555555555555,0.3799493189737092,0.3663433724689467,0.39596273291925466,0.3507985430092463,0.4562043795620438
