,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,0.589393480853791,0.7009978034303874,0.819824080204294,0.7946626808492113,0.7983079788885439,0.9724409932546167,0.7586404618791521,0.7527187552283754,0.8590740840083686,0.6628375482211745,0.7143171736873565,0.7477755406897447,0.5876410120467733,0.6629614493938155,0.5333648616694254,0.6285583337577023,0.6312188132997382,0.5765205759697852,0.4510932713636844,0.979523141654979,0.9595450521010692,0.5253048271254385,0.7647659518397734,0.6177186351162429,0.7546300931024127,0.6888412017167382,0.6721649484536083,0.7277006447529766,0.6729791168991293
quickRatio,0.27000516262261226,0.45263354675889145,0.472193322614206,0.5045058118442629,0.49171064886681154,0.8234528007470296,0.44649636191078773,0.4528400535385645,0.6204066305455715,0.46455207886840977,0.551326013779218,0.5452685588101578,0.443197549409443,0.511646914589293,0.4218254906597304,0.46226511177878493,0.45975989328590483,0.4160437485246676,0.3347945494876941,0.7967741935483871,0.8245590138255124,0.42087021880741604,0.670520802450835,0.5112100657588153,0.6262889178095905,0.5592079594225517,0.5721649484536082,0.5694197223211107,0.49495260846112354
cashRatio,0.065885745820946,0.24733607515072206,0.1535357356789306,0.17602414708827327,0.08078236572493015,0.6204523952868324,0.11444163239481177,0.10709804249623557,0.23075478783327075,0.09541363051864551,0.15314436719413596,0.1034292394622329,0.042325704692056196,0.10358261817191118,0.042374083707732324,0.050160411468146864,0.05973025048169557,0.0481548508930679,0.04013943171015105,0.3370266479663394,0.2429340053122659,0.02935526975112744,0.02118127614718187,0.025630404390824833,0.046050655721293424,0.038821693328131096,0.0415807560137457,0.09689094576955025,0.07023965477383062
daysOfSalesOutstanding,34.661713916565205,37.97976478112564,42.95805193292967,45.59856065079777,56.58530300545808,37.56263002503955,37.425726252549055,41.104488389043674,40.03378709974556,36.621334037529515,36.25253072178539,39.189334217150794,39.97143546829739,44.440407094896685,47.22445738059148,49.67312155253599,93.7405439695504,77.81485112397975,49.0401353372398,55.21068481747178,72.2587973480458,74.54561296506056,139.77154402051443,69.1662793752147,73.43885742085693,73.64318474412617,67.62663692617643,68.83020118866271,69.25842406506864
daysOfInventoryOutstanding,22.41769587791064,15.842720563359103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.239419588875455,12.52502693186894,13.813285649470227
operatingCycle,57.07940979447584,53.82248534448474,42.95805193292967,45.59856065079777,56.58530300545808,37.56263002503955,37.425726252549055,41.104488389043674,40.03378709974556,36.621334037529515,36.25253072178539,39.189334217150794,39.97143546829739,44.440407094896685,47.22445738059148,49.67312155253599,93.7405439695504,77.81485112397975,49.0401353372398,55.21068481747178,72.2587973480458,74.54561296506056,139.77154402051443,69.1662793752147,73.43885742085693,73.64318474412617,77.86605651505188,81.35522812053165,83.07170971453887
daysOfPayablesOutstanding,306.10958149779736,140.66360093726115,145.39714714714714,128.57703141155918,124.1714199372946,115.27979167474379,104.57123718849175,114.58036273603197,90.23378594644535,81.99450101041505,79.82866974554017,54.666660856834106,51.93932610068309,54.4114671163575,50.629622206633925,55.94473998480078,92.34103623532852,84.94476289734237,47.055456480469424,68.12105926860025,47.94521340170413,55.70038160582816,88.72615781829919,60.14077305883155,62.56581309082206,109.56155143338955,98.68681983071343,98.65616542736278,97.57946569163842
cashConversionCycle,-249.0301717033215,-86.84111559277642,-102.43909521421747,-82.97847076076141,-67.58611693183653,-77.71716164970424,-67.1455109359427,-73.47587434698829,-50.19999884669979,-45.373166972885535,-43.57613902375478,-15.477326639683312,-11.967890632385696,-9.971060021460815,-3.4051648260424443,-6.271618432264795,1.399507734221885,-7.129911773362622,1.9846788567703797,-12.910374451128469,24.313583946341673,18.845231359232393,51.04538620221524,9.02550631638315,10.873044330034872,-35.91836668926338,-20.82076331566155,-17.30093730683113,-14.50775597709955
grossProfitMargin,0.5788671619416769,0.5273889046806898,0.5346995808104331,0.5356277560391406,0.5348977488345944,0.5180259863216773,0.530582589476512,0.5432864898740472,0.5423754407423347,0.6002858208027837,0.5667168887424079,0.5472487235939806,0.5794737689089153,0.5902632135134696,0.59771180701132,0.6127488900847572,0.566267544207438,0.5624914504582554,0.5738102826881114,0.5922679528927846,0.3987435671565673,0.43489152217478433,0.3980690030305385,0.4071813938450969,0.4191889356082983,0.6182813002896685,0.7024751762843575,0.6996061469490201,0.6775057021130094
