,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,2.9404885654885655,1.8923040825903332,2.3147478186848267,1.198058950395399,2.0069997976937084,1.9095606246172687,1.8771025071405902,2.1823450735621934,2.0932459242646426,2.0864589424442403,2.0607326198555644,1.7179111045914626,1.7113557858376511,1.4924462078437357,1.2252059810802562,1.4989152269987946,1.6233374209980191,1.632186063959486,1.5124690652960213,1.3637507866582756,1.318992773261066,1.268676923076923,1.1761717261526736,1.4054011119936458,1.1750950014615609,1.1771117166212535,1.6372418387741505,1.8843063738618104,1.3135388334844365,1.3540966200672446,1.3194469065768482,1.2581907090464548,1.3936392075078206,1.1320172732880938
quickRatio,1.9443866943866943,1.1079305490380102,1.297084486060864,0.6400670980110232,1.2524782520736395,1.1974510104102878,1.2401618533798795,1.4643780650913953,1.2961269731734668,1.302063319689249,1.2178717480205343,1.1054716150799473,1.157383419689119,0.9187395086220052,0.7366493744278303,0.9177179590196867,1.0336760682954438,1.1032542436462534,1.0040928992956406,0.8657436542899098,0.796973803071364,0.6599384615384616,0.7225962149117237,0.9254964257347101,0.6810874013446361,0.7074931880108992,1.0491339107261826,1.2404927691483663,0.7595950438198852,0.7501327198725889,0.7277078532175146,0.7255093724531377,0.8241223496697949,0.6687230104873535
cashRatio,0.9516632016632016,0.4718442045987799,0.5413917854862736,0.18451953031392285,0.5454986850091038,0.5143141457440293,0.5241986670898128,0.7647793134195274,0.48770809971534546,0.49619914794085707,0.3757069520577743,0.39929587795217836,0.5065486470926885,0.21715244925988098,0.21361000915471468,0.13949377259943752,0.2600698047354023,0.35693519647378785,0.2958309537407196,0.25089154604573105,0.16757000903342367,0.02707692307692308,0.02730852279944113,0.08038125496425735,0.017977199649225374,0.03201634877384196,0.3169553630912725,0.5068737725406177,0.08597763674826231,0.07202265085825518,0.06647757489806772,0.038467807660961695,0.035453597497393116,0.018044417026526836
daysOfSalesOutstanding,70.60536221863717,59.41962409175523,63.54439378339952,64.50957605057643,73.6096281563674,98.68038217783753,68.3948668964658,58.71068924515151,58.8096343287431,61.68806937631395,62.21313351882506,58.572809869133955,61.50203077840295,74.78941504178273,43.51010188823591,66.05236110851568,59.798062047064576,62.47413997883689,66.86349941485521,65.09867614611424,72.51349197725379,66.92213630641972,85.42789464534076,88.96983464525331,89.80017352638143,90.40213807573184,80.01496035505909,74.24678217821781,81.29752685485886,77.44629014396456,71.76479890358969,81.80331791354284,83.76928134324584,87.49630681818182
daysOfInventoryOutstanding,101.17650559390621,96.69813940572062,100.57609821032392,112.1538844621514,92.85759111015872,123.02296980997342,71.39807656544725,66.28383021461042,62.29700404517108,63.675988569987815,64.73342818881821,54.19673127045405,56.50404106596767,63.83863798916931,42.352601933908765,54.160021551724135,53.2478447237875,50.7219928937193,52.83567924307908,52.46300173900699,64.58873002523129,68.51851851851852,74.03906982193064,77.34768388225451,81.5172468605945,79.25109640972275,79.96536695462682,84.05430319282662,83.44263676978842,83.80203599345573,87.5973968084158,96.75955698463737,98.10203564490244,109.76744186046511
operatingCycle,171.7818678125434,156.11776349747586,164.12049199372345,176.66346051272782,166.46721926652612,221.70335198781095,139.79294346191307,124.99451945976193,121.10663837391418,125.36405794630176,126.94656170764327,112.769541139588,118.00607184437061,138.62805303095203,85.86270382214468,120.21238266023983,113.04590677085207,113.19613287255619,119.69917865793428,117.56167788512124,137.10222200248506,135.44065482493824,159.4669644672714,166.31751852750784,171.31742038697593,169.6532344854546,159.9803273096859,158.30108537104445,164.74016362464727,161.2483261374203,159.36219571200547,178.5628748981802,181.8713169881483,197.26374867864695
daysOfPayablesOutstanding,91.35860509402524,88.25141164491345,80.00739535571661,76.18881616391576,52.8340195613243,66.13063831475384,43.820169496028264,34.50695105190824,34.459063711444465,35.20086565533471,38.26267994643455,34.17605675204295,52.66109654871123,57.49859507509962,38.823218439416365,51.414655172413795,49.872609931127485,54.927369631100426,62.83363508935872,63.26649394896547,43.499158957106815,56.157407407407405,81.22276241799437,79.6520118658249,77.25282149101892,73.01085259793355,65.90396139777414,68.69940501131317,78.82744668296384,74.44646427922196,67.78060087367389,77.78581636298678,76.08919672269617,88.13953488372093
cashConversionCycle,80.42326271851816,67.86635185256242,84.11309663800684,100.47464434881206,113.63319970520182,155.5727136730571,95.97277396588481,90.4875684078537,86.64757466246971,90.16319229096705,88.68388176120871,78.59348438754505,65.34497529565938,81.12945795585242,47.039485382728316,68.79772748782602,63.173296839724586,58.268763241455765,56.86554356857556,54.29518393615577,93.60306304537825,79.28324741753083,78.24420204927702,86.66550666168294,94.064598895957,96.64238188752104,94.07636591191175,89.60168035973128,85.91271694168343,86.80186185819834,91.58159483833158,100.77705853519343,105.78212026545212,109.12421379492602
grossProfitMargin,0.35453637550894984,0.351288056206089,0.33705937147619747,0.34659724804760134,0.24011072728753038,0.19316945137955316,0.21838531500477595,0.22432244044446267,0.1840046761909674,0.16618780658724597,0.15838410875920123,0.14930399266483288,0.1470730707605172,0.12762116991643455,0.09554195500226031,0.1329209724739783,0.15466981516163178,0.17342950309888353,0.14733198874530018,0.13652243196861977,0.1386866601470535,0.14936162560690525,0.2579972183588317,0.3054572349305299,0.31771595900439237,0.3279548406434209,0.3592479928190296,0.40925742574257423,0.4072945291031726,0.39080841638981173,0.4087291128564651,0.4046897431807306,0.4012542355737622,0.46494318181818184
