,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.3273110508882866,1.241849634065203,1.2304768486523843,1.3570456092579986,1.1624171341152474,1.1652075684834793,1.0570514529458812,1.113914373088685,1.1120401337792643,1.0250122609122119,1.0444132772323516,0.8349488422186322,0.7841279241930708,1.0791484716157205,1.3678207739307535,1.1987222595830531,1.3188280913399397,1.1561679790026247,1.3288948069241011,1.4122383252818036,1.2020255863539446,1.0306890561667632,0.9641691641691642,1.3534614931006015,1.82136347065257,1.6450208254449072,1.5246205733558178,2.459684123025769,2.2048632218844983,1.8526315789473684,2.6467576791808876,2.9070847851335655,2.622093023255814
quickRatio,1.2640770852152965,1.1759813705921491,1.1876295784381479,1.1763104152484682,1.0331463539010708,1.02569895509743,0.9546787523327113,1.0124872579001019,0.9793756967670011,0.20573810691515448,0.8803179055633473,0.7189014539579968,0.7018063369854901,1.0297489082969433,1.1971486761710795,1.1318090114324142,1.2947005601034036,1.0813648293963254,1.1857523302263648,1.2989801395598497,1.1247334754797442,0.9594672843080486,0.8514152514152514,1.0666352164170303,1.3270142180094786,1.2800075728890572,1.090556492411467,1.8420615128844555,2.025531914893617,1.7992982456140352,2.529579067121729,2.7711962833914052,2.4631782945736433
cashRatio,1.025293586269196,0.9218230206254159,0.9716655148583275,0.9543907420013614,0.8291687914329424,0.7322790172267721,0.7142095441215676,0.777013251783894,0.7198996655518395,0.0,0.6535764375876578,0.6125471190091546,0.5421972164643174,0.7721069868995634,0.7303462321792261,0.47780766644250167,0.4709177078845325,0.3337707786526684,0.43508655126498,0.214170692431562,0.1337953091684435,0.08280254777070063,0.06426906426906427,0.1376341549711051,0.24261757200145825,0.15051117001135933,0.12529510961214166,0.15073427542255471,0.23191489361702128,0.18456140350877193,0.8600682593856656,1.0708478513356563,0.7829457364341085
daysOfSalesOutstanding,68.34592680047226,69.09316154608523,56.67701863354037,55.8376349131863,64.6733111849391,67.29269868619427,68.39011217282925,69.96726123278393,78.06455318171376,71.70100678997893,82.77998597147533,36.1019528277961,48.55769230769231,67.0028328611898,115.53876678876678,217.1726572528883,224.7385290148448,141.02667937112912,130.07946911355072,140.42202847788016,143.7878787878788,136.78465346534654,123.09350567825145,109.61132291269539,101.06516174074936,118.28299837045084,138.4716330858961,165.25441329179648,166.19328703703704,163.04892253931277,151.07530672683683,172.7643064985451,165.68324607329842
daysOfInventoryOutstanding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,41.28464419475656,92.25766871165644,106.49625935162095,117.83464566929133
operatingCycle,68.34592680047226,69.09316154608523,56.67701863354037,55.8376349131863,64.6733111849391,67.29269868619427,68.39011217282925,69.96726123278393,78.06455318171376,71.70100678997893,82.77998597147533,36.1019528277961,48.55769230769231,,,,,,,,,,,,,,,,,204.33356673406934,243.33297543849326,279.260565850166,283.51789174258977
daysOfPayablesOutstanding,51.70833333333333,57.96684118673648,48.20754716981132,60.354330708661415,71.77591463414635,53.205329153605014,53.92690513219284,62.822719449225474,42.29613733905579,72.39669421487604,89.91896272285251,254.1564417177914,551.5257352941176,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
cashConversionCycle,16.637593467138927,11.126320359348746,8.46947146372905,-4.5166957954751155,-7.102603449207251,14.087369532589257,14.463207040636405,7.144541783558452,35.76841584265797,-0.6956874248971019,-7.138976751377186,-218.0544888899953,-502.96804298642525,,,,,,,,,,,,,,,,,204.33356673406934,243.33297543849326,279.260565850166,283.51789174258977
grossProfitMargin,0.8583234946871311,0.8580277502477701,0.8551552795031055,0.851008916001877,0.8547065337763012,0.8625888434202025,0.8664312422102202,0.8688191465342063,0.839421088904204,0.8583469913369234,0.8557400046761748,0.9173218361653563,0.928345626975764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8704135119394293,0.8850655760823579,0.8703524086647269,0.8670157068062827
