,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,1.2477843426883308,1.154377450065335,1.1843478260869564,1.422974006116208,1.4763467850936474,1.350451567203825,1.3358938547486034,1.5677384393063585,1.517289556409361,1.55192118226601,1.401405077438927,1.3620927936821323,1.5451279748540638,1.314865392118611,1.1798507462686567,1.167164648529643,1.336627140974967,1.7461055568472448,1.9191346896729333,1.9866703693418495,1.9601507808292946,1.786814540973506,1.8721441124780316,1.9465449804432855,2.0241830065359476,1.7872636262513903,2.052937378954164,1.9138643067846608,2.4792120893165928,2.9157134256472004
quickRatio,0.37093796159527326,0.36494306514840397,0.1902608695652174,0.2985474006116208,0.3510330179571346,0.3221179387285284,0.29102653631284914,0.4822976878612717,0.4734544184421935,0.4348768472906404,0.5101389110649849,0.36643632773938795,0.4589133363268972,0.3404213811939134,0.1951492537313433,0.2717408397546784,0.36495388669301715,0.9965124389676819,1.065670873036312,1.016662038322688,0.8117932148626817,0.902444033682481,0.9953866432337434,0.8200782268578879,0.9091503267973856,0.8295328142380423,0.973208521626856,0.9115781710914455,1.4895872490790165,1.8154296035090738
cashRatio,0.31610044313146235,0.3134216912450999,0.1191304347826087,0.2220948012232416,0.2809422668468816,0.2296794758278732,0.19361033519553073,0.4057080924855491,0.3969612294795669,0.36177339901477834,0.45138112725530893,0.28904244817374136,0.37853614728334084,0.25477955520873974,0.10876865671641792,0.1904387482308539,0.03267457180500659,0.20181353173680538,0.2382178727787793,0.19883365731741184,0.17124394184168013,0.06613267611419182,0.04789103690685413,0.1000651890482399,0.046405228758169936,0.0414349276974416,0.055842479018721754,0.07614306784660767,0.16720547327268626,0.4876580373269115
daysOfSalesOutstanding,4.286137909220307,5.566668508592584,5.893371757925072,5.672326042192782,5.167310167310167,7.3911862828768715,7.521326489161342,5.5064935064935066,5.723747807096058,4.8911001950444275,5.086915356939973,5.722513298404191,5.563029503171697,6.437208741764422,6.422490784023107,6.996848350018539,41.1134435015632,79.81893793985924,76.8307783018868,69.64204729510853,55.481119417289634,80.74536860976802,88.86006999322646,50.92433524916314,61.50114883839674,67.92369820736752,68.9301614725231,99.44570040524778,88.80384264254295,79.5896834701055
daysOfInventoryOutstanding,106.96676918962291,112.12029952791795,124.81840353305648,126.25665461715411,124.49575126803241,126.15293515139876,121.82892822502424,119.39393939393939,121.27384155455904,117.14959487241505,118.67486338797815,117.15259039395573,120.55213626279253,115.97608101805584,117.80952988454423,121.15019664148824,150.13072634116938,122.49112616973217,128.96746895263217,132.472717450027,129.28758787115726,127.97829286239882,125.44144402949344,123.70372296173045,136.46304759781518,127.54763698998816,121.23578021034557,180.83628189651583,104.68339365087076,105.82393317687436
operatingCycle,111.25290709884321,117.68696803651054,130.71177529098156,131.9289806593469,129.66306143534257,133.54412143427564,129.35025471418558,124.9004329004329,126.9975893616551,122.04069506745948,123.76177874491812,122.87510369235993,126.11516576596422,122.41328975982026,124.23202066856734,128.1470449915068,191.24416984273256,202.3100641095914,205.79824725451897,202.11476474513552,184.76870728844688,208.72366147216684,214.3015140227199,174.62805821089358,197.96419643621192,195.4713351973557,190.16594168286866,280.2819823017636,193.4872362934137,185.41361664697985
daysOfPayablesOutstanding,80.04814121422841,84.84779423734332,63.97304066969876,63.28425895497863,55.9004676898755,50.86774214198835,51.77618816682832,54.675324675324674,53.18415545590433,48.6431249244165,52.46092260770111,48.752023745277924,46.914764188077,95.0862815643947,48.68374051157747,55.91547537299457,69.3588004822182,106.27675594277724,104.81866139136169,61.83900594273366,64.22253698457664,62.109087564385575,65.569280857991,61.87084026622296,98.29896332627355,0.0,0.0,165.8932065104275,107.24551261810498,101.62376662376663
cashConversionCycle,31.2047658846148,32.83917379916721,66.7387346212828,68.64472170436827,73.76259374546707,82.6763792922873,77.57406654735726,70.22510822510823,73.81343390575077,73.39757014304298,71.30085613721701,74.123079947082,79.20040157788722,27.327008195425563,75.54828015698988,72.23156961851222,121.88536936051436,96.03330816681415,100.97958586315728,140.27575880240187,120.54617030387024,146.61457390778128,148.7322331647289,112.75721794467063,99.66523310993837,195.4713351973557,190.16594168286866,114.38877579133612,86.24172367530872,83.78985002321322
grossProfitMargin,0.4086667721018504,0.32110294523954247,0.4010895740397142,0.4088736936166906,0.4079404079404079,0.39401815501590504,0.3908194541895934,0.4,0.40120296444810427,0.40265838329841797,0.4039765195985609,0.4071111466624005,0.4051258035676274,0.3970351920295677,0.40421084634971305,0.4060437523173897,0.4072353729343457,0.4051823416506718,0.40389150943396224,0.4003887269193392,0.39102932719954,0.40935513663280276,0.4105328516595168,0.39266089812417104,0.4274317079397498,0.3900453082933876,0.38082264602299154,0.42223932466720376,0.4305059894320414,0.44028870464272096
operatingProfitMargin,0.09291475565396173,-0.24727855445653976,0.03829300067111444,0.06752399083103462,0.07047307047307047,0.05101249127162697,0.0752982015584032,0.099626400996264,0.0958791307149762,0.09611355919959547,0.09130846430600265,0.07575090989081311,0.04525522585039806,-0.17587980073919332,0.07080150495952571,0.06807563959955507,0.10826261723983921,0.08957133717210493,0.08785377358490566,0.08701004211208292,0.07053862373011309,0.02987993698049655,0.09601490178369836,0.09189667150887387,0.08558846055654838,0.07891522752642983,0.06528008505548541,0.07640784521218388,0.07358840291033834,0.0607070721337872
pretaxProfitMargin,0.07377826980863514,-0.2646847543791789,0.028739489163475584,0.055169198492559926,0.059124059124059124,0.03693071611451625,0.06196683777096643,0.08503824942181107,0.08198775554043894,0.0759228490934046,0.07453133876159818,0.05279366476022877,0.02158457150155392,-0.19837698859071187,0.05016531752365751,0.053615127919911014,0.09129075480125055,0.07140115163147792,0.0710167714884696,0.06789763524457403,0.04983707111366686,0.0061389688705383826,0.07597651840144502,0.07345417798269437,0.06114373244830227,0.02895790925208484,0.013422818791946308,0.039839343907454396,0.05087559133538053,0.03276882441842399
netProfitMargin,0.056539617270283095,-0.21793667458694813,0.022265208637637677,0.043047515443490426,0.061074061074061076,0.024012724028241134,0.03958787252114184,0.05429638854296388,0.05320253481794422,0.048219316622119486,0.04756674872183299,0.033875934887813465,0.01490059176635872,-0.19295355937650652,0.03393759738532284,0.03689284390063033,0.06279589102277802,0.04408189379398592,0.04540094339622641,0.052996436669906055,-0.017634655932528272,-0.009996197098929755,0.04487468954617295,0.041811406555927494,0.034209854480469745,0.017466675421892442,0.004983719848494917,0.02255919383349968,0.02673804188452707,0.015960677410697892
effectiveTaxRate,0.23365487674169347,0.17661795407098121,0.22527472527472528,0.2267605633802817,-0.01912928759894459,0.3581932773109244,0.36233611442193087,0.36150627615062764,0.35109170305676857,0.3648905803996194,0.3617886178861789,0.35833333333333334,0.3096646942800789,0.027339003645200487,-0.31136363636363634,-0.31673582295988933,-0.3282778864970646,0.3826164874551971,0.3607011070110701,-0.39122137404580154,-0.33589743589743587,2.6283185840707963,0.40936106983655274,0.411006018916595,0.39979123173277664,0.39909297052154197,0.6287128712871287,0.43374584968306673,0.46492659053833607,0.42801724137931035
returnOnAssets,0.08129619101762366,-0.22274935050265446,0.026638957113168337,0.057726372824841096,0.07996731859265689,0.031182308196060653,0.052099533437014,0.0711057266669773,0.068688176019229,0.0635986851507789,0.056845440144829146,0.04105472347438321,0.01643192488262911,-0.21688868819146534,0.032135017452949007,0.033671742808798644,0.042390255668113844,0.0462882096069869,0.04762886597938144,0.05664427671213905,-0.018346184525392183,-0.010815894662591112,0.0449355640967669,0.04916815210932858,0.039015868394234966,0.01864834548513741,0.005246589716684155,0.015153840561564496,0.026053319675445455,0.0160973247101057
returnOnEquity,0.39491853079259875,-1.54484919702311,0.08844284146150228,0.17215661901802362,0.2760444209413009,0.1431876012028684,0.25223529411764706,0.2837486054295277,0.23779804768763002,0.22062469013386218,0.2116972863644025,0.15316455696202533,0.07445224420336098,-1.0337925096857512,0.09013828606036137,0.08119797617104618,0.10400177527923662,0.1117236906113183,0.11666666666666667,0.14196459562651856,-0.04960460100647016,-0.03160425970456888,0.12133699633699634,0.11595726046593098,0.1019786910197869,0.05697151424287856,0.01754796443612541,0.05154412572810199,0.08484768677025722,0.05445783132530121
returnOnCapitalEmployed,0.19303433546903237,-0.3623775204469998,0.0628971599014395,0.12448073341928091,0.12545126353790614,0.09257955505491411,0.1373248922413793,0.17582417582417584,0.1683429720895147,0.16719024880623273,0.1522865083375442,0.12167544648593087,0.06310103288614508,-0.2572419061049415,0.08306210709349503,0.07916864300806348,0.09476894205958246,0.13227513227513227,0.12571482141183088,0.1238929889298893,0.09744042365401588,0.04529358478135551,0.12945205479452054,0.13995767602924203,0.1255853156021727,0.11265466816647919,0.0877377869072073,0.06572400881285104,0.0873663639498793,0.07338102473920541
