,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
pretaxProfitMargin,0.20755893725832605,0.2973197722765944,0.2887797311271975,0.34727747389358526,0.3247841861628925,0.30481354139116634,0.31856796116504854,0.2858975224464997,0.24695037427224842,0.25562977756352867,0.2336210556105844,0.25511355621385245,0.27367017335901617,-0.3053941908713693,0.14800396916265934,0.2930486142662426,0.46546546546546547,0.3447924253459578,0.3470643939393939,0.31380231522707036,0.2853577371048253,0.3941773606588776,0.452098815023097,0.5467847516365036,0.4806812404677173,0.4441382765531062,0.40430212661940845,0.4204255319148936,0.3985362608117099,0.3146306818181818,0.237165888841748,0.0792300805729633,0.1916969750731837,0.029831507227695425,0,0,0,0,0.22685185185185186,0.24957841483979765
netProfitMargin,0.16047149806660846,0.2404528881212819,0.23377714581178904,0.2760442565887618,0.26685850118854,0.27043110288283523,0.23914509169363538,0.21319111591169917,0.17791793734405323,0.14537566283313821,0.17298712324890336,0.1774580335731415,0.18654615498592383,-0.1499308437067773,0.10831234256926953,0.18527941844616083,0.6458601458601458,0.2288419519300801,0.22727272727272727,0.20605520926090828,0.18760399334442596,0.2572304156291898,0.28700542277565777,0.33480939545629573,0.30299949161159123,0.27655310621242485,0.24932779271571742,0.259290780141844,0.24916833000665337,0.19850852272727273,0.15655494272380144,0.05461056401074306,0.13674265945178746,0.023340392229076513,0,0,0,0,0.16666666666666666,0.15345699831365936
effectiveTaxRate,0.23076923076923078,0.18868330464716007,0.18845120859444942,0.20046536602827994,0.18066255778120185,0.10759219088937093,0.2491005291005291,0.23919716646989375,0.25596407521751335,0.40948275862068967,0.2359176256814052,0.28974288084047556,0.2834325933946941,0.6317934782608695,0.2563176895306859,0.3094573643410853,0.31981566820276497,0.336290663286861,0.3451568894952251,0.34335981838819524,0.3425655976676385,0.34742468415937805,0.36517103509551313,0.38767605633802815,0.36964569011105236,0.377326565143824,0.38331318016928656,0.3832658569500675,0.3747913188647746,0.3690744920993228,0.33989266547406083,0.3107344632768362,0.2866728366496992,0.2175925925925926,0,0,0,0,0.2653061224489796,0.38513513513513514
returnOnAssets,0.006340827486612303,0.008457872639153268,0.007701758607252898,0.01164064711618105,0.01175617915909974,0.011001780728323264,0.010636670874953893,0.008019706435065265,0.0066622891594407515,0.005639710400470199,0.006810774673389231,0.007735207491714474,0.010183653577827299,-0.005107810615199035,0.005974434975917006,0.010315902375844902,0.02912837380284415,0.015390794913494132,0.015233420431825155,0.012522051581761312,0.011629106286421536,0.016575131132366555,0.018531006043001272,0.023262346835036654,0.018770766735429822,0.018411967779056387,0.018291042768761766,0.01701414743112435,0.01532355408253033,0.012273306108110482,0.009020020044488987,0.003094404707553391,0.006792259952103882,0.0010377435729490747,0.004494808812357559,0.004482982874485151,0.007494326138393935,0.007048577301741858,0.007125420597743617,0.00711104165038681
returnOnEquity,0.06316590563165905,0.08734953757494074,0.07897207484552739,0.10705590241785792,0.10497563856489,0.09914911153669002,0.09139161577903172,0.08302442358755949,0.06856120295932266,0.05626182671037552,0.06711317284730038,0.07529101954095221,0.07782654385856463,-0.037408979535493665,0.05058823529411765,0.06934666530626127,0.2597256965410161,0.1590724989874443,0.155005382131324,0.13728049359278596,0.13494913225613406,0.21260091815735319,0.1867485624673288,0.26177931657383713,0.17664493183165383,0.18393868710429856,0.17810371922472498,0.17469418960244648,0.17434823091247673,0.13727897838899802,0.10497866287339971,0.04203997243280496,0.1068371625602107,0.018342981186685963,0.07628939828080229,0.08517298187808896,0.1473884140550807,0.14147665580890337,0.14210526315789473,0.13704819277108435
returnOnCapitalEmployed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15806451612903225,0.19397116644823068
netIncomePerEBT,0.7731370192307693,0.8087349397590361,0.8095344673231871,0.7948809736889207,0.8216486902927581,0.8872017353579176,0.7506878306878307,0.7456906729634002,0.7204602862756104,0.5686961206896551,0.7404603270745003,0.6956040917887752,0.6816459122902003,0.49094202898550726,0.7318205260443528,0.6322480620155039,1.387557603686636,0.663709336713139,0.654843110504775,0.6566401816118048,0.6574344023323615,0.652575315840622,0.6348289649044869,0.6123239436619718,0.6303543098889477,0.622673434856176,0.6166868198307134,0.6167341430499326,0.6252086811352254,0.6309255079006773,0.6601073345259392,0.6892655367231638,0.7133271633503008,0.7824074074074074,0,0,0,0,0.7346938775510204,0.6148648648648649
ebtPerEbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ebitPerRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22685185185185186,0.24957841483979765
debtRatio,0.8993304303038816,0.902368834348098,0.901795657460187,0.89062352558793,0.8873765752756474,0.8877065187568257,0.8813083075188398,0.9010234140890853,0.8995517813253465,0.8970532446367984,0.8957018301345442,0.8948522132654504,0.8659017467513822,0.8633377940289505,0.8819007039644313,0.8512415509774558,0.8878494727677276,0.9032466641848071,0.9017232806863502,0.9087849172592184,0.9138260017533908,0.9220364085158902,0.9007702881448245,0.9111375675531062,0.8937373037494292,0.8999016027084271,0.8973011745718641,0.9026061057334326,0.9121094948750997,0.9105958810872524,0.9140775868390819,0.9263937503170496,0.9364241824723121,0.9434255772064843,0.9410821304971723,0.9473661391719055,0.9491525423728814,0.9501785134696528,0.9497921752325658,0.9481128389466281
