,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,2.299577884456216,3.031395348837209,2.4898550724637682,3.9574889294087003,3.0819339895773017,3.7373895862389586,4.1320384539925445,3.3454722357356315,3.2389683032939716,2.6009227969846633,2.7602874859075537,1.8381321897760534,2.030932342332495,1.8050653105992622,1.3724299563225737,1.7278499278499277,1.0515936996155277,2.653558052434457,2.2190957190957192,2.2040404040404042,2.2884916812179075,1.8565152080144136,1.7880885221783056,1.7402426972443457,1.7017999218578885,1.570117886078281,1.5327457113069851,1.5768948834481749,1.5278432795211319,1.5780788177339902,1.2227784730913642,2.007404795486601,1.8932584269662922,1.8823529411764706,2.2708333333333335
quickRatio,2.1504303923191523,2.826046511627907,2.30601180891036,3.779109143005991,2.952187939449086,3.5745002324500232,3.922961219017723,3.120856209604559,2.9727315102548166,2.4079152586430985,2.499718151071026,1.6373289769246477,1.8640288556126352,1.679329943164822,1.2367103440928944,1.5909090909090908,0.9552275827855636,2.5564138576779025,2.101972101972102,2.063131313131313,2.196173281087591,1.8000233016810303,1.6549770008958047,1.6038479730613706,1.5202485356157904,1.405453330804061,1.2572268031466212,1.4373259052924792,1.3847270088880828,1.3652709359605912,1.0168961201501878,1.9104372355430184,1.8426966292134832,1.8333333333333333,2.2291666666666665
cashRatio,1.2455719251779507,2.165058139534884,1.1011272141706925,1.1263349830685074,0.9009843659525189,1.1710832171083216,1.4201818062912825,1.2349016609910348,1.1352548166563083,0.9718611905380816,1.138881059751973,0.6748349329521476,0.9831675592960979,0.8238109482500748,0.6624054543517631,0.9608946608946609,0.4829467939972715,0.9686329588014981,1.1392496392496392,0.7815656565656566,1.1359711016057472,1.2672985982486553,0.5861677777511527,0.5127199682790797,0.46311010806190395,0.49193107183407975,0.45512273718130986,0.593461369300689,0.5162343551605296,0.3775862068965517,0.2117229870671673,0.15796897038081806,0.25280898876404495,0.4019607843137255,0.7916666666666666
daysOfSalesOutstanding,48.77306751649003,51.861241937135254,47.43355439680049,48.37526047550902,51.27491518235793,53.054903231030856,53.64333176372102,58.047158719790986,59.383674018289405,62.70318687535357,67.91364886867666,76.00764354958986,69.54025460175468,94.36625055728935,93.07540564569904,86.80806675938804,89.71099245698788,83.88243402914533,85.55831134564644,87.88224956063269,91.21622135548846,100.5328812232185,102.50455521151996,105.50782447487117,109.73361444502929,104.05399569057371,104.1152381273383,104.98925590924992,116.29092360926272,124.19601187950785,137.06586243798034,186.86135146271118,177.70577933450087,179.91134751773052,192.25190839694656
daysOfInventoryOutstanding,0.0,0.0,0.0,0.0,14.66059713482394,10.346302981682044,15.216409984067976,9.533582089552239,12.315478700970056,7.3390175617205395,13.169206954036676,16.400936849410133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
operatingCycle,48.77306751649003,51.861241937135254,47.43355439680049,48.37526047550902,65.93551231718187,63.4012062127129,68.859741747789,67.58074080934323,71.69915271925946,70.04220443707412,81.08285582271334,92.40858039899999,69.54025460175468,94.36625055728935,93.07540564569904,86.80806675938804,89.71099245698788,83.88243402914533,85.55831134564644,87.88224956063269,91.21622135548846,100.5328812232185,102.50455521151996,105.50782447487117,109.73361444502929,104.05399569057371,104.1152381273383,104.98925590924992,116.29092360926272,124.19601187950785,137.06586243798034,186.86135146271118,177.70577933450087,179.91134751773052,192.25190839694656
daysOfPayablesOutstanding,34.61807765754297,29.290123456790127,26.479049405878676,23.89370127459473,29.2723256125318,24.596871239470516,39.058682952735,23.758291873963515,21.500773232110223,20.344871468567067,30.467373184091453,49.07616238723109,20.63308302044222,28.065649467978318,27.43378668575519,30.238021638330757,31.667295360241418,30.088476478204573,35.53373185311699,34.588528678304236,35.260897555113665,35.65991227721406,33.81757016958711,38.480603727909,43.655946018809836,56.579324332831824,72.16730038022814,88.61378611251902,109.27515400410678,106.21872103799815,92.69545222278998,203.68443680137574,187.92079207920793,171.76470588235293,211.3157894736842
cashConversionCycle,14.154989858947062,22.571118480345127,20.954504990921812,24.481559200914294,36.66318670465007,38.80433497324238,29.801058795054004,43.82244893537971,50.19837948714924,49.697332968507055,50.615482638621884,43.332418011768894,48.90717158131246,66.30060108931103,65.64161895994384,56.570045121057284,58.04369709674646,53.79395755094076,50.024579492529455,53.29372088232845,55.95532380037479,64.87296894600443,68.68698504193284,67.02722074696217,66.07766842621945,47.47467135774189,31.94793774711016,16.375469796730897,7.015769605155938,17.9772908415097,44.37041021519036,-16.823085338664555,-10.215012744707053,8.146641635377591,-19.06388107673763
grossProfitMargin,0.805948763556412,0.7968158083341865,0.7976256771123373,0.7971178228013357,0.8020303223070399,0.7981213053688557,0.8029613352168681,0.8109470934030045,0.8086874663797741,0.7883138924059158,0.7642468137667734,0.7850857568978374,0.7938241871666953,0.7779313419527418,0.7671149144254279,0.7750347705146036,0.7753199423679973,0.7718589996061441,0.7528232189973615,0.7512664116613254,0.7425299769643134,0.7095121601622408,0.6528763424902789,0.6817399710464894,0.7272388542830684,0.7404842185021192,0.7872526879908321,0.8028084553495577,0.8379691243013042,0.8168858718710225,0.8096118299445472,0.8802018953440461,0.8231173380035026,0.8191489361702128,0.8625954198473282
