,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,0.6346463172857517,0.696181857775412,0.6836147633985183,0.5907211694487167,0.5616665985644043,0.7618743903354093,0.7851317127644725,0.7741559477311303,0.8100857379920715,0.8120478286329549,0.9605016652789342,1.0663533012680366,0.9232973388872675,0.9802828618968386,0.7454234705434178,0.5224978614200171,0.5174323884001303,0.7301625239005736,1.1661225970257527,0.923054587688734,0.5980511571254568,0.6373924852874604,0.4705417160933175,0.6488235294117647,0.7171157442681998,0.7819025522041764,0.834731543624161,0.7346437346437347,0.6162663755458515,0.6908274534958306,0.7542465553692498,0.85062893081761,0.7757885763000852,0.8102119460500964,0.8278757346767422,0.938136511375948,1.0504527813712807,1.21759697256386,1.2139737991266375
quickRatio,0.34666267659197747,0.44524425947881635,0.46034839484749385,0.3417617925526661,0.31301161824595813,0.44925714714489384,0.46431491415239196,0.39888754831189543,0.46798193048769243,0.4587355257938382,0.5068952955870109,0.4869643637953651,0.5133055636624128,0.4723239046034387,0.4207318328768816,0.26278870829769035,0.2807103290974259,0.38408221797323133,0.6387377584330794,0.4886759581881533,0.34539759874717246,0.32956088727931193,0.20838275998418349,0.2911764705882353,0.2781048694327076,0.33410672853828305,0.3011744966442953,0.2375102375102375,0.16921397379912664,0.2482360487491982,0.21316614420062696,0.2720125786163522,0.2813299232736573,0.25626204238921,0.20570948782535683,0.4511375947995666,0.5304010349288486,0.3330179754020814,0.5388646288209606
cashRatio,0.07099839150114091,0.1820997362626727,0.2239604885536942,0.06349564702064314,0.054345605361010095,0.14371201320627297,0.15229226075338506,0.06834216069201039,0.1599151839218217,0.14004797975027863,0.12260616153205663,0.16932662877131613,0.1786102783157783,0.2079312257348863,0.13611185470419868,0.07134302822925577,0.10540892798957315,0.13695028680688337,0.2723975335509612,0.20412311265969801,0.1696537323821124,0.028972385694884563,0.010280743376828785,0.002352941176470588,0.004433053958578652,0.010054137664346482,0.01761744966442953,0.010647010647010647,0.0,0.06414368184733804,0.00036451119049354816,0.031446540880503145,0.0008525149190110827,0.010597302504816955,0.012594458438287154,0.19469122426868907,0.24579560155239327,0.06338694418164617,0.05764192139737991
daysOfSalesOutstanding,37.68612316246157,36.5483257019915,36.67062848195341,42.68057894362356,44.03773093441081,38.06143484551659,34.481196152894086,33.4643199491784,34.05112341984187,34.645439150224206,32.361131955408545,28.510335882582226,31.000270334200657,23.686875906148536,36.598655151954645,32.82711782671596,33.74054982817869,33.56545713269299,33.30171635049684,34.04721111745669,46.37690275506353,34.242762479336506,27.292468881525924,28.692303997694566,23.903779214321233,27.264542812828694,22.778803545051698,20.113593411184276,13.285350303514189,12.87770757013252,13.698410861683254,15.613990941117263,14.66045314268877,16.559619969398288,16.21031899281687,16.648777291734916,17.50752191165569,24.27654609101517,48.83802816901409
daysOfInventoryOutstanding,54.13280542627039,56.89695770933408,45.282515852375035,51.23550646357712,58.121672856325574,53.84984089101034,48.073386375493776,48.148590458090425,49.3232984973743,49.7002255466864,50.85761127652357,65.80197609418934,54.97764179807013,51.97635813825625,56.831277126550695,53.86675047140164,55.27921332184898,55.385572139303484,58.929981773997575,64.64724177443117,80.77931613173904,66.67429255244262,74.94173899067825,64.95852957112491,59.532289791989285,57.060642501288434,64.49799196787149,67.11814137419674,39.953344399084834,37.2847635889799,43.128637951105944,48.4430832057172,41.264239189693264,43.357518941826115,54.34370391179156,50.04904728299224,49.968797535005265,55.74545454545455,99.31360460337034
operatingCycle,91.81892858873195,93.44528341132559,81.95314433432844,93.91608540720068,102.15940379073638,91.91127573652693,82.55458252838787,81.61291040726883,83.37442191721618,84.3456646969106,83.21874323193211,94.31231197677157,85.97791213227079,75.66323404440479,93.42993227850533,86.6938682981176,89.01976315002767,88.95102927199648,92.23169812449441,98.69445289188786,127.15621888680258,100.91705503177913,102.23420787220417,93.65083356881948,83.43606900631052,84.32518531411714,87.27679551292319,87.23173478538101,53.23869470259902,50.16247115911242,56.8270488127892,64.05707414683447,55.92469233238204,59.9171389112244,70.55402290460843,66.69782457472715,67.47631944666095,80.02200063646973,148.15163277238443
daysOfPayablesOutstanding,115.4464044604705,114.18458390060538,103.10876164464587,93.7800673364301,97.1950663731831,76.94182577565633,69.59198218677797,52.62004434513873,50.9648780741434,45.76729925463869,39.51197565296046,40.688216250126025,34.749632966860545,31.005202055446297,38.97275098823235,35.69704588309239,60.309359747344246,60.6731050629207,63.47585054678008,77.8515305287281,93.18334382211034,79.52097705194988,94.15380906460945,98.42662443212605,90.60457037626084,94.05600412300292,96.25836680053548,89.13000494315374,53.216544793862994,52.402503723008195,55.99109914629415,56.77843153058757,54.25095406157642,51.208745344805436,59.085961092773374,0.0,54.38199617769804,53.23838383838384,71.70982326346075
cashConversionCycle,-23.627475871738554,-20.739300489279785,-21.155617310317425,0.13601807077058936,4.964337417553281,14.969449960870605,12.9626003416099,28.992866062130098,32.40954384307278,38.57836544227192,43.70676757897165,53.62409572664554,51.22827916541024,44.65803198895849,54.457181290272985,50.9968224150252,28.710403402683426,28.277924209075778,28.755847577714334,20.842922363159758,33.97287506469223,21.396077979829244,8.080398807594719,-4.775790863306568,-7.16850136995032,-9.730818808885786,-8.981571287612297,-1.8982701577727283,0.022149908736025736,-2.240032563895774,0.8359496664950541,7.2786426162468985,1.6737382708056145,8.708393566418962,11.468061811835057,66.69782457472715,13.09432326896291,26.783616798085887,76.44180950892368
grossProfitMargin,0.33708563245019163,0.35572902300435816,0.3477641745997527,0.34134193487180703,0.34481334654773704,0.35620174394038334,0.3519570611781611,0.33744179055376256,0.35566400142940097,0.36141914358532923,0.3628728711302145,0.40009542882488136,0.39695874024262495,0.3562312388964898,0.35700002197464126,0.3606333386915287,0.40154639175257734,0.39220917822838847,0.4052393857271906,0.4185227489053874,0.4003019247704114,0.5985701569718976,0.6285484015402525,0.6158723043178944,0.6039615448367313,0.5849036421656891,0.5862259970457903,0.5975490878707701,0.4765466308163768,0.4716888353453151,0.46987580035485615,0.47965945311189395,0.45953196966642373,0.4458242892217913,0.4501042712597513,0.45387624535101073,0.44100204944839316,0.4224037339556593,0.40917921321029627
operatingProfitMargin,0.18300619182005812,0.17348706349644177,0.16758195000737522,0.14917700353390415,0.1594178038677543,0.1643042804645386,0.1634597388170089,0.11782556167507076,0.16512931612096307,0.16044694246122165,0.15382491190366132,0.18645582720662357,0.176129490082114,0.1581139858283474,0.16318368602632563,0.165407490757113,0.1689003436426117,0.16969050160085378,0.18220415537488707,0.17732724157624213,0.16014593030569882,0.16520903683399973,0.16401002955135668,0.16293367061046093,0.15750041438753523,0.1531207102490507,0.1587887740029542,0.13706805657787416,0.11734316476652303,0.11280210459026872,0.11606109696829438,0.11557065369345189,0.10004187150101577,0.09696473686083336,0.0927821116861049,0.09003141078758214,0.07933981598569746,0.05974329054842474,0.09130645944633317
pretaxProfitMargin,0.1689903542395013,0.15763226126772217,0.14751568651923797,0.12344946991437991,0.13567634875860843,0.14541159297814313,0.14511776177164903,0.09993590579854002,0.1482445169071336,0.14261762902200392,0.13269980009484988,0.16318329054717007,0.14898793633629576,0.13156766249412918,0.13229466528958914,0.13108824947757594,0.13462199312714776,0.16141942369263607,0.13631436314363143,0.13106796116504854,0.08806139136998364,0.14104864574649956,0.1418315871168025,0.13424376811130145,0.11001160285098624,0.12545237373647336,0.13954948301329395,0.08049018242584598,0.08844767462339584,0.10375433334152878,0.10857826120496798,0.10702902197617849,0.09501729137912318,0.09207202078069956,0.08550243299606086,0.08347946736554063,0.07055335106614921,0.04574095682613769,0.08669256920835357
netProfitMargin,0.14254349016469398,0.1290781706846141,0.12374479479877004,0.10392405663733606,0.13538410713831922,0.10611531517689086,0.1024808157893148,0.06927278605582435,0.10186715504533882,0.10437659290765777,0.09408749001975039,0.12085187027056088,0.10343662352583381,0.0887872414286006,0.09483522681492225,0.09194663237421637,0.0936426116838488,0.11028103877623621,0.09530261969286359,0.08728345707214925,0.057617310353503585,0.09397120533506648,0.09169875526103699,0.08557339780022734,0.06991546494281452,0.07940384718235786,0.0879615952732644,0.07308970099667775,0.055172656717819867,0.06221572050254469,0.0637198179433773,0.0660823128110496,0.059147372175612174,0.08616517809486532,0.05466517339924307,0.04278033646156514,0.0400078489512929,-0.017036172695449242,0.0565808644973288
effectiveTaxRate,0.18267073778664009,0.220165185133338,0.18479347742481347,0.17665706051873198,0.02683086720359618,0.28846915863162065,0.31419537360625727,0.33304954878256426,0.3326930320150659,0.29239812221389405,0.321013345396969,0.2969689481920764,0.3498298933998639,0.3727042268094573,0.34449919716516253,0.34334763948497854,0.3452456924058711,0.36584022038567493,0.3499005964214712,0.33405954974582425,0.3414285714285714,0.3504958429329861,0.353467326107545,0.3625521765056649,0.36447189995479884,0.3670598266306665,0.3696745170680074,0.35813148788927335,0.37647683525819725,0.40035545023696684,0.40130254588513914,0.3936781609195402,0.3900767096458299,0.39072463768115945,0.4006323396567299,0.48753462603878117,0.43294190358467244,0.413265306122449,0.43137254901960786
returnOnAssets,0.08707916668006857,0.07348179599835437,0.0708027799147588,0.058207577247004434,0.06958594566353186,0.07598819031202149,0.07817688591259332,0.05560335996721983,0.07882241625874352,0.08187836525730427,0.07429088771756855,0.09629708961417976,0.08657212835640227,0.07297424306845392,0.06799323586253256,0.06291245050593929,0.05986708408853737,0.06863721908557512,0.0571877710320902,0.050309979700444395,0.02769044740024184,0.13064230995875073,0.13432444250109313,0.12907510263221444,0.10923499248977055,0.1141465914915428,0.1445827010622155,0.10941036331149494,0.09040015390534821,0.10881530853579875,0.1151219512195122,0.12114300358790364,0.11592705167173252,0.16769390581717453,0.10595059880239521,0.0973513418698474,0.08796740172579098,-0.02741269245212167,0.0815255423372988
returnOnEquity,0.2568011079071179,0.24706453792870417,0.2706707203573866,0.24845134311432418,0.347006236667698,0.3829801982485732,0.3442862358525009,0.24442131806992615,0.2791822243986044,0.2780492191481071,0.24406309855645703,0.2825072657293221,0.2832737974050973,0.25207258391790827,0.20829177257955533,0.21507802218462116,0.18884268884268884,0.21846370683579985,0.20102896341463414,0.21964071856287426,0.12807606263982102,12.790384615384616,-2.1259515570934258,3.2591463414634148,2.217665615141956,0.8997979797979798,1.5467532467532468,2.6056737588652483,0.40825369244135534,0.4151763740771124,0.36151433364942737,0.42432675044883306,0.47086419753086417,0.6616120218579234,0.4362095531587057,0.30394304490690033,0.2686676427525622,-0.07135874877810362,0.19020408163265307
returnOnCapitalEmployed,0.1506618928314449,0.13338932223735053,0.12669417375789185,0.1092724579896717,0.1077780784379416,0.15571114805421737,0.16214306247604446,0.12166166893126552,0.16687544435792395,0.16423540523263516,0.1485139333240599,0.18477819290989858,0.18735711512746409,0.16279575016819914,0.15704990377362482,0.16678823243374666,0.16289667743806446,0.13744417230946548,0.12854502581097443,0.12602313468172902,0.11794681738163625,0.40572519083969466,0.537359413202934,0.4169192953707497,0.39301815775323656,0.3292065925642008,0.4089396100808369,0.32241459990641086,0.29691027926322044,0.2967658473479948,0.30774213343333445,0.3143346007604563,0.30472366556447805,0.2945945945945946,0.32444294395678597,0.34418741712096657,0.27715156130997715,0.15940224159402241,0.21949795680093404
netIncomePerEBT,0.8435007477567298,0.818856302932736,0.8388585493423583,0.8418347742555236,0.9978460385840044,0.7297582882049928,0.7061907139291064,0.6931721437084966,0.6871563088512241,0.7318631898694229,0.7090251074417553,0.740589737253933,0.6942617373554094,0.6748409126183454,0.7168484580034328,0.7014101778050276,0.6955966815571155,0.6831955922865014,0.6991385023194169,0.6659404502541757,0.6542857142857142,0.6662325954122007,0.6465326738924551,0.6374478234943352,0.6355281000452011,0.6329401733693335,0.6303254829319926,0.9080573405832921,0.6237886632151866,0.5996445497630332,0.5868561278863232,0.6174242424242424,0.6224906153092867,0.9358454106280193,0.6393405600722674,0.5124653739612188,0.5670580964153276,-0.37244897959183676,0.6526610644257703
ebtPerEbit,0.9234133149203061,0.9086110404477232,0.880259995260503,0.8275368655351961,0.8510740047025067,0.8850140274314214,0.8877890226785846,0.8481682953834304,0.8977480219111381,0.888877200364682,0.8626678114267874,0.8751847179672013,0.8459000038371512,0.832106418700762,0.8107101176048119,0.7925170068027211,0.7970498474059003,0.9512578616352201,0.7481408031730292,0.7391304347826086,0.5498821681068342,0.8537586590267682,0.8647738647738648,0.8239166748550654,0.6984845295727216,0.819303760624054,0.8788372093023256,0.5872278664731495,0.7537522513508105,0.9197907585004359,0.935526753074111,0.9260916898512157,0.9497752286467215,0.9495412844036697,0.9215400624349636,0.9272260273972602,0.8892552899148117,0.765625,0.949468085106383
