,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989
period,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY,FY
currentRatio,0.47874585468797104,0.656930283824745,0.6906526848671126,0.8634959851760345,0.9650401944288652,0.5755864465682016,0.9127105666156202,0.8861419823089136,0.7862894450489663,0.8765862154764867,1.130644424267241,0.6581503577505792,1.2116472872444861,0.39699267516139763,0.4697756511460332,0.5668708039076424,0.6070504237888545,0.9820867532346309,0.7624296580298064,0.23205812253276,0.5064826398697823,0.9252910737386805,0.7421259842519685,0.8804347826086957,0.7578070784177654,0.6812008577555396,0.2832228810603418,0.40457589285714285,0.4979287489643745,0.8065789473684211,0.7920673076923077,1.1134020618556701
quickRatio,0.3679529695507989,0.5546982639845688,0.5608389079732418,0.6930203829524397,0.4185829126939615,0.4493918331885317,0.5400714650331802,0.4865048763892039,0.4722524483133841,0.5242597661109729,0.9774292264811947,0.5641300495842596,1.0332228015445364,0.3495136008472102,0.4096961453450244,0.5300778580330461,0.5780575404341703,0.9320828286128265,0.7128321274709871,0.20669636370943062,0.43881781616153465,0.8072445019404916,0.6269685039370079,0.7866459627329192,0.6578764746703678,0.5982844889206577,0.2483432159051273,0.36830357142857145,0.43330571665285833,0.7368421052631579,0.7283653846153846,1.0147275405007363
cashRatio,0.06119987940910461,0.23284651419123725,0.08822997649611282,0.11344451307391394,0.04150308468872686,0.02736750651607298,0.03266972945380296,0.0381038784304831,0.04591947769314472,0.031848718586713114,0.17105421931037484,0.0947794481591148,0.5308296428805166,0.04670789575512365,0.04156323625853149,0.212864666389719,0.24177363804874946,0.43103166639441814,0.009433038566982046,0.010326471688372712,0.025611741124877248,0.18305304010349288,0.018700787401574805,0.08074534161490683,0.05829285218598196,0.06075768406004289,0.02511335891175445,0.0546875,0.0811930405965203,0.15263157894736842,0.3918269230769231,0.6480117820324006
daysOfSalesOutstanding,35.8620606411742,38.06258649167448,40.69914260120292,58.19409832351608,42.14109902690326,39.619832402234636,40.24291497975708,39.878695772312795,38.91135176316936,47.054589277571495,42.26022838205425,58.79585701451016,32.33260005685169,30.646637485077594,33.90132490103075,34.849466693986734,35.26322479450621,36.21062104509303,50.52854062584306,43.79960698362054,60.736576114102085,42.0140752668933,45.13506302941372,92.0293954520244,42.06482593037215,42.5682382133995,43.24324324324324,47.352262234533704,43.476737668161434,57.67259786476868,41.07717041800643,42.62898686679174
daysOfInventoryOutstanding,4.289791806581598,3.803215242631736,4.032406554962254,5.695477264415458,6.291484435297145,6.75752121367961,6.140708641345909,8.11975489543093,5.972640397957848,0.0,4.954965627240619,7.448588454797051,3.3853703872322924,3.332358981197493,2.7230773040496885,3.107652850793682,2.5903247627456767,2.90468376522366,3.8048596625821998,6.801202578611373,15.08292607594774,12.82263966821176,11.253414856250814,16.93021294539321,7.588742393509128,7.3400365630712985,9.698727544910179,7.227722772277228,9.311224489795919,9.333781965006729,10.766961651917404,16.97674418604651
operatingCycle,40.1518524477558,41.86580173430622,44.73154915616517,63.88957558793154,48.432583462200405,46.377353615914245,46.38362362110299,47.998450667743725,44.8839921611272,47.054589277571495,47.21519400929487,66.24444546930721,35.71797044408398,33.978996466275085,36.624402205080436,37.95711954478042,37.85354955725188,39.11530481031669,54.33340028842526,50.600809562231916,75.81950219004983,54.836714935105064,56.388477885664535,108.95960839741761,49.65356832388128,49.908274776470805,52.94197078815342,54.57998500681093,52.78796215795735,67.00637982977541,51.84413206992384,59.60573105283825
daysOfPayablesOutstanding,46.32975151108126,62.44517217425822,64.9553489228503,69.19114957942216,55.35567275533831,45.42555926973515,57.034157532500636,54.01824963367523,57.67181568268098,80.73280632411068,45.37707755198237,82.22237537291241,51.604168825283395,69.3175836778237,53.14273525631069,46.38120810921625,68.42690025191517,35.651224273696485,24.30049533269863,29.383386149078504,49.82509113020762,34.95059770675775,41.594900481332125,64.18089816571789,55.99011156186613,61.50060938452164,71.44273952095809,81.3118811881188,71.59297052154194,45.19515477792732,37.14601769911504,37.41171403962101
cashConversionCycle,-6.177899063325462,-20.579370439952,-20.223799766685133,-5.301573991490621,-6.923089293137906,0.9517943461790921,-10.650533911397645,-6.019798965931507,-12.787823521553776,-33.67821704653919,1.838116457312502,-15.977929903605201,-15.886198381199414,-35.33858721154862,-16.51833305123025,-8.424088564435834,-30.57335069466329,3.4640805366202017,30.03290495572663,21.217423413153412,25.994411059842214,19.886117228347317,14.79357740433241,44.77871023169972,-6.3365432379848485,-11.592334608050834,-18.500768732804666,-26.731896181307874,-18.80500836358459,21.81122505184809,14.698114370808796,22.19401701321724
grossProfitMargin,0.5686558516801854,0.5501540109816526,0.5366633963229962,0.5353987313094699,0.5550085861476818,0.5654748603351956,0.5648605179967833,0.585134014921249,0.5842947322594688,0.5879747247736303,0.6577382144288446,0.6477678294106898,0.632474621568945,0.6471046866605854,0.6370457525952617,0.6684770245219123,0.6862084463888423,0.5128802118664536,0.5062418990707892,0.48704514682387323,0.4948567819078338,0.5110633983419812,0.4872940705662643,0.47387687188019967,0.47392290249433106,0.49100496277915634,0.5053683820807109,0.487072945521699,0.5056053811659192,0.4711743772241993,0.454983922829582,0.4554409005628518
operatingProfitMargin,0.04644650444186945,-0.12169099593768136,0.024314294245617027,0.11378568192115994,0.13342873497424157,0.14553072625698324,0.1336586989074372,0.08029842497927604,0.14763822377013497,0.13191323040844244,0.2925419375948479,0.24789741707223958,0.2774700768959441,0.29857155280714365,0.27190008701940166,0.2970262805071852,0.3131850831529153,0.3151937733776612,0.29178862431769637,0.2634839046049789,0.28463383689270316,0.303035724935886,0.26812512505836056,0.29694952856350526,0.29785247432306255,0.31451612903225806,0.3135875601629026,0.2880886426592798,0.3071748878923767,0.2672597864768683,0.24557877813504822,0.2373358348968105
pretaxProfitMargin,-0.03775589030513712,-0.21275835900183027,-0.06667235422087617,0.030584503851381967,0.05838580423583286,0.0735195530726257,0.06156064555487771,0.012379110251450677,0.06802350892468437,0.06175493453195231,0.2175783004101095,0.16374605241123316,0.21543981010459864,0.23301424833062964,0.24150907167048652,0.2970262805071852,0.2273732518281346,0.22344224181926245,0.14881166087557987,0.2611872948317071,0.2092093615887094,0.2560386473429952,0.2584539451744147,0.45302273987798114,0.27170868347338933,0.28396401985111663,0.29896334690855236,0.2453831948291782,0.2595291479820628,0.20462633451957296,0.19493569131832797,0.15431519699812382
netProfitMargin,-0.05948242564696794,-0.2352127137181376,-0.07392398583799002,0.07867014046216583,0.035832856325128795,0.04905027932960894,0.042815151683212246,-0.013208068527217464,0.042283413147583805,0.0373265585303889,0.13458786111094542,0.13011256596235124,0.14067984307703787,0.15750453366241993,0.15117149358793658,0.13491125549157568,0.1400880296024046,0.1447895511699069,0.40650386714780357,0.16200048265169406,0.12539722610765544,0.1430190254666905,0.15260454878943508,0.2839711591791459,0.17220221421902093,0.1780397022332506,0.18548685671973345,0.1592797783933518,0.1241591928251121,0.13309608540925266,0.125,0.10412757973733583
effectiveTaxRate,-0.5754475703324808,-0.10553923625681913,-0.10876519513755598,-1.5722222222222222,0.3862745098039216,0.33282674772036475,0.3045045045045045,2.0669642857142856,0.3784,0.39556962025316456,0.3804952075113326,0.3706280570452001,0.3470109214785507,0.3240562120521794,0.3740545953727402,0.27605944027930357,0.3838851822891927,0.35200457178090794,0.352819502753394,0.37975358734016085,0.4006136955086293,0.4414162590263219,0.4095483870967742,0.3731635651322233,0.36622484045164455,0.3730202075368651,0.37956656346749224,0.3508936970837253,0.35205183585313177,0.34956521739130436,0.35876288659793815,0.3252279635258359
returnOnAssets,-0.020742835976697984,-0.08138457261128788,-0.024666932361648828,0.018370342939519384,0.013314333113554672,0.018443828249726915,0.015394739465970048,-0.004615057833046904,0.014383561643835616,0.010206808101319938,0.043003030479309055,0.028684960937127774,0.04430862125258732,0.051117024961534245,0.04972808115890766,0.04308793311405416,0.043253306772530246,0.043656720009442936,0.10316369487934224,0.054288361310677984,0.03620577198906979,0.05096272367917712,0.046358018437848245,0.054359366373635705,0.06364308602415578,0.06164089347079038,0.060974867644374126,0.05229649840836744,0.04257568476693897,0.04892086330935252,0.044026047565118916,0.03209947946790052
returnOnEquity,-0.1103744848593442,-0.39116555308092055,-0.08740165422634658,0.059129028138436,0.046719904470482874,0.06244665718349929,0.051387871929707785,-0.013902623465766971,0.040282026025195705,0.027512363758582608,0.09829699309456116,0.06840874885674667,0.1156194281812319,0.12271775971230829,0.11596135446768063,0.09246717071119598,0.09890534978216974,0.09909599380885412,0.25959292798843525,0.14675876408628463,0.11390994149341635,0.12976190476190477,0.14939601697682012,0.19687764362070292,0.1255714424666861,0.12920652785593698,0.1541064287911412,0.1342934994161152,0.11491569390402075,0.116875,0.11067615658362989,0.08601317318868655
returnOnCapitalEmployed,0.018233510235026534,-0.04742189130888595,0.00880648899188876,0.02839415439409786,0.05594220984928482,0.06058139534883721,0.05213177875359623,0.03066824264426527,0.054891249367728885,0.03885264773599386,0.09796635344481891,0.059125841611152224,0.09253079059827689,0.10648175125248086,0.09753699086179674,0.10495338330047971,0.10611083080530334,0.10107066242717155,0.07794395895915422,0.11103466695112651,0.09299476806751246,0.11557708930439925,0.08681192908199624,0.06101563568400419,0.11849925705794948,0.11773584905660377,0.12487100103199174,0.10945448166988248,0.11915633833442052,0.10907770515613653,0.0980423620025674,0.08112874779541446
netIncomePerEBT,1.5754475703324808,1.105539236256819,1.108765195137556,2.5722222222222224,0.6137254901960785,0.6671732522796353,0.6954954954954955,-1.0669642857142858,0.6216,0.6044303797468354,0.6185720766145482,0.7945997112381401,0.6529890785214493,0.6759437879478206,0.6259454046272598,0.4542064603213186,0.6161148177108072,0.6479954282190921,2.731666757537757,0.6202464126598392,0.5993863044913708,0.5585837409736781,0.5904516129032258,0.6268364348677767,0.6337751595483554,0.6269797924631348,0.6204334365325077,0.6491063029162747,0.47840172786177104,0.6504347826086957,0.6412371134020619,0.6747720364741642
ebtPerEbit,-0.8128898128898129,1.748349229640499,-2.7421052631578946,0.26879044300647087,0.4375804375804376,0.5051823416506718,0.4605809128630705,0.15416379903647626,0.4607445632141541,0.46814814814814815,0.7437508009926483,0.6605395665075285,0.7764434007253047,0.7804301720637818,0.8882272687660209,1.0,0.726002814499047,0.7089043651618612,0.5099981578224767,0.9912836809644411,0.7350122665407974,0.8449124188151939,0.9639303482587065,1.5255883451624954,0.9122257053291536,0.9028599605522682,0.9533648170011806,0.8517628205128205,0.8448905109489051,0.7656458055925432,0.7937806873977087,0.650197628458498
ebitPerRevenue,0.04644650444186945,-0.12169099593768136,0.024314294245617027,0.11378568192115994,0.13342873497424157,0.14553072625698324,0.1336586989074372,0.08029842497927604,0.14763822377013497,0.13191323040844244,0.2925419375948479,0.24789741707223958,0.2774700768959441,0.29857155280714365,0.27190008701940166,0.2970262805071852,0.3131850831529153,0.3151937733776612,0.29178862431769637,0.2634839046049789,0.28463383689270316,0.303035724935886,0.26812512505836056,0.29694952856350526,0.29785247432306255,0.31451612903225806,0.3135875601629026,0.2880886426592798,0.3071748878923767,0.2672597864768683,0.24557877813504822,0.2373358348968105
debtRatio,0.8120685591137152,0.7919434061351209,0.7177749943065361,0.6893176918702305,0.715017972222813,0.7046466683471977,0.7004207629569067,0.668044103732597,0.6429285449833395,0.6290101355563869,0.5622508348950985,0.5804231394172221,0.6167718354121753,0.5825034061114883,0.5699268929595147,0.5340191250294517,0.5626798058164516,0.5594502024607351,0.6025943554057908,0.6300843656685474,0.682154415019497,0.6072597441237727,0.6896970924931618,0.7238926402514121,0.4931722947991126,0.5229274054982818,0.6043327450861072,0.6105805669243596,0.6295050456511293,0.5814257684761281,0.6022083805209513,0.6268074031231926
debtEquityRatio,4.32108941049991,3.806384558277654,2.5432721404075047,2.218722063769103,2.5089932084483917,2.3857752489331436,2.3380150435998135,2.012448374149264,1.8005599046088445,1.695491429394536,1.2852016664659665,1.38421038334567,1.6094115527117765,1.3984286659206473,1.3290175875467847,1.1460108208586965,1.2866540656027614,1.269890953498561,1.5163205747142814,1.7033191008736277,2.1461818167502345,1.5462121212121211,2.2226575253019916,2.6217795893255404,0.9730570956132671,1.0961170512099043,1.5273761919409412,1.567925262748151,1.6990920881971465,1.3890625,1.5138790035587188,1.6795815575358388
longTermDebtToCapitalization,0.7248841565611752,0.706305599162742,0.6410377102304615,0.6134695758054431,0.575766210739615,0.5711060948081265,0.5725301616207603,0.5400032109600771,0.5014345162707746,0.5062702984614655,0.43143824365337646,0.43397128688513603,0.5101340966175181,0.445076813744209,0.4305740226770998,0.3964515296388009,0.4475236009555746,0.4719775197189722,0.5367625262970932,0.47176420603496594,0.600171061892176,0.5293278659297558,0.62550434038391,0.6674254437567139,0.37841596130592503,0.4121344448855366,0.4437029431895962,0.47286344516261414,0.5041162850527399,0.44328462073764785,0.45085010748485443,0.4996122528111671
totalDebtToCapitalization,0.7426806215132095,0.7227254013997529,0.6452253574048561,0.6162667232958166,0.5950373258379424,0.5899081230858976,0.5791169384210232,0.5494666771496711,0.5164937083270668,0.5118252349811312,0.43182634652198726,0.4504137375493453,0.511677328264096,0.4692572227428831,0.44810565540405567,0.4230897250257931,0.46899983352542535,0.4777215521710753,0.5416265083221845,0.47801638275255254,0.6310900230614235,0.5366563032795105,0.6302957151478575,0.6720554854981085,0.3858056036800287,0.423388928548251,0.514594998133632,0.5144126264058217,0.5295912141549726,0.46923204511527616,0.4883466860888565,0.5263351073591485
interestCoverage,0.5767386091127098,-1.3488372093023255,0.26182820395039047,1.3565158676569886,1.7685887708649468,1.985518292682927,1.8382913806254768,1.1194144838212634,2.0568612585291888,1.8889925373134329,3.6951126322473713,3.3289805460916706,,,,,,,,,,,,,,,,,,,,
cashFlowToDebtRatio,0.20250807052396325,0.19025918541726003,0.19500291173289702,0.10279382918941844,0.23405119869971555,0.254734239802225,0.25097963330269457,0.26514356577315656,0.29434603251637953,0.1923887158820297,0.2790419274448737,0.20296263031490183,0.25744254231223407,0.34170499841586066,0.32449368241636767,0.36366737710937025,0.3173793247258301,0.33565249367094574,0.2179859019329003,0.3108441952814763,0.16180233089987095,0.19094561764156232,0.1791650708540789,0.11156978271475212,0.4098792195726231,0.3306253832004905,0.2898592775279269,0.3064486496417417,0.3370967741935484,0.33191940615058324,0.32363907531692765,0.20292887029288703
companyEquityMultiplier,5.32108941049991,4.806384558277654,3.5432721404075047,3.218722063769103,3.5089932084483917,3.3857752489331436,3.3380150435998135,3.012448374149264,2.8005599046088445,2.695491429394536,2.2858154878609507,2.3848297721822327,2.6094115527117765,2.4007218691747783,2.3319088886040555,2.1460108208586965,2.2866540656027614,2.2698909534985607,2.5163205747142814,2.7033191008736277,3.1461818167502345,2.5462121212121214,3.2226575253019916,3.6217795893255404,1.9730570956132671,2.0961170512099043,2.527376191940941,2.567925262748151,2.6990920881971467,2.3890625,2.513879003558719,2.679581557535839
receivablesTurnover,10.177886977886978,9.589469178082192,8.968247895944913,6.272113676731794,8.661378284581062,9.212557900154401,9.069919517102615,9.15275670207385,9.380296069423174,7.756947953511875,8.636962315967908,6.207920396668801,11.288915811230959,11.909952606635072,10.766540867224407,10.473617952465846,10.35072663169662,10.079915490691699,7.223640253194233,8.333408108810126,6.009558380674882,8.687564766839378,8.086839266450918,3.9661240651121865,8.677083333333334,8.574468085106384,8.440625,7.708185053380783,8.395294117647058,6.328828828828829,8.885714285714286,8.562248995983936
payablesTurnover,7.878306878306878,5.8451276102088165,5.619244697361614,5.27524115755627,6.593723494486853,8.035123966942148,6.399673735725938,6.756975697569757,6.328914664457332,4.521086490350251,8.04370884356466,4.439180920577572,7.073071968967917,5.265619207046479,6.868295322767684,7.869566466240282,5.334159499498651,10.23807758179282,15.020269957578094,12.421985612827228,7.325626340474676,10.443312101910829,8.775114155251142,5.68705035971223,6.51900826446281,5.9349005424954795,5.108986615678776,4.488888888888889,5.098265895953757,8.076086956521738,9.826086956521738,9.756302521008404
inventoryTurnover,85.08571428571429,95.97142857142858,90.51666666666667,64.0859375,58.014925373134325,54.013888888888886,59.43939393939394,44.952095808383234,61.112,,73.66347770272336,49.00257306670396,107.81685849695329,109.5320168263613,134.03952926976464,117.4519862817948,140.90897220667784,125.6591179976162,95.92995073891626,53.66697959385345,24.199548427281222,28.46527777777778,32.434599156118146,21.55909090909091,48.09756097560975,49.72727272727273,37.63380281690141,50.5,39.2,39.10526315789474,33.9,21.5
fixedAssetTurnover,0.7863922849115347,0.806807131280389,0.8877234171463193,0.6575301653508119,1.0252949116732202,0.9906469644141901,0.9781912873650518,0.9704494261503808,0.9655317360235393,0.7898230088495575,0.8043352908843431,0.5467915791986909,0.8977361724815704,0.8545430153880997,0.7872344599725274,0.7502685742956696,0.7204678516586306,0.688976440617095,0.5583788857600354,0.7059258298625499,0.623772637586072,0.7430534012851762,0.6375930257282586,0.399141060834145,0.6524804177545692,0.6153846153846154,0.5703727167141801,0.523314810340662,0.5278887409380085,0.525233644859813,0.5067209775967414,0.4495993251792493
