Symbol,Company,Weight
AAPL,Apple Inc.,7.30584
MSFT,Microsoft Corporation,6.053595
AMZN,Amazon.com Inc.,3.470327
TSLA,Tesla Inc,2.034911
GOOGL,Alphabet Inc. Class A,2.015905
GOOG,Alphabet Inc. Class C,1.863629
BRK-B,Berkshire Hathaway Inc. Class B,1.512573
UNH,UnitedHealth Group Incorporated,1.411052
NVDA,NVIDIA Corporation,1.266962
JNJ,Johnson Johnson,1.24029
META,Meta Platforms Inc. Class A,1.147969
XOM,Exxon Mobil Corporation,1.107054
JPM,JPMorgan Chase Co.,0.995055
PG,Procter Gamble Company,0.982846
V,Visa Inc. Class A,0.97962
HD,Home Depot Inc.,0.905396
CVX,Chevron Corporation,0.88443
MA,Mastercard Incorporated Class A,0.850369
PFE,Pfizer Inc.,0.764086
BAC,Bank of America Corp,0.71796
ABBV,AbbVie Inc.,0.708029
KO,Coca-Cola Company,0.695577
PEP,PepsiCo Inc.,0.682522
LLY,Eli Lilly and Company,0.669793
COST,Costco Wholesale Corporation,0.665202
TMO,Thermo Fisher Scientific Inc.,0.65413
MRK,Merck Co. Inc.,0.63419
AVGO,Broadcom Inc.,0.627995
DIS,Walt Disney Company,0.604534
ADBE,Adobe Incorporated,0.579475
ACN,Accenture Plc Class A,0.561622
ABT,Abbott Laboratories,0.54557
MCD,McDonald s Corporation,0.54074
CSCO,Cisco Systems Inc.,0.537715
DHR,Danaher Corporation,0.531359
VZ,Verizon Communications Inc.,0.530337
CRM,Salesforce Inc.,0.523176
WMT,Walmart Inc.,0.513972
CMCSA,Comcast Corporation Class A,0.496723
NEE,NextEra Energy Inc.,0.495439
WFC,Wells Fargo Company,0.483675
TXN,Texas Instruments Incorporated,0.472919
QCOM,Qualcomm Incorporated,0.466912
AMD,Advanced Micro Devices Inc.,0.448398
BMY,Bristol-Myers Squibb Company,0.44706
PM,Philip Morris International Inc.,0.434821
LIN,Linde plc,0.434109
UNP,Union Pacific Corporation,0.423726
UPS,United Parcel Service Inc. Class B,0.423403
INTC,Intel Corporation,0.410393
NKE,NIKE Inc. Class B,0.409584
RTX,Raytheon Technologies Corporation,0.391072
CVS,CVS Health Corporation,0.385093
INTU,Intuit Inc.,0.381323
HON,Honeywell International Inc.,0.381078
SPGI,S P Global Inc.,0.377999
LOW,Lowe s Companies Inc.,0.376944
AMGN,Amgen Inc.,0.374132
COP,ConocoPhillips,0.36607
T,AT T Inc.,0.364203
AMT,American Tower Corporation,0.359
MS,Morgan Stanley,0.355968
MDT,Medtronic Plc,0.355276
ORCL,Oracle Corporation,0.341937
GS,Goldman Sachs Group Inc.,0.340618
IBM,International Business Machines Corporation,0.336179
ELV,Elevance Health Inc.,0.32502
PYPL,PayPal Holdings Inc.,0.324754
SCHW,Charles Schwab Corp,0.308645
NFLX,Netflix Inc.,0.303051
C,Citigroup Inc.,0.295716
ADP,Automatic Data Processing Inc.,0.295577
CAT,Caterpillar Inc.,0.291802
BLK,BlackRock Inc.,0.291694
LMT,Lockheed Martin Corporation,0.286425
DE,Deere Company,0.285471
SBUX,Starbucks Corporation,0.282347
NOW,ServiceNow Inc.,0.282335
AXP,American Express Company,0.280369
PLD,Prologis Inc.,0.279384
AMAT,Applied Materials Inc.,0.263566
BA,Boeing Company,0.263292
ADI,Analog Devices Inc.,0.257906
CI,Cigna Corporation,0.255889
