Date,Ticker,Security,inSPY
2022-06-21,KDP,Keurig Dr Pepper,True
2022-06-21,ON,ON Semiconductor,True
2022-06-21,IPGP,IPG Photonics,False
2022-06-21,UA/UAA,Under Armour,False
2022-06-08,CERN,Cerner,False
2022-06-08,VICI,Vici Properties,True
2022-04-04,CPT,Camden Property Trust,True
2022-04-04,PBCT,People's United Financial,False
2022-03-02,INFO,IHS Markit,False
2022-03-02,MOH,Molina Healthcare,True
2022-02-15,XLNX,Xilinx,False
2022-02-15,NDSN,Nordson Corporation,True
2022-02-03,GPS,Gap Inc.,False
2022-02-02,CEG,Constellation Energy,True
2021-12-20,SEDG,SolarEdge,True
2021-12-20,WU,Western Union,False
2021-12-20,HBI,Hanesbrands,False
2021-12-20,LEG,Leggett & Platt,False
2021-12-20,SBNY,Signature Bank,True
2021-12-20,FDS,FactSet,True
2021-12-14,KSU,Kansas City Southern,False
2021-12-14,EPAM,EPAM Systems,True
2021-09-20,NOV,Nov,False
2021-09-20,BRO,Brown & Brown,True
2021-09-20,CDAY,Ceridian,True
2021-09-20,MTCH,Match Group,True
2021-09-20,PRGO,Perrigo,False
2021-09-20,UNM,Unum,False
2021-08-30,TECH,Bio-Techne,True
2021-08-30,MXIM,Maxim Integrated,False
2021-07-21,ALXN,Alexion Pharmaceuticals,False
2021-07-21,MRNA,Moderna,True
2021-06-04,HFC,HollyFrontier,False
2021-06-03,OGN,Organon & Co.,True
2021-05-14,FLIR,FLIR Systems,False
2021-05-14,CRL,Charles River Laboratories,True
2021-04-20,PTC,PTC,True
2021-04-20,VAR,Varian Medical Systems,False
2021-03-22,XRX,Xerox,False
2021-03-22,FLS,Flowserve,False
2021-03-22,VNT,Vontier,False
2021-03-22,GNRC,Generac Holdings,True
2021-03-22,NXPI,NXP,True
2021-03-22,SLG,SL Green Realty,False
2021-03-22,PENN,Penn National Gaming,True
2021-03-22,CZR,Caesars Entertainment,True
2021-02-12,FTI,TechnipFMC,False
2021-02-12,MPWR,Monolithic Power Systems,True
2021-01-21,TRMB,Trimble Inc,True
2021-01-21,CXO,Concho Resources,False
2021-01-07,TIF,Tiffany & Co,False
2021-01-07,ENPH,Enphase Energy,True
2020-12-21,AIV,Apartment Investment & Management,False
2020-12-21,TSLA,Tesla Inc,True
2020-10-12,NBL,Noble Energy,False
2020-10-09,VNT,Vontier,True
2020-10-07,ETFC,E-Trade,False
2020-10-07,POOL,Pool Corporation,True
2020-09-21,ETSY,Etsy,True
2020-09-21,TER,Teradyne,True
2020-09-21,CTLT,Catalent,True
2020-09-21,HRB,H&R Block,False
2020-09-21,COTY,Coty,False
2020-09-21,KSS,Kohl's,False
2020-06-22,TYL,Tyler Technologies,True
2020-06-22,ADS,Alliance Data Systems,False
2020-06-22,HOG,Harley-Davidson,False
2020-06-22,BIO,Bio-Rad Laboratories,True
2020-06-22,JWN,Nordstrom,False
2020-06-22,TDY,Teledyne,True
2020-05-22,HP,Helmerich & Payne,False
2020-05-22,WST,West Pharmaceutical Services,True
2020-05-12,DPZ,Domino's Pizza,True
2020-05-12,CPRI,Capri Holdings,False
2020-05-12,AGN,Allergan,False
2020-05-12,DXCM,Dexcom,True
2020-04-06,M,Macy's,False
2020-04-06,RTN,Raytheon Company,False
2020-04-03,OTIS,Otis Worldwide,True
2020-04-03,CARR,Carrier,True
2020-04-01,HWM,Howmet Aerospace,True
2020-04-01,ARNC,Arconic,False
2020-03-02,XEC,Cimarex Energy,False
2020-03-02,IR,Ingersoll Rand,True
2020-01-28,WCG,WellCare,False
2020-01-28,PAYC,Paycom,True
2019-12-23,MAC,Macerich,False
2019-12-23,TRIP,TripAdvisor,False
2019-12-23,AMG,Affiliated Managers Group,False
2019-12-23,LYV,Live Nation Entertainment,True
2019-12-23,STE,Steris,True
2019-12-23,ZBRA,Zebra Technologies,True
2019-12-09,STI,SunTrust Banks,False
2019-12-09,ODFL,Old Dominion Freight Line,True
2019-12-05,VIAB,Viacom,False
2019-12-05,WRB,W. R. Berkley Corporation,True
2019-11-21,NOW,ServiceNow,True
2019-11-21,CELG,Celgene,False
2019-10-03,NKTR,Nektar Therapeutics,False
2019-10-03,LVS,Las Vegas Sands,True
2019-09-26,NVR,NVR Inc,True
2019-09-26,JEF,Jefferies Financial Group,False
2019-09-23,CDW,CDW,True
2019-09-23,TSS,TSYS,False
2019-08-09,IEX,IDEX Corporation,True
2019-08-09,LDOS,Leidos,True
2019-08-09,APC,Anadarko Petroleum,False
2019-08-09,FL,Foot Locker,False
2019-07-15,TMUS,T-Mobile US,True
2019-07-15,RHT,Red Hat,False
2019-07-01,LLL,L3 Technologies,False
2019-07-01,MKTX,MarketAxess,True
2019-06-07,AMCR,Amcor,True
2019-06-07,MAT,Mattel,False
2019-06-03,FLR,Fluor Corporation,False
2019-06-03,DD,DuPont,True
2019-06-03,DWDP,DuPont,False
2019-06-03,CTVA,Corteva,True
2019-04-02,BHF,Brighthouse Financial,False
2019-04-02,DOW,Dow Inc,True
2019-02-27,WAB,Wabtec,True
2019-02-27,GT,The Goodyear Tire & Rubber Company,False
2019-02-15,ATO,Atmos Energy,True
2019-02-15,NFX,Newfield Exploration,False
2019-01-18,PCG,Pacific Gas & Electric Company,False
2019-01-18,TFX,Teleflex,True
2019-01-02,SCG,SCANA,False
2019-01-02,FRC,First Republic Bank,True
2018-12-24,CE,Celanese,True
