Symbol,Company,Weight
AAPL,Apple Inc.,6.864099
MSFT,Microsoft Corporation,5.733366
AMZN,Amazon.com Inc.,2.495726
NVDA,NVIDIA Corporation,1.780813
GOOGL,Alphabet Inc. Class A,1.680846
BRK-B,Berkshire Hathaway Inc. Class B,1.674075
GOOG,Alphabet Inc. Class C,1.495489
TSLA,Tesla Inc.,1.414772
XOM,Exxon Mobil Corporation,1.369934
UNH,UnitedHealth Group Incorporated,1.324094
META,Meta Platforms Inc. Class A,1.245375
JNJ,Johnson Johnson,1.206661
JPM,JPMorgan Chase Co.,1.165359
V,Visa Inc. Class A,1.09649
PG,Procter Gamble Company,0.986489
MA,Mastercard Incorporated Class A,0.917664
HD,Home Depot Inc.,0.89819
CVX,Chevron Corporation,0.87036
MRK,Merck Co. Inc.,0.831564
ABBV,AbbVie Inc.,0.794324
AVGO,Broadcom Inc.,0.768534
LLY,Eli Lilly and Company,0.761714
PEP,PepsiCo Inc.,0.721469
KO,Coca-Cola Company,0.705418
PFE,Pfizer Inc.,0.675172
TMO,Thermo Fisher Scientific Inc.,0.661401
BAC,Bank of America Corp,0.649729
COST,Costco Wholesale Corporation,0.646989
CSCO,Cisco Systems Inc.,0.61089
WMT,Walmart Inc.,0.590132
MCD,McDonald s Corporation,0.583947
CRM,Salesforce Inc.,0.544775
DIS,Walt Disney Company,0.534247
ABT,Abbott Laboratories,0.519848
LIN,Linde plc,0.515536
ACN,Accenture Plc Class A,0.498238
DHR,Danaher Corporation,0.486537
TXN,Texas Instruments Incorporated,0.481466
ADBE,Adobe Incorporated,0.481049
WFC,Wells Fargo Company,0.477727
VZ,Verizon Communications Inc.,0.467908
PM,Philip Morris International Inc.,0.467612
CMCSA,Comcast Corporation Class A,0.466423
NKE,NIKE Inc. Class B,0.452402
NEE,NextEra Energy Inc.,0.446781
BMY,Bristol-Myers Squibb Company,0.430847
RTX,Raytheon Technologies Corporation,0.430273
AMD,Advanced Micro Devices Inc.,0.41227
ORCL,Oracle Corporation,0.406942
UPS,United Parcel Service Inc. Class B,0.406022
NFLX,Netflix Inc.,0.403928
COP,ConocoPhillips,0.401889
QCOM,QUALCOMM Incorporated,0.399839
T,AT T Inc.,0.397992
HON,Honeywell International Inc.,0.394683
CAT,Caterpillar Inc.,0.382217
LOW,Lowe s Companies Inc.,0.376623
UNP,Union Pacific Corporation,0.373993
MS,Morgan Stanley,0.370488
AMGN,Amgen Inc.,0.366856
GS,Goldman Sachs Group Inc.,0.354574
DE,Deere Company,0.352863
SBUX,Starbucks Corporation,0.350954
IBM,International Business Machines Corporation,0.347692
INTU,Intuit Inc.,0.34759
BA,Boeing Company,0.343668
PLD,Prologis Inc.,0.34131
SPGI,S P Global Inc.,0.338963
LMT,Lockheed Martin Corporation,0.338302
ELV,Elevance Health Inc.,0.335423
INTC,Intel Corporation,0.332611
MDT,Medtronic Plc,0.316016
AXP,American Express Company,0.31359
CVS,CVS Health Corporation,0.3084
SCHW,Charles Schwab Corp,0.308257
AMAT,Applied Materials Inc.,0.306923
GE,General Electric Company,0.303977
GILD,Gilead Sciences Inc.,0.301846
BLK,BlackRock Inc.,0.298289
BKNG,Booking Holdings Inc.,0.296268
ADI,Analog Devices Inc.,0.289997
C,Citigroup Inc.,0.286923
ADP,Automatic Data Processing Inc.,0.276294
SYK,Stryker Corporation,0.274415
AMT,American Tower Corporation,0.271364
MDLZ,Mondelez International Inc. Class A,0.269617
TJX,TJX Companies Inc,0.266682
PYPL,PayPal Holdings Inc.,0.263865
NOW,ServiceNow Inc.,0.262937
TMUS,T-Mobile US Inc.,0.258057
MO,Altria Group Inc.,0.2557
CI,Cigna Group,0.253423
PGR,Progressive Corporation,0.253356
CB,Chubb Limited,0.252323
ISRG,Intuitive Surgical Inc.,0.247761
REGN,Regeneron Pharmaceuticals Inc.,0.24198
MMC,Marsh McLennan Companies Inc.,0.240755
ZTS,Zoetis Inc. Class A,0.237935
TGT,Target Corporation,0.226314
SLB,Schlumberger N.V.,0.22558
VRTX,Vertex Pharmaceuticals Incorporated,0.224454
FISV,Fiserv Inc.,0.224258
DUK,Duke Energy Corporation,0.221168
SO,Southern Company,0.214206
ETN,Eaton Corp. Plc,0.210935
EOG,EOG Resources Inc.,0.205893
BSX,Boston Scientific Corporation,0.205465
LRCX,Lam Research Corporation,0.203997
NOC,Northrop Grumman Corp.,0.202579
BDX,Becton Dickinson and Company,0.201139
ITW,Illinois Tool Works Inc.,0.200968
CME,CME Group Inc. Class A,0.194599
EQIX,Equinix Inc.,0.192623
APD,Air Products and Chemicals Inc.,0.192061
CSX,CSX Corporation,0.190718
HUM,Humana Inc.,0.187716
AON,Aon Plc Class A,0.187129
MU,Micron Technology Inc.,0.184252
MPC,Marathon Petroleum Corporation,0.183395
CL,Colgate-Palmolive Company,0.181033
MMM,3M Company,0.177785
USB,U.S. Bancorp,0.173702
WM,Waste Management Inc.,0.172135
EL,Estee Lauder Companies Inc. Class A,0.170857
FCX,Freeport-McMoRan Inc.,0.170122
ICE,Intercontinental Exchange Inc.,0.169606
PNC,PNC Financial Services Group Inc.,0.169496
ATVI,Activision Blizzard Inc.,0.169444
CCI,Crown Castle Inc.,0.168766
TFC,Truist Financial Corporation,0.168317
SNPS,Synopsys Inc.,0.167735
HCA,HCA Healthcare Inc,0.164996
GM,General Motors Company,0.163785
CDNS,Cadence Design Systems Inc.,0.163484
KLAC,KLA Corporation,0.16303
ORLY,O Reilly Automotive Inc.,0.156899
SHW,Sherwin-Williams Company,0.155612
VLO,Valero Energy Corporation,0.155459
GD,General Dynamics Corporation,0.152196
FDX,FedEx Corporation,0.151686
NSC,Norfolk Southern Corporation,0.150448
EMR,Emerson Electric Co.,0.150058
DG,Dollar General Corporation,0.149778
F,Ford Motor Company,0.149334
PSX,Phillips 66,0.147444
MCK,McKesson Corporation,0.146804
PXD,Pioneer Natural Resources Company,0.146465
NXPI,NXP Semiconductors NV,0.143377
EW,Edwards Lifesciences Corporation,0.143363
GIS,General Mills Inc.,0.142338
PSA,Public Storage,0.141916
SRE,Sempra Energy,0.141445
APH,Amphenol Corporation Class A,0.1414
MCO,Moody s Corporation,0.14138
AZO,AutoZone Inc.,0.140292
MCHP,Microchip Technology Incorporated,0.139265
AEP,American Electric Power Company Inc.,0.139026
MRNA,Moderna Inc.,0.138324
MAR,Marriott International Inc. Class A,0.137567
D,Dominion Energy Inc,0.137215
ROP,Roper Technologies Inc.,0.136686
PH,Parker-Hannifin Corporation,0.136283
MSI,Motorola Solutions Inc.,0.134237
