Date,Open,High,Low,Close,Adj Close,Volume
1999-11-10 00:00:00-05:00,65.0,70.3125,64.5,68.25,37.83414077758789,80793700
1999-11-11 00:00:00-05:00,68.75,76.9375,68.75,75.0,41.57599639892578,28309000
1999-11-12 00:00:00-05:00,76.0,76.625,69.25,70.5,39.081417083740234,14768100
1999-11-15 00:00:00-05:00,70.5,70.875,67.3125,69.0,38.24991226196289,8675100
1999-11-16 00:00:00-05:00,67.875,68.0,65.0,66.0,36.58687210083008,6978600
1999-11-17 00:00:00-05:00,65.5625,68.1875,65.125,67.6875,37.5223388671875,5806900
1999-11-18 00:00:00-05:00,67.9375,68.9375,66.125,66.3125,36.76008224487305,4718700
1999-11-19 00:00:00-05:00,66.3125,66.3125,64.25,65.0,36.032527923583984,5091100
1999-11-22 00:00:00-05:00,64.0625,64.25,61.0,63.125,34.99312210083008,4785400
1999-11-23 00:00:00-05:00,63.375,67.0,63.25,66.1875,36.69081497192383,2832200
1999-11-24 00:00:00-05:00,66.0,68.1875,65.9375,67.6875,37.69317626953125,2179400
1999-11-26 00:00:00-05:00,68.4375,69.4375,68.1875,69.125,38.49367904663086,1322500
1999-11-29 00:00:00-05:00,70.0,70.25,67.0,68.125,37.936805725097656,1987000
1999-11-30 00:00:00-05:00,67.375,67.625,66.0625,66.0625,36.78827667236328,1686100
1999-12-01 00:00:00-05:00,66.25,67.375,65.625,65.875,36.6838264465332,1405700
1999-12-02 00:00:00-05:00,66.0,67.0625,65.875,67.0625,37.34513473510742,1391000
1999-12-03 00:00:00-05:00,67.4375,67.6875,66.3125,66.4375,36.99708557128906,1753500
1999-12-06 00:00:00-05:00,66.5,66.5,65.375,66.25,36.89267349243164,1398900
1999-12-07 00:00:00-05:00,65.9375,68.0,65.875,68.0,37.86719512939453,1793100
1999-12-08 00:00:00-05:00,68.0,68.375,66.75,68.375,38.07601547241211,1774000
1999-12-09 00:00:00-05:00,68.375,68.75,66.625,67.5,37.588768005371094,1713600
1999-12-10 00:00:00-05:00,66.375,67.0,65.375,66.125,36.82307052612305,1248600
1999-12-13 00:00:00-05:00,66.375,66.9375,64.875,66.0,36.753448486328125,1417800
1999-12-14 00:00:00-05:00,66.0,66.0,64.75,65.0,36.196571350097656,1886600
1999-12-15 00:00:00-05:00,65.0,65.0625,63.6875,63.75,35.500492095947266,1602800
1999-12-16 00:00:00-05:00,63.75,64.0625,63.25,64.0,35.63972473144531,1364600
1999-12-17 00:00:00-05:00,64.75,67.625,64.6875,66.625,37.10149002075195,1980800
1999-12-20 00:00:00-05:00,67.6875,68.5,66.9375,68.5,38.145633697509766,1501300
1999-12-21 00:00:00-05:00,68.25,69.0,67.5,69.0,38.4240608215332,1265200
1999-12-22 00:00:00-05:00,68.9375,68.9375,66.0625,67.0,37.31032180786133,1264700
1999-12-23 00:00:00-05:00,66.5,67.875,65.625,67.75,37.72797775268555,1180600
1999-12-27 00:00:00-05:00,68.5,69.6875,67.5,69.6875,38.80693054199219,1478800
1999-12-28 00:00:00-05:00,69.5,69.6875,68.0625,69.0,38.4240608215332,1051400
1999-12-29 00:00:00-05:00,69.0,69.375,67.5625,68.0,37.86719512939453,904700
1999-12-30 00:00:00-05:00,69.25,69.5,68.0,68.0,37.86719512939453,926700
