,Industrial Conglomerates,Building Products,Health Care Equipment,Pharmaceuticals,IT Consulting & Other Services,Interactive Home Entertainment,Agricultural Products,Application Software,Data Processing & Outsourced Services,Automotive Retail,Independent Power Producers & Energy Traders,Life & Health Insurance,Industrial Gases,Internet Services & Infrastructure,Airlines,Specialty Chemicals,Office REITs,Health Care Supplies,Electric Utilities,Property & Casualty Insurance,Interactive Media & Services,Tobacco,Internet & Direct Marketing Retail,Paper Packaging,Semiconductors,Multi-Utilities,Consumer Finance,Specialized REITs,Water Utilities,Asset Management & Custody Banks,Health Care Distributors,Electrical Components & Equipment,Biotechnology,Electronic Components,Insurance Brokers,Oil & Gas Exploration & Production,"Technology Hardware, Storage & Peripherals",Semiconductor Equipment,Auto Parts & Equipment,Communications Equipment,Multi-line Insurance,Integrated Telecommunication Services,Gas Utilities,Specialty Stores,Residential REITs,Oil & Gas Equipment & Services,Metal & Glass Containers,Diversified Banks,Multi-Sector Holdings,Computer & Electronics Retail,Life Sciences Tools & Services,Aerospace & Defense,Distillers & Vintners,Air Freight & Logistics,Casinos & Gaming,Packaged Foods & Meats,"Hotels, Resorts & Cruise Lines",Construction Machinery & Heavy Trucks,Financial Exchanges & Data,Real Estate Services,Technology Distributors,Managed Health Care,Fertilizers & Agricultural Chemicals,Investment Banking & Brokerage,Cable & Satellite,Integrated Oil & Gas,Restaurants,Household Products,Diversified Support Services,Regional Banks,Soft Drinks,Hypermarkets & Super Centers,Railroads,Industrial Machinery,Health Care Services,Homebuilding,Health Care Facilities,Agricultural & Farm Machinery,Movies & Entertainment,General Merchandise Stores,Commodity Chemicals,Industrial REITs,Diversified Chemicals,Research & Consulting Services,Personal Products,Reinsurance,Retail REITs,Automobile Manufacturers,Systems Software,Copper,Consumer Electronics,Leisure Products,Health Care REITs,Home Improvement Retail,Hotel & Resort REITs,Advertising,Trucking,Construction & Engineering,Electronic Equipment & Instruments,Oil & Gas Storage & Transportation,Food Retail,Distributors,Alternative Carriers,Oil & Gas Refining & Marketing,Construction Materials,Home Furnishings,Brewers,Housewares & Specialties,Gold,Publishing,"Apparel, Accessories & Luxury Goods",Steel,Environmental & Facilities Services,Human Resource & Employment Services,Apparel Retail,Food Distributors,Wireless Telecommunication Services,Electronic Manufacturing Services,Trading Companies & Distributors,Drug Retail,Broadcasting,Household Appliances
currentRatio,1.561798572886647,1.8420738418038505,2.4670474708154098,1.7770495144231164,1.6605523427282232,1.8135589867368436,1.585123309466985,1.517224895247455,1.4936850362010015,1.559408257873272,1.163081620670724,0.1253692466261002,1.3808925160265315,2.1301438801273913,0.587602594746745,1.7412990361372205,1.9114675572153002,2.4352080204265873,0.6340117582524557,0.4263088778300762,6.871626449935844,1.0985140651745287,1.1854369334070443,1.4101370334983145,3.841680116551967,0.6925454665194887,0.5333947555865328,1.0186455005032513,0.3096774193548387,5.163755206824947,1.7692037288483984,1.7534605390786298,3.5094649223829415,2.3636240700610043,1.1611175452153217,1.3953906179974376,1.2834987378989895,3.339826304934763,1.5594022672468624,2.8326586268950535,0.15932770903819451,0.9331442024612822,0.5324877669489059,1.5307262913416042,0.8054462299434626,1.6674232135953098,0.9150231312393474,103.67877488048154,1.7660900891693707,1.4765515304689694,1.6406293432130599,1.5404394131641284,1.4243204531515525,1.3946161792529108,1.075743022150561,0.8632190630559794,0.5451652330907983,1.607569229082903,1.4629527510390885,1.1836221371518751,1.3433945756780403,1.3566840916654135,1.2807547275205386,0.2962879331340059,0.6266057041792515,0.9813296706048346,1.6132135372108287,1.1196276913459695,1.7107085374627389,90.81734694641963,1.539699532166103,0.9337366009555819,0.9776482912552357,1.7026006639752378,1.076091216281655,8.629361411818957,1.6611351096808964,1.9602112223405201,0.9804002140745184,1.2829797819541184,0.0,2.1413239736426872,1.5857719475277496,0.6382826057282058,1.0139071396264778,0.0012767008941224531,1.0120051172614888,0.8853166791743053,2.4086671697280835,2.1395394998015087,2.9618653857078834,2.9031994164721975,1.2430391581639686,1.1776379533567523,5.632517273065473,0.9509266007993155,1.5885232781938328,1.7572305109886268,1.9865816581322244,0.6494085511427248,0.8040435458786936,2.6633533902029765,0.8634959851760345,1.474669253202132,3.2199921170909462,1.5338691060140734,0.6441620333598094,1.4079873980726465,3.631541218637993,1.5558727569331159,2.913446063279196,2.4159257198123454,0.7353861367314152,1.9145295602597152,1.6220191386656442,1.3178458389805847,0.7742075553625706,1.5404211073563816,1.0623501199040768,1.0650239930986143,5.339925173703902,0.932392710170488
quickRatio,1.1575099932934516,0.954436357363843,1.8866357253275425,1.310336984971823,1.512085144324721,1.588713219295617,0.3632458233890215,1.3882752618509815,1.1234277708295086,0.33139708462149187,0.5392756948257007,0.3950599698970171,1.0982660939790883,1.9898063029986381,0.44892768189777615,1.0630593942838886,1.7681814231392061,1.6200330135102667,0.3577366951493114,0.7203808780705667,6.686672658887473,0.5886186648908913,0.9240270006062462,0.8115104873202322,3.1373730358821343,0.41009876397778977,0.5266021126127417,0.8234931956654407,0.23182795698924732,5.2908720876031,1.4319287096891684,1.1996365793256776,3.1188420081466486,1.6867379812918357,1.0427213243059135,1.1960336503628233,1.09157429019911,2.6985272815650223,1.191182984272669,2.6222497069772848,0.8086799036440895,0.7944726687425805,0.2453734447817983,0.3151242616024288,0.28605398395705106,1.167904351122522,0.5069393718042366,33.04169976133809,3.692787245458494,0.7396798652064027,1.1309640638781495,0.9910433726532942,0.46105594038353126,1.3005638402869186,0.955356463187971,0.4170075722870174,0.4356777640322666,1.2027074392594885,1.04355058413919,1.0716530142869702,1.1139743895649408,0.9198575440737937,0.9052291165837443,0.3460325462828212,0.4751682544321509,0.6789123789880679,1.285850725702436,0.700999785215902,1.192436475858074,80.75345699819147,1.1808299110468032,0.3146256072946062,0.710213590870922,1.1484199785557148,0.6004782558800477,1.495667718821458,1.110473477276661,0.6148949986320651,0.5980034109512565,0.2400673036402261,0.0,1.3676915550467,0.7956609485368314,0.5313433751145892,0.724230963626947,0.043530044385679374,0.8385084343469265,0.5590683849915604,2.29959026002915,1.1945216355696706,2.0755281745706116,2.3860670753385205,0.9676963656404102,0.23970370436207475,5.071554615575096,0.8485197795319912,1.4662151156630738,1.6376156702298352,1.2856520384477266,0.5055319991877018,0.17830482115085536,0.662889934835839,0.6930203829524397,0.9662249430809728,2.209329951794404,0.6187658524001499,0.3884917483011208,0.7319542253521126,2.5505376344086024,1.376019575856444,1.8356892695975817,1.0718236992541679,0.665695502155902,1.3733968359237114,0.7526398242580393,0.8036001657511311,0.4729483282674772,0.872368079022615,0.9502398081534772,0.5299509354612606,4.888829502939604,0.45396825396825397
cashRatio,0.41495220637074437,0.2664907198615833,0.9895087610402752,0.39605378737671354,0.569393869272522,1.0950826195059813,0.0639618138424821,0.5633860343366751,0.5514598449173014,0.15716142394881522,0.21061954138656339,0.012743864497738216,0.50637881387362,0.46768520743781455,0.12645207585597287,0.34960637435643666,1.0270601870175131,0.6593157751357346,0.07791225752871907,0.010351164101387892,0.8693340791570386,0.40628205820658525,0.40987321933542076,0.1893327744086247,1.5760778160973994,0.07814851646795597,0.21921739098841664,0.5327579510283431,0.023655913978494623,3.933931123551757,0.43302441108417417,0.4291953669105773,0.7989277474651474,0.8785710278999764,0.1746482115405847,0.4991936591261096,0.2188096454935687,1.0185470284023836,0.39268783490559883,0.5754228277168087,0.017691338302915596,0.2934624337739731,0.026058692990133633,0.17900364285488496,0.2344342837134195,0.3635639634002582,0.10908205502800097,9.815559667236707,0.8069444799305041,0.31451839370963214,0.3252798225550065,0.4652536195722702,0.09295541752430884,0.3631697515055235,0.7463619857652657,0.118769238712606,0.12630241502077277,0.3044085042752904,0.6720588310983708,0.1631933869442946,0.05734510458919908,0.2673564120944437,0.5682583490566628,0.1105178434247096,0.1386142432959457,0.1906339702701076,0.7113029650519443,0.301693785520984,0.3400561140871485,26.25135993425313,0.3862031477765405,0.19087219912935305,0.2833325031348871,0.44052132478976136,0.07483589193331977,1.2616531264714228,0.11422714459608264,0.30769966081805805,0.29020942181385645,0.15739511550417806,0.0,0.4244656836258792,0.0963673057517659,0.18426438585592048,0.21821559790588893,0.043530044385679374,0.26414749433427,0.40517932736521833,0.13872677807603698,0.8826915442635966,1.1254527436041484,1.263272181686143,0.11646687444584736,0.13922483910539504,4.990634156636513,0.1860313625379042,0.23781597086713113,0.2323528006288082,0.612172014951867,0.1512490526363099,0.025038880248833592,0.15288927987615075,0.11344451307391394,0.37281967178738706,1.1900559951977943,0.031967100444196726,0.12314300002941782,0.11251389918458117,2.336200716845878,0.8221859706362153,0.8027000708408907,0.33599408658564045,0.04070121463153505,0.39410960882261703,0.6212900004758649,0.14263750995343416,0.10586191923577942,0.31661034572394076,0.21103117505995203,0.17798026635035316,3.906467129877071,0.14062316284538506
daysOfSalesOutstanding,83.55464911707816,55.54101947456174,64.65762311949254,69.06285821202049,98.11392076423624,40.94535600525297,22.573979088577627,68.83090646623964,136.96203630421962,23.610561647249394,46.8250622114446,43.841314309136216,58.83566685888968,32.02027735625328,15.414244916586624,67.70012258490118,60.28755203441691,64.80765096243962,52.55602091650125,169.90757268244795,60.0171702421062,34.562977487401454,28.874784615064527,55.517033478800485,43.92747115350946,53.58996045876874,443.5993855591253,32.627439624358566,52.624366994340185,178.31926903551565,78.31154904238582,67.61745579199626,59.11579884316533,78.95558573977254,117.51280260675527,67.33756495729605,56.81289630704804,65.5594215640891,77.94629389966292,79.70520757150055,321.8873553940554,55.435857515868506,29.396298920005,13.619073201816862,5.984765589397021,101.75469028879621,54.30301374852044,276.83683652754314,43.07879423632076,12.477603228180596,73.83514734733606,62.92255707316776,100.37706321241251,55.7053550642209,14.964139549985639,35.31424097495241,29.391513389151797,142.7016869477033,66.72948486607217,107.49818819773212,63.83865977684889,33.46454975266862,52.232665310844354,845.5330052039453,31.195740084800075,41.60970449331455,23.284690756777064,38.01787180286922,65.08928837264769,174.3124019108196,39.63366833795452,4.196803066629634,28.659408424252746,60.98773462594907,32.00723606591669,6.876091397585436,55.798220396738266,114.38860436415729,38.94436616414497,2.3499145582274004,0.0,77.31636549117223,52.97832233741753,58.96901572740583,28.45958091774766,0.0,51.796477273105346,29.18704388799532,80.46117686592605,34.95793452417241,69.86448025334596,98.46297503427208,120.6472647740697,5.453150026991724,1.5516389096084715,237.19283267579164,50.9449473209287,107.2407694746164,60.11647773964074,41.65362741726601,5.218490163607515,24.404796797814438,58.19409832351608,25.36381789079878,50.09104383789557,59.92104708632863,29.922383393318064,66.20517968824191,11.772591181273816,60.9006020395626,39.81523361561718,36.55957718181748,52.67742189150065,50.75726880268034,2.6351664657936005,26.559700081300473,37.99761107280071,64.04349610176446,67.76765547357326,20.155988292418833,97.60948639604248,45.76883263539265
daysOfInventoryOutstanding,71.62562322425006,71.60900665111829,122.27490920405982,176.2794601077802,3.974391764142534,4.50564699310588,58.409423955898255,5.258615044072301,0.0,287.68686273749773,25.557716325296628,0.0,31.19496261225557,0.0,12.451717973320582,89.55124009780235,0.0,99.49155515664471,60.73023228452902,0.0,4.535693691168198,236.63796574710923,38.308031845299475,56.591712066860836,94.209098521885,41.164140553338186,0.0,1.5570481159983536,10.859941944847606,0.0,59.10746048512163,72.28764460909505,225.027651492662,74.2138625751297,0.0,21.93062598934407,13.860045477960238,132.11613605104574,37.95826630587336,48.45502120251739,0.0,4.2934445357264925,74.58448401790962,182.6788039619066,33.27585472616227,67.95353290747983,63.8969829069634,0.0,0.0,59.251743817374766,90.04365311916489,91.50895849049236,556.7631896215788,2.6623763851115516,4.804099996939074,62.4653670489934,2.5707547475767054,93.76803088559812,0.0,0.0,12.876522571733535,0.0,52.37205177434873,0.0,0.22152813202490573,27.921134634505627,9.896874830225078,62.98197517326656,19.94958133258898,0.0,55.35979446934115,37.08702764138161,18.978670821832715,66.96344832297143,30.107478340972,293.4765372328655,22.617139420302152,67.43279181908093,13.215907715495016,69.53525609553155,0.0,0.0,77.63002114164905,0.0,78.22593347319078,0.0,0.0,78.6617655763257,23.028456678342668,118.19539178173348,144.9104644741686,64.83813419340345,0.0,77.95092673698781,0.0,18.18983325847876,0.43604777281710116,1.96831882873001,110.38350730630546,16.227768601124684,26.756552926191592,122.78990067644722,5.695477264415458,25.48631846341027,60.72395915695071,109.51125086914668,34.72584121469472,94.48580219415926,46.876300359372046,0.0,104.2289499653943,71.45373468033057,3.836869788687391,0.0,57.564216441205275,24.3986756083506,32.27863112717416,75.1255936015996,7.069989669421488,36.47458788123792,0.0,61.78800067984817
operatingCycle,155.18027234132825,127.15002612568006,186.93253232355238,245.3423183198007,102.08831252837878,45.451002998358845,80.98340304447588,74.08952151031194,136.96203630421962,311.2974243847471,72.38277853674124,0.0,90.03062947114526,32.02027735625328,27.865962889907205,157.25136268270353,60.28755203441691,164.29920611908435,113.28625320103026,0.0,64.5528639332744,271.20094323451065,67.182816460364,112.10874554566132,138.13656967539447,94.75410101210691,0.0,34.184487740356914,63.48430893918779,40.5386587223553,137.41900952750746,139.90510040109132,284.1434503358273,153.1694483149022,91.46732622962453,89.2681909466401,70.6729417850083,197.67555761513484,115.90456020553627,128.16022877401795,0.0,59.729302051595,103.98078293791463,196.29787716372343,39.260620315559294,169.70822319627604,118.19999665548384,0.0,0.0,71.72934704555536,163.87880046650096,154.43151556366013,657.1402528339913,58.36773144933245,19.76823954692471,97.7796080239458,31.9622681367285,236.46971783330144,66.72948486607217,107.49818819773212,76.71518234858243,19.17534504525196,104.60471708519309,0.0,31.417268216824983,69.53083912782019,33.18156558700214,100.99984697613579,85.03886970523668,0.0,94.99346280729569,41.28383070801125,47.638079246085454,127.95118294892049,62.1147144068887,300.35262863045085,78.41535981704041,181.82139618323822,52.16027387963998,71.88517065375896,0.0,77.31636549117223,130.60834347906658,58.96901572740583,106.68551439093844,0.0,51.796477273105346,107.84880946432102,103.48963354426871,153.1533263059059,214.77494472751457,163.3011092276755,120.6472647740697,83.40407676397953,1.5516389096084715,255.3826659342704,51.3809950937458,109.2090883033464,170.4999850459462,57.8813960183907,31.975043089799108,147.19469747426166,63.88957558793154,50.850136354209056,110.81500299484628,169.4322979554753,64.64822460801278,160.69098188240116,58.64889154064586,0.0,144.0441835810115,108.01331186214804,56.514291680188045,50.75726880268034,60.199382906998885,50.95837568965108,70.27624219997486,139.16908970336408,74.83764514299475,56.630576173656756,97.60948639604248,107.55683331524082
daysOfPayablesOutstanding,63.41436447492505,40.26710476394637,57.29275891685313,101.77394567771013,28.955241610790818,34.15238872968422,24.79519207285161,37.760876062624945,200.21474758596858,199.7684569183368,54.75069563935952,0.0,49.644876061108356,36.7906292483625,22.722621284651453,72.22718820041662,289.69051346731584,49.84433553709741,80.3295254557349,0.0,26.185604558938778,56.92674110367525,149.03305248740782,74.91076843253782,51.64979039661042,97.70400973002506,0.0,63.29878515294706,51.65094339622642,37.434908540080144,98.11798551636807,66.98761675915354,104.23125912153684,64.48915960203962,106.77809849944872,92.7439906462294,125.58155785096646,42.296276288901396,77.68559926388224,37.91411775531513,0.0,76.99509021531976,56.560771271998064,168.1133740979903,60.88065923348213,65.66363922284879,115.65102672937937,0.0,0.0,60.71354670760605,44.05462858715205,47.76833917282607,40.280809862078996,27.37412831841343,14.142336800179478,81.23752371805912,16.564973338766848,66.40056719709334,36.87852539638798,61.77102949027951,37.74726094054122,48.88985502832355,28.746058472579676,0.0,77.57665100888605,47.950722995776324,21.362015493749844,74.5503216645616,25.461119073624975,0.0,72.68748698864651,35.95827831132726,36.253211675833434,47.380927325838954,22.197662501879766,22.380280276243106,46.65866276662736,41.41725147997596,53.27107535022367,43.25617458096663,0.0,299.57587588848486,43.31642001409443,33.57651625919518,110.69953701258198,0.0,454.2082057873087,88.0496203594347,76.2040474308724,41.89818665779404,47.48941587924899,52.14608509987574,80.8773472662264,45.57096011946982,52.63380131328168,408.4271749777331,19.54557450878865,37.630600452889276,53.89782290882565,71.02838817535269,23.726508904828943,46.828725010059415,69.19114957942216,40.445457258970706,23.674257396077973,45.52241028158197,92.08952583156406,66.61044867345564,25.888972952525062,0.0,42.64858261329222,24.38452928707855,37.77306801900201,14.931469037637083,36.36103938162934,32.34408405013903,127.42432798735037,63.26605848537866,38.55501033057851,51.20951803440686,38.066641566265055,99.19579627216588
cashConversionCycle,91.76590786640317,86.88292136173368,129.63977340669922,143.5683726420906,73.13307091758796,11.298614268674633,56.18821097162427,36.32864544768699,-63.252711281748965,111.52896746641031,17.632082897381714,0.0,40.38575341003691,-4.770351892109224,5.143341605255753,85.02417448228691,-229.4029614328989,114.45487058198694,32.95672774529538,0.0,38.36725937433562,214.27420213083542,-81.85023602704383,37.197977113123514,86.48677927878404,-2.9499087179181505,0.0,-29.114297412590144,11.833365542961374,3.1037501822751494,39.301024011139404,72.9174836419378,179.91219121429046,88.68028871286262,-15.310772269824183,-3.4757996995893046,-54.90861606595816,155.37928132623347,38.21896094165404,90.2461110187028,0.0,-17.26578816372477,47.42001166591656,28.184503065733146,-21.620038917922834,104.04458397342725,2.5489699261044763,0.0,0.0,11.015800337949308,119.82417187934888,106.66317639083405,616.8594429719124,30.99360313091902,5.625902746745234,16.54208430588668,15.397294797961655,170.0691506362081,29.850959469684195,45.72715870745261,38.967921408041214,-29.714509983071594,75.8586586126134,0.0,-46.15938279206106,21.58011613204386,11.819550093252298,26.4495253115742,59.57775063161169,0.0,22.30597581864917,5.325552396683987,11.38486757025202,76.35425420362304,39.91705190500893,277.9723483542078,31.756697050413067,140.40414470326226,-1.1108014705836808,28.628996072792326,0.0,-222.25951039731257,87.29192346497214,25.392499468210655,-4.0140226216435515,0.0,-402.41172851420333,19.79918910488633,27.285586113396334,111.25513964811185,167.28552884826559,111.15502412779978,39.769917507843296,37.833116644509715,-51.08216240367321,-153.04450904346268,31.835420584957156,71.57848785045712,116.60216213712054,-13.146992156961991,8.248534184970165,100.36597246420223,-5.301573991490621,10.404679095238343,87.1407455987683,123.90988767389332,-27.441301223551278,94.08053320894552,32.7599185881208,0.0,101.39560096771928,83.6287825750695,18.741223661186037,35.82579976504326,23.838343525369545,18.614291639512047,-57.14808578737551,75.90303121798541,36.282634812416234,5.421058139249894,59.54284482977743,8.361037043074944
grossProfitMargin,0.3727124845339556,0.3008912965637115,0.603330295628545,0.713428588858799,0.37850352736891235,0.6338440174893958,0.05763792990070362,0.7987264750337111,0.6726457926563488,0.43579508552789353,0.2554482853772644,0.0,0.3982089072099789,0.7515294550723475,0.27283516435947514,0.37520523974826897,0.6720523200609234,0.5528332098774014,0.4581307592584273,0.0,0.6519069560578176,0.6285428723372303,0.29665093962986744,0.248882326448707,0.5371789321763873,0.4207517934414303,0.0,0.6347888522730182,0.5895144474232946,0.31866643720743953,0.4571894427232187,0.36994288057784724,0.7672079155633936,0.29895513472487617,0.2592382885230398,0.28191701633599703,0.38200285510114823,0.4922334522692511,0.20635240222221188,0.6142982274786969,0.0,0.5607879394748483,0.6646286690569928,0.4175234624139524,0.5545919117016465,0.1364572330936584,0.2063188564144587,0.0,0.0,0.23957566682739892,0.48072058709838456,0.238568707309398,0.5269765512319798,0.18731777007479344,0.4435197742059081,0.354926899672263,0.25254344607805523,0.2689865084163243,0.6987255698512332,0.30376502997127014,0.1612678142382253,0.14608342258840845,0.10028243403303996,0.0,0.6150957915351803,0.24518273398542978,0.37568062007479863,0.49143431335429866,0.38618289053783195,0.0,0.5899820015374355,0.18708851374331623,0.38978741659473404,0.34405803305882166,0.19838380660477328,0.18755744391032486,0.4257917456349557,0.28938350982086714,0.3903964975075342,0.3048788806591645,0.0,0.7114831347576311,0.256990260760289,0.6283161954218798,0.5455732891667511,1.0,0.8427342170437401,0.18338205702549498,0.6261816588374266,0.2670852892763519,0.577635791855145,0.531807472942246,0.5026450908215687,0.3390943048013771,0.753748896973342,0.2594408194049209,0.21390406174237514,0.16184084776759877,0.5106935241352566,0.419927080498067,0.22399576892064124,0.3400238198143231,0.5353987313094699,0.14520626265546083,0.2512231099478509,0.31570144838056785,0.43494383247900537,0.3452198450706136,0.28048448557430594,0.0,0.4716445000958597,0.12686930379042122,0.3883063607542613,0.4108408367982845,0.28902373813242815,0.19066804820467934,0.5638853314944341,0.3432909314731227,0.4169552778196055,0.24668820951833118,0.6135603084533683,0.1694819554886369
operatingProfitMargin,0.17415644774604133,0.10814578339296753,0.16414456303128439,0.2390452070884522,0.1282941580643565,0.18396811233432436,0.024873413559544946,0.18391108190187067,0.4392676307080343,0.06083050345516816,0.1124200989818828,0.0,0.2144659092086606,0.3915682450740201,0.1422560347913128,0.1419136300724913,0.29744860572345594,0.12465443616900823,0.20964415222041552,0.0,0.28710705575232526,0.4328515266571692,0.04821417216937583,0.10015968988455101,0.2134774177324134,0.20831476649391584,0.0,0.29383923660073985,0.37056896038129283,0.23451354815510878,0.11987523071919098,0.16001833981499275,0.33072252618970166,0.09438992542236593,0.1483045251989223,0.10381069935133494,0.2607975589240134,0.2721750627297113,0.1173426993689049,0.24437132295094888,0.0,0.19728815227555027,0.2636289353869121,0.14282282888507516,0.3033199332258308,0.07941766439915451,0.09314394974050806,0.0,0.0,0.0470522549044489,0.15489907562722538,0.14267507645092564,0.3031005393830069,0.10221070582257197,0.1694999883413684,0.15919872918890032,0.13904801550251908,0.10095929611488366,0.4456741169964464,0.07540264305672613,0.05701214494947833,0.043013138668785526,0.04137327066846965,0.0,0.18595902119838162,0.025400777931147547,0.2630329203030608,0.21096656362726285,0.20001543185651138,0.0,0.2015256214840862,0.03843717093821267,0.3609672575170504,0.1397911288060643,0.07156303850709324,0.11271280173488915,0.13796411094272826,0.14026975858926546,0.1772170958392585,0.07734049769220014,0.0,0.33422661824770455,0.16043564771180227,0.2968633461633723,0.20637882175953476,0.07400161764760696,0.4376308370500858,-0.1124716668395006,0.23601690172625792,0.21654575382551972,0.21666962530660797,0.15554566390685828,0.27750978946323557,0.12615339825723146,0.5440094269234511,0.12986590254279723,0.14092374159824939,0.03936429441862227,0.08635201607468132,0.16273015067438634,0.029929684316394565,0.09443268935867737,0.11378568192115994,0.03765179202745343,0.17248400853627988,0.14267533707219987,0.15678736321663578,0.09633568938150344,0.18032117583015786,0.05356923454969899,0.1325054206371534,0.09292116738994745,0.17467087936700718,0.09791867492698113,0.12103666174532664,0.03708016553533421,0.11459462121958428,0.153959786622897,0.2419816292726999,0.045865971881503036,0.10373926960570348,0.06639062720557098
